,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0,0.9714747191011236,0.0061744275791098535,0.10762331838565023,0.01167883211678832,138314,3863,199,24,0.9715238764044943,0.007960965588084233,0.13901345291479822,0.015059509351469517,138314,3863,192,31
Q91.000,0.0,0.9714747191011236,0.0061744275791098535,0.10762331838565023,0.01167883211678832,138314,3863,199,24,0.9715238764044943,0.007960965588084233,0.13901345291479822,0.015059509351469517,138314,3863,192,31
Q92.000,0.0,0.9714747191011236,0.0061744275791098535,0.10762331838565023,0.01167883211678832,138314,3863,199,24,0.9715238764044943,0.007960965588084233,0.13901345291479822,0.015059509351469517,138314,3863,192,31
Q93.000,0.0,0.9714747191011236,0.0061744275791098535,0.10762331838565023,0.01167883211678832,138314,3863,199,24,0.9715238764044943,0.007960965588084233,0.13901345291479822,0.015059509351469517,138314,3863,192,31
Q94.000,0.0,0.9714747191011236,0.0061744275791098535,0.10762331838565023,0.01167883211678832,138314,3863,199,24,0.9715238764044943,0.007960965588084233,0.13901345291479822,0.015059509351469517,138314,3863,192,31
Q95.000,0.0,0.9714747191011236,0.0061744275791098535,0.10762331838565023,0.01167883211678832,138314,3863,199,24,0.9715238764044943,0.007960965588084233,0.13901345291479822,0.015059509351469517,138314,3863,192,31
Q96.000,0.0,0.9714747191011236,0.0061744275791098535,0.10762331838565023,0.01167883211678832,138314,3863,199,24,0.9715238764044943,0.007960965588084233,0.13901345291479822,0.015059509351469517,138314,3863,192,31
Q97.000,0.0,0.9714747191011236,0.0061744275791098535,0.10762331838565023,0.01167883211678832,138314,3863,199,24,0.9715238764044943,0.007960965588084233,0.13901345291479822,0.015059509351469517,138314,3863,192,31
Q98.000,7.913255237917653e-29,0.9790941011235955,0.007862759113652609,0.09865470852017937,0.014564713670969877,139401,2776,201,22,0.9791432584269663,0.01033868092691622,0.13004484304932734,0.019154557463672388,139401,2776,194,29
Q99.000,0.14970842435956103,0.9883918539325842,0.008253094910591471,0.053811659192825115,0.014311270125223614,140735,1442,211,12,0.9884410112359551,0.013004791238877482,0.08520179372197309,0.022565320665083134,140735,1442,204,19
Q100.000,104.5111312866211,0.9984199438202247,0.0,0.0,0.0,142175,2,223,0,0.9984199438202247,0.0,0.0,0.0,142175,2,223,0
Qbest,4.538618564605713,0.9978932584269663,0.07692307692307693,0.03139013452914798,0.044585987261146494,142093,84,216,7,0.997942415730337,0.14285714285714285,0.06278026905829596,0.08722741433021806,142093,84,209,14
