,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,,0,142181,0,223,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,0,142181,0,223
Q91.000,0.0,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,,0,142181,0,223,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,0,142181,0,223
Q92.000,0.0,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,,0,142181,0,223,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,0,142181,0,223
Q93.000,0.0,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,,0,142181,0,223,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,0,142181,0,223
Q94.000,0.0,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,,0,142181,0,223,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,0,142181,0,223
Q95.000,0.0,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,,0,142181,0,223,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,0,142181,0,223
Q96.000,0.0,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,,0,142181,0,223,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,0,142181,0,223
Q97.000,0.0,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,,0,142181,0,223,0.0015659672481110082,0.0015659672481110082,1.0,0.003127037657666501,0,142181,0,223
Q98.000,5.3218510461987965e-30,0.9779149462093761,0.00808080808080808,0.10762331838565023,0.015032884434700909,,139235,2946,199,24,0.977978146681273,0.011077542799597181,0.14798206278026907,0.020612117426608373,139235,2946,190,33
Q99.000,0.08653571665288402,0.9883640908963232,0.011580381471389645,0.07623318385650224,0.020106445890005913,,140730,1451,206,17,0.9884413359175304,0.018931710615280595,0.12556053811659193,0.03290246768507638,140730,1451,195,28
Q100.000,108.78062438964844,0.9984129659279234,0.0,0.0,0.0,,142178,3,223,0,0.9984129659279234,0.0,0.0,0.0,142178,3,223,0
Q_off_f1_best,3.7977163791656494,0.9979635403499901,0.15463917525773196,0.06726457399103139,0.09375,0.5493145807988131,142099,82,208,15,0.9980407853711974,0.24074074074074073,0.11659192825112108,0.1570996978851964,142099,82,197,26
