,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0,0.9717857142857143,0.046153846153846156,0.15,0.07058823529411765,2718,62,17,3,0.9778571428571429,0.24390243902439024,1.0,0.39215686274509803,2718,62,0,20
Q91.000,0.0,0.9717857142857143,0.046153846153846156,0.15,0.07058823529411765,2718,62,17,3,0.9778571428571429,0.24390243902439024,1.0,0.39215686274509803,2718,62,0,20
Q92.000,0.0,0.9717857142857143,0.046153846153846156,0.15,0.07058823529411765,2718,62,17,3,0.9778571428571429,0.24390243902439024,1.0,0.39215686274509803,2718,62,0,20
Q93.000,0.0,0.9717857142857143,0.046153846153846156,0.15,0.07058823529411765,2718,62,17,3,0.9778571428571429,0.24390243902439024,1.0,0.39215686274509803,2718,62,0,20
Q94.000,0.0,0.9717857142857143,0.046153846153846156,0.15,0.07058823529411765,2718,62,17,3,0.9778571428571429,0.24390243902439024,1.0,0.39215686274509803,2718,62,0,20
Q95.000,0.0,0.9717857142857143,0.046153846153846156,0.15,0.07058823529411765,2718,62,17,3,0.9778571428571429,0.24390243902439024,1.0,0.39215686274509803,2718,62,0,20
Q96.000,0.0,0.9717857142857143,0.046153846153846156,0.15,0.07058823529411765,2718,62,17,3,0.9778571428571429,0.24390243902439024,1.0,0.39215686274509803,2718,62,0,20
Q97.000,4.028733084951373e-44,0.9717857142857143,0.046153846153846156,0.15,0.07058823529411765,2718,62,17,3,0.9778571428571429,0.24390243902439024,1.0,0.39215686274509803,2718,62,0,20
Q98.000,2.36906027346493e-20,0.9807142857142858,0.05263157894736842,0.1,0.06896551724137931,2744,36,18,2,0.9871428571428571,0.35714285714285715,1.0,0.5263157894736842,2744,36,0,20
Q99.000,0.011785119883716286,0.9846428571428572,0.07407407407407407,0.1,0.0851063829787234,2755,25,18,2,0.9910714285714286,0.4444444444444444,1.0,0.6153846153846153,2755,25,0,20
Q100.000,5.03153657913208,0.9885714285714285,0.07142857142857142,0.05,0.058823529411764705,2767,13,19,1,0.9953571428571428,0.6060606060606061,1.0,0.7547169811320755,2767,13,0,20
Qbest,0.03013649396598339,0.9842857142857143,0.038461538461538464,0.05,0.043478260869565216,2755,25,19,1,0.9910714285714286,0.4444444444444444,1.0,0.6153846153846153,2755,25,0,20
