,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,,0,2836,0,20,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,0,2836,0,20
Q91.000,0.0,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,,0,2836,0,20,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,0,2836,0,20
Q92.000,0.0,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,,0,2836,0,20,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,0,2836,0,20
Q93.000,0.0,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,,0,2836,0,20,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,0,2836,0,20
Q94.000,0.0,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,,0,2836,0,20,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,0,2836,0,20
Q95.000,0.0,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,,0,2836,0,20,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,0,2836,0,20
Q96.000,0.0,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,,0,2836,0,20,0.0070028011204481795,0.0070028011204481795,1.0,0.013908205841446454,0,2836,0,20
Q97.000,4.541766669603738e-41,0.9670868347338936,0.04878048780487805,0.2,0.07843137254901962,,2758,78,16,4,0.9726890756302521,0.20408163265306123,1.0,0.3389830508474576,2758,78,0,20
Q98.000,3.3218073832386106e-22,0.9761904761904762,0.038461538461538464,0.1,0.05555555555555555,,2786,50,18,2,0.9824929971988795,0.2857142857142857,1.0,0.4444444444444445,2786,50,0,20
Q99.000,0.001659904046683284,0.9835434173669467,0.06451612903225806,0.1,0.0784313725490196,,2807,29,18,2,0.9898459383753502,0.40816326530612246,1.0,0.5797101449275363,2807,29,0,20
Q100.000,33.38889694213867,0.9884453781512605,0.06666666666666667,0.05,0.05714285714285715,,2822,14,19,1,0.9950980392156863,0.5882352941176471,1.0,0.7407407407407407,2822,14,0,20
Q_off_f1_best,0.03776659443974495,0.9845938375350141,0.07142857142857142,0.1,0.08333333333333333,0.5858074753173483,2810,26,18,2,0.9908963585434174,0.43478260869565216,1.0,0.6060606060606061,2810,26,0,20
