,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0,0.709123006833713,0.2789922193404965,0.030929105397190505,0.05568496949528564,61508,1946,23593,753,0.9731435079726651,0.9248068006182381,0.9830773022262383,0.9530522040377494,61508,1946,412,23934
Q91.000,0.0,0.709123006833713,0.2789922193404965,0.030929105397190505,0.05568496949528564,61508,1946,23593,753,0.9731435079726651,0.9248068006182381,0.9830773022262383,0.9530522040377494,61508,1946,412,23934
Q92.000,0.0,0.709123006833713,0.2789922193404965,0.030929105397190505,0.05568496949528564,61508,1946,23593,753,0.9731435079726651,0.9248068006182381,0.9830773022262383,0.9530522040377494,61508,1946,412,23934
Q93.000,0.0,0.709123006833713,0.2789922193404965,0.030929105397190505,0.05568496949528564,61508,1946,23593,753,0.9731435079726651,0.9248068006182381,0.9830773022262383,0.9530522040377494,61508,1946,412,23934
Q94.000,0.0,0.709123006833713,0.2789922193404965,0.030929105397190505,0.05568496949528564,61508,1946,23593,753,0.9731435079726651,0.9248068006182381,0.9830773022262383,0.9530522040377494,61508,1946,412,23934
Q95.000,0.0,0.709123006833713,0.2789922193404965,0.030929105397190505,0.05568496949528564,61508,1946,23593,753,0.9731435079726651,0.9248068006182381,0.9830773022262383,0.9530522040377494,61508,1946,412,23934
Q96.000,0.0,0.709123006833713,0.2789922193404965,0.030929105397190505,0.05568496949528564,61508,1946,23593,753,0.9731435079726651,0.9248068006182381,0.9830773022262383,0.9530522040377494,61508,1946,412,23934
Q97.000,5.336982528630693e-41,0.7103416856492027,0.27854812398042417,0.028053889756017414,0.05097395328009553,61685,1769,23663,683,0.9751594533029613,0.9311753491810294,0.9830773022262383,0.9564227057483665,61685,1769,412,23934
Q98.000,1.247573826506511e-23,0.714248291571754,0.27767803710353084,0.019058572250061613,0.0356689856632202,62247,1207,23882,464,0.9815603644646925,0.9519907720456625,0.9830773022262383,0.9672843373007053,62247,1207,412,23934
Q99.000,0.06082697186619399,0.7183371298405467,0.2857142857142857,0.01051507434486158,0.020283654227081848,62814,640,24090,256,0.986492027334852,0.9738134206219312,0.9775733179988499,0.9756897470585824,62814,640,546,23800
Q100.000,32.46389389038086,0.7227107061503417,1.0,0.0,0.0,63454,0,24346,0,0.7227107061503417,1.0,0.0,0.0,63454,0,24346,0
Qbest,0.0,0.709123006833713,0.2789922193404965,0.030929105397190505,0.05568496949528564,61508,1946,23593,753,0.9731435079726651,0.9248068006182381,0.9830773022262383,0.9530522040377494,61508,1946,412,23934
