,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,,0,63460,0,24381,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,0,63460,0,24381
Q91.000,0.0,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,,0,63460,0,24381,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,0,63460,0,24381
Q92.000,0.0,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,,0,63460,0,24381,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,0,63460,0,24381
Q93.000,0.0,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,,0,63460,0,24381,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,0,63460,0,24381
Q94.000,0.0,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,,0,63460,0,24381,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,0,63460,0,24381
Q95.000,0.0,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,,0,63460,0,24381,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,0,63460,0,24381
Q96.000,3.3350903450934725e-44,0.7072096173768514,0.28180039138943247,0.035437430786267994,0.06295770029511422,,61258,2202,23517,864,0.9701847656561287,0.9158449896812658,0.9828965177802387,0.9481868360140067,61258,2202,417,23964
Q97.000,5.4489405865425176e-33,0.7103858107261984,0.27458492975734355,0.026455026455026454,0.04826038159371493,,61756,1704,23736,645,0.97585410002163,0.9336138382421693,0.9828965177802387,0.9576215308997182,61756,1704,417,23964
Q98.000,3.8441055374117236e-19,0.7142792090253982,0.27467001885606535,0.01792379311759157,0.03365162482673649,,62306,1154,23944,437,0.9821154130758984,0.9540568516601641,0.9828965177802387,0.9682619850906079,62306,1154,417,23964
Q99.000,0.03940442353487117,0.7181498389134914,0.2898550724637681,0.01066404167179361,0.020571247725294717,,62823,637,24121,260,0.9879896631413577,0.9741056910569106,0.9828555022353472,0.9784610359118842,62823,637,418,23963
Q100.000,28.384061813354492,0.7224416844070537,1.0,0.0,0.0,,63460,0,24381,0,0.7224416844070537,1.0,0.0,0.0,63460,0,24381,0
Q_off_f1_best,0.0,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,0.5002969619813046,0,63460,0,24381,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,0,63460,0,24381
