,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0,0.9025158946412353,0.09797541576283442,0.031848630861440824,0.04807095343680709,99096,2495,8238,271,0.9769573115349682,0.7723955482576172,0.9950640498295922,0.8697036618560937,99096,2495,42,8467
Q91.000,0.0,0.9025158946412353,0.09797541576283442,0.031848630861440824,0.04807095343680709,99096,2495,8238,271,0.9769573115349682,0.7723955482576172,0.9950640498295922,0.8697036618560937,99096,2495,42,8467
Q92.000,0.0,0.9025158946412353,0.09797541576283442,0.031848630861440824,0.04807095343680709,99096,2495,8238,271,0.9769573115349682,0.7723955482576172,0.9950640498295922,0.8697036618560937,99096,2495,42,8467
Q93.000,0.0,0.9025158946412353,0.09797541576283442,0.031848630861440824,0.04807095343680709,99096,2495,8238,271,0.9769573115349682,0.7723955482576172,0.9950640498295922,0.8697036618560937,99096,2495,42,8467
Q94.000,0.0,0.9025158946412353,0.09797541576283442,0.031848630861440824,0.04807095343680709,99096,2495,8238,271,0.9769573115349682,0.7723955482576172,0.9950640498295922,0.8697036618560937,99096,2495,42,8467
Q95.000,0.0,0.9025158946412353,0.09797541576283442,0.031848630861440824,0.04807095343680709,99096,2495,8238,271,0.9769573115349682,0.7723955482576172,0.9950640498295922,0.8697036618560937,99096,2495,42,8467
Q96.000,0.0,0.9025158946412353,0.09797541576283442,0.031848630861440824,0.04807095343680709,99096,2495,8238,271,0.9769573115349682,0.7723955482576172,0.9950640498295922,0.8697036618560937,99096,2495,42,8467
Q97.000,0.0,0.9025158946412353,0.09797541576283442,0.031848630861440824,0.04807095343680709,99096,2495,8238,271,0.9769573115349682,0.7723955482576172,0.9950640498295922,0.8697036618560937,99096,2495,42,8467
Q98.000,0.0,0.9025158946412353,0.09797541576283442,0.031848630861440824,0.04807095343680709,99096,2495,8238,271,0.9769573115349682,0.7723955482576172,0.9950640498295922,0.8697036618560937,99096,2495,42,8467
Q99.000,0.07358112640679407,0.9141507720254314,0.07939339875111508,0.010459513456340346,0.018483904465212878,100559,1032,8420,89,0.9902452316076295,0.8913569849457837,0.9950640498295922,0.9403598400710795,100559,1032,42,8467
Q100.000,19.326860427856445,0.9227066303360582,0.0,0.0,0.0,101590,1,8509,0,0.9227066303360582,0.0,0.0,0.0,101590,1,8509,0
Qbest,0.0,0.9025158946412353,0.09797541576283442,0.031848630861440824,0.04807095343680709,99096,2495,8238,271,0.9769573115349682,0.7723955482576172,0.9950640498295922,0.8697036618560937,99096,2495,42,8467
