,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,9.325641280081658e-42,0.8697638000782983,0.028153153153153154,0.15625,0.04770992366412214,,6640,863,135,25,0.8873809213101919,0.15640273704789834,1.0,0.27049873203719355,6640,863,0,160
Q91.000,1.1239814982349358e-41,0.8753751794336422,0.029585798816568046,0.15625,0.04975124378109452,,6683,820,135,25,0.8929923006655357,0.16326530612244897,1.0,0.2807017543859649,6683,820,0,160
Q92.000,3.1516819592482052e-34,0.8949497585801905,0.02643171806167401,0.1125,0.04280618311533888,,6840,663,142,18,0.9134803601722563,0.19441069258809235,1.0,0.3255340793489318,6840,663,0,160
Q93.000,1.6785280564734846e-33,0.9009526295184653,0.028346456692913385,0.1125,0.045283018867924525,,6886,617,142,18,0.9194832311105311,0.2059202059202059,1.0,0.3415154749199573,6886,617,0,160
Q94.000,3.610988946381375e-29,0.9110009134803602,0.02717391304347826,0.09375,0.042134831460674156,,6966,537,145,15,0.9299230066553569,0.22955523672883787,1.0,0.3733955659276546,6966,537,0,160
Q95.000,1.3235850929253841e-25,0.9230066553569098,0.02643171806167401,0.075,0.03908794788273616,,7061,442,148,12,0.9423202401148375,0.26578073089701,1.0,0.41994750656167984,7061,442,0,160
Q96.000,2.262453126257063e-18,0.932793944930184,0.02666666666666667,0.0625,0.037383177570093455,,7138,365,150,10,0.9523685240767323,0.3047619047619048,1.0,0.4671532846715329,7138,365,0,160
Q97.000,1.0903209929126817e-17,0.9381443298969072,0.029940119760479042,0.0625,0.04048582995951417,,7179,324,150,10,0.9577189090434556,0.3305785123966942,1.0,0.4968944099378882,7179,324,0,160
Q98.000,4.186603841382919e-10,0.9515855409108704,0.026905829596412557,0.0375,0.03133159268929504,,7286,217,154,6,0.9716821088346601,0.4244031830238727,1.0,0.5959031657355679,7286,217,0,160
Q99.000,4.513897866598171e-10,0.956674931488973,0.03260869565217391,0.0375,0.03488372093023256,,7325,178,154,6,0.9767714994127626,0.47337278106508873,1.0,0.642570281124498,7325,178,0,160
Q100.000,0.00021803304844070226,0.9702466396972466,0.027777777777777776,0.0125,0.01724137931034483,,7433,70,158,2,0.9908651963982774,0.6956521739130435,1.0,0.8205128205128205,7433,70,0,160
Q_off_f1_best,3.267407629266176e-41,0.8803340728174345,0.030978934324659233,0.15625,0.0517063081695967,0.5234660302545648,6721,782,135,25,0.897951194049328,0.16985138004246284,1.0,0.29038112522686027,6721,782,0,160
