,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,3.2796067528398577e-25,0.9414850215642849,0.006172839506172839,0.01098901098901099,0.007905138339920948,,8075,322,180,2,0.9624664879356568,0.3611111111111111,1.0,0.5306122448979591,8075,322,0,182
Q91.000,1.824203816164851e-24,0.9426506585849167,0.006369426751592357,0.01098901098901099,0.008064516129032258,,8085,312,180,2,0.9636321249562886,0.3684210526315789,1.0,0.5384615384615384,8085,312,0,182
Q92.000,1.7409581154323298e-23,0.9450984963282434,0.006825938566552901,0.01098901098901099,0.008421052631578947,,8106,291,180,2,0.9660799626996154,0.38477801268498946,1.0,0.5557251908396947,8106,291,0,182
Q93.000,1.4077950814512294e-22,0.9462641333488752,0.007067137809187279,0.01098901098901099,0.008602150537634409,,8116,281,180,2,0.9672455997202472,0.3930885529157667,1.0,0.5643410852713179,8116,281,0,182
Q94.000,1.4762245177520384e-21,0.9467303881571278,0.007168458781362007,0.01098901098901099,0.008676789587852495,,8120,277,180,2,0.9677118545284998,0.39651416122004357,1.0,0.5678627145085804,8120,277,0,182
Q95.000,6.184716672077042e-20,0.9489450984963282,0.007692307692307693,0.01098901098901099,0.00904977375565611,,8139,258,180,2,0.9699265648677002,0.41363636363636364,1.0,0.5852090032154341,8139,258,0,182
Q96.000,4.4990188080636665e-18,0.9517426273458445,0.00847457627118644,0.01098901098901099,0.009569377990430623,,8163,234,180,2,0.9727240937172165,0.4375,1.0,0.6086956521739131,8163,234,0,182
Q97.000,2.0235693541394261e-16,0.9536076465788553,0.00909090909090909,0.01098901098901099,0.009950248756218905,,8179,218,180,2,0.9745891129502273,0.455,1.0,0.6254295532646048,8179,218,0,182
Q98.000,2.1233820257654213e-11,0.9592027042778879,0.011627906976744186,0.01098901098901099,0.011299435028248586,,8227,170,180,2,0.9801841706492598,0.5170454545454546,1.0,0.6816479400749064,8227,170,0,182
Q99.000,0.0025976629112855706,0.9687609278470685,0.022222222222222223,0.01098901098901099,0.01470588235294118,,8309,88,180,2,0.9897423942184403,0.674074074074074,1.0,0.8053097345132744,8309,88,0,182
Q100.000,53.06349563598633,0.9787854062245017,1.0,0.0,0.0,,8397,0,182,0,0.9787854062245017,1.0,0.0,0.0,8397,0,182,0
Q_off_f1_best,0.0,0.02121459377549831,0.02121459377549831,1.0,0.04154776851957538,0.4598384823465209,0,8397,0,182,0.02121459377549831,0.02121459377549831,1.0,0.04154776851957538,0,8397,0,182
