,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0,0.93957805907173,0.052763819095477386,0.058333333333333334,0.0554089709762533,22226,754,678,42,0.9640506329113924,0.45203488372093026,0.8638888888888889,0.5935114503816794,22226,754,98,622
Q91.000,0.0,0.93957805907173,0.052763819095477386,0.058333333333333334,0.0554089709762533,22226,754,678,42,0.9640506329113924,0.45203488372093026,0.8638888888888889,0.5935114503816794,22226,754,98,622
Q92.000,0.0,0.93957805907173,0.052763819095477386,0.058333333333333334,0.0554089709762533,22226,754,678,42,0.9640506329113924,0.45203488372093026,0.8638888888888889,0.5935114503816794,22226,754,98,622
Q93.000,0.0,0.93957805907173,0.052763819095477386,0.058333333333333334,0.0554089709762533,22226,754,678,42,0.9640506329113924,0.45203488372093026,0.8638888888888889,0.5935114503816794,22226,754,98,622
Q94.000,0.0,0.93957805907173,0.052763819095477386,0.058333333333333334,0.0554089709762533,22226,754,678,42,0.9640506329113924,0.45203488372093026,0.8638888888888889,0.5935114503816794,22226,754,98,622
Q95.000,0.0,0.93957805907173,0.052763819095477386,0.058333333333333334,0.0554089709762533,22226,754,678,42,0.9640506329113924,0.45203488372093026,0.8638888888888889,0.5935114503816794,22226,754,98,622
Q96.000,0.0,0.93957805907173,0.052763819095477386,0.058333333333333334,0.0554089709762533,22226,754,678,42,0.9640506329113924,0.45203488372093026,0.8638888888888889,0.5935114503816794,22226,754,98,622
Q97.000,2.5625124627569984e-41,0.9411392405063291,0.052980132450331126,0.05555555555555555,0.054237288135593226,22265,715,680,40,0.9656962025316456,0.46522064323111445,0.8638888888888889,0.6047642197374817,22265,715,98,622
Q98.000,7.463101763246528e-17,0.9521518987341772,0.0420353982300885,0.02638888888888889,0.03242320819112628,22547,433,701,19,0.9775949367088608,0.5895734597156398,0.8638888888888889,0.7008450704225351,22547,433,98,622
Q99.000,0.059550768658521235,0.960337552742616,0.056451612903225805,0.019444444444444445,0.028925619834710748,22746,234,706,14,0.9859915611814346,0.7266355140186916,0.8638888888888889,0.7893401015228427,22746,234,98,622
Q100.000,41.39252853393555,0.969451476793249,0.3,0.004166666666666667,0.008219178082191782,22973,7,717,3,0.9749789029535865,0.950354609929078,0.18611111111111112,0.31126596980255516,22973,7,586,134
Qbest,0.0,0.93957805907173,0.052763819095477386,0.058333333333333334,0.0554089709762533,22226,754,678,42,0.9640506329113924,0.45203488372093026,0.8638888888888889,0.5935114503816794,22226,754,98,622
