,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,,0,22987,0,720,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,0,22987,0,720
Q91.000,0.0,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,,0,22987,0,720,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,0,22987,0,720
Q92.000,0.0,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,,0,22987,0,720,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,0,22987,0,720
Q93.000,0.0,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,,0,22987,0,720,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,0,22987,0,720
Q94.000,0.0,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,,0,22987,0,720,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,0,22987,0,720
Q95.000,0.0,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,,0,22987,0,720,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,0,22987,0,720
Q96.000,1.0377862003702214e-38,0.9299363057324841,0.04007820136852395,0.05694444444444444,0.04704532415375789,,22005,982,679,41,0.9553296494706205,0.3956923076923077,0.8930555555555556,0.5484008528784649,22005,982,77,643
Q97.000,4.6455177000042546e-26,0.9393428101404648,0.038560411311053984,0.041666666666666664,0.04005340453938584,,22239,748,690,30,0.9635128864892226,0.4463360473723168,0.8375,0.5823273780782231,22239,748,117,603
Q98.000,2.605359808103084e-12,0.9501413084742903,0.045275590551181105,0.03194444444444444,0.03745928338762215,,22502,485,697,23,0.9746066562618636,0.5542279411764706,0.8375,0.6670353982300885,22502,485,117,603
Q99.000,0.09055461771786662,0.9601805373940187,0.044715447154471545,0.015277777777777777,0.022774327122153205,,22752,235,709,11,0.98515206479099,0.7195704057279236,0.8375,0.7740693196405648,22752,235,117,603
Q100.000,33.94321060180664,0.9693761336314168,0.2,0.002777777777777778,0.005479452054794521,,22979,8,718,2,0.9749441093347956,0.9436619718309859,0.18611111111111112,0.31090487238979125,22979,8,586,134
Q_off_f1_best,0.0,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,0.5075221260325885,0,22987,0,720,0.030370776563884084,0.030370776563884084,1.0,0.05895116060097433,0,22987,0,720
