,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,1.2753969348565625e-23,0.7717989238062851,0.05728226845884736,0.05699472372856515,0.05713813433247011,344136,51199,51473,3111,0.8862039611574528,0.5159997353071855,1.0,0.6807385559373188,344136,51199,0,54584
Q91.000,2.3082848032361992e-20,0.7890331370757847,0.05649630541871921,0.04706507401436318,0.0513512433037499,352432,42903,52015,2569,0.9046428357104279,0.5599105521761876,1.0,0.7178752030301635,352432,42903,0,54584
Q92.000,6.272157610478694e-18,0.7987326607678271,0.057412146864848905,0.042741462699692215,0.049002310438983405,357032,38303,52251,2333,0.9148668982639098,0.5876387438500543,1.0,0.740267578032291,357032,38303,0,54584
Q93.000,3.440264393828386e-17,0.8040780673854627,0.05818086086613137,0.04048805510772387,0.0477481662327561,359560,35775,52374,2210,0.9204856874237363,0.6040792837459468,1.0,0.7531788358182182,359560,35775,0,54584
Q94.000,3.059336646863956e-12,0.8238171759805654,0.05874150875938505,0.030100395720357612,0.03980424933982605,369008,26327,52941,1643,0.9414850228596703,0.6746177899173166,1.0,0.8056976272187166,369008,26327,0,54584
Q95.000,1.0834642349966142e-10,0.8287780689412984,0.059419152276295135,0.02773706580682984,0.037819744204636296,371369,23966,53070,1514,0.9467326340963595,0.6948949713558243,1.0,0.819985878888939,371369,23966,0,54584
Q96.000,5.371016325028795e-09,0.8373640588639288,0.06097964196306268,0.02365161952220431,0.034083558841000595,375455,19880,53293,1291,0.9558142687906045,0.7330253545337344,1.0,0.8459487942471019,375455,19880,0,54584
Q97.000,9.17760595257279e-06,0.8469746776642018,0.06389483338428616,0.019144804338267624,0.02946193208249341,380025,15310,53539,1045,0.9659716526752593,0.7809540160814948,1.0,0.877006378637189,380025,15310,0,54584
Q98.000,0.00023573856946313942,0.8535291908099013,0.06710022953328233,0.01606697933460355,0.025926035415496502,383142,12193,53707,877,0.9728995663663904,0.8174071910987316,1.0,0.8995311508639513,383142,12193,0,54584
Q99.000,0.0044029781734571385,0.8595213805151594,0.07620452310717797,0.014198299868093215,0.023936745220372483,385940,9395,53809,775,0.9791184635456605,0.8531549414651682,1.0,0.9207594274773749,385940,9395,0,54584
Q100.000,15.327920913696289,0.8786826073137609,1.0,1.832038692657189e-05,3.6640102592287254e-05,395335,0,54583,1,0.9584725250545099,1.0,0.6577018906639308,0.7935104548870517,395335,0,18684,35900
Qbest,0.0,0.5174575868100703,0.05305942853999945,0.176736772680639,0.08161625049175333,223167,172168,44937,9647,0.6173355648461167,0.24072114027660174,1.0,0.38803423664230674,223167,172168,0,54584
