,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,4.863104548595874e-24,0.7755040351707752,0.06344160851656103,0.061794665103326984,0.06260730758879268,,345541,49794,51211,3373,0.8893267454808532,0.5229454482745406,1.0,0.6867553251720537,345541,49794,0,54584
Q91.000,2.2727593378627352e-20,0.7947163822821441,0.06483124064047921,0.051553568811373296,0.0574350182163304,,354744,40591,51770,2814,0.9097815384546997,0.5735119516679801,1.0,0.7289578589600625,354744,40591,0,54584
Q92.000,1.0832797635321158e-17,0.8035735321246713,0.0650965250965251,0.04633225853730031,0.05413446925102211,,359014,36321,52055,2529,0.9192721356510839,0.6004510202959134,1.0,0.7503522603083395,359014,36321,0,54584
Q93.000,5.196016279975244e-17,0.8075120188300561,0.06520558361848895,0.04398724901069911,0.05253484453974575,,360914,34421,52183,2401,0.9234951180101307,0.6132689174765462,1.0,0.7602810800270215,360914,34421,0,54584
Q94.000,9.963893384964775e-14,0.8217834765813402,0.06821171946159296,0.03704382236552836,0.04801310743585786,,367714,27621,52562,2022,0.93860894961093,0.6639985402347789,1.0,0.7980758686736505,367714,27621,0,54584
Q95.000,1.1700756752386497e-10,0.8298160335527062,0.05908306927118848,0.02698592994284039,0.037049613280513115,,371877,23458,53111,1473,0.9478617262218311,0.6994182619615079,1.0,0.8231266870749325,371877,23458,0,54584
Q96.000,1.3473198805513786e-08,0.8392199484796152,0.06123962040332147,0.02269895940202257,0.033121257485029934,,376342,18993,53345,1239,0.9577857347655911,0.7418622667409652,1.0,0.851803590795952,376342,18993,0,54584
Q97.000,8.209294510379567e-06,0.8483549261089218,0.0664717844433147,0.019163124725194196,0.02974971558589306,,380645,14690,53538,1046,0.9673496784976852,0.7879435285965875,1.0,0.8813964378562548,380645,14690,0,54584
Q98.000,0.0001822672164416911,0.855425087626884,0.07157480959790354,0.01601201817382383,0.026169623474810985,,383998,11337,53710,874,0.9748021310502557,0.8280214195779797,1.0,0.9059209161445584,383998,11337,0,54584
Q99.000,0.0032037833612412227,0.8610949970994779,0.08110969927996611,0.014033416385754068,0.023927031923533456,,386657,8678,53818,766,0.980712083730627,0.8628244443741899,1.0,0.9263615226651732,386657,8678,0,54584
Q100.000,14.452460289001465,0.8786803846914667,1.0,0.0,0.0,,395335,0,54584,0,0.8786803846914667,1.0,0.0,0.0,395335,0,54584,0
Q_off_f1_best,0.0,0.12131961530853332,0.12131961530853332,1.0,0.21638721672616415,0.3816542807887802,0,395335,0,54584,0.12131961530853332,0.12131961530853332,1.0,0.21638721672616415,0,395335,0,54584
