,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0,0.8919155092592592,0.06377858002406739,0.06374661721960509,0.0637625946162715,153487,9336,9341,636,0.9459722222222222,0.5165950396106249,1.0,0.6812564015022191,153487,9336,0,9977
Q91.000,8.691833984666173e-43,0.8938078703703703,0.06240200689871433,0.0598376265410444,0.06109291854277527,153853,8970,9380,597,0.9480902777777778,0.5265741278302634,1.0,0.6898769188217397,153853,8970,0,9977
Q92.000,3.709152268752676e-35,0.8995949074074074,0.060240963855421686,0.050616417760849956,0.05501089324618736,154945,7878,9472,505,0.9544097222222222,0.5587790534864183,1.0,0.7169445242885887,154945,7878,0,9977
Q93.000,1.5615973240351577e-31,0.9042361111111111,0.06093812641988507,0.04570512178009422,0.05223367697594502,155796,7027,9521,456,0.9593344907407407,0.5867442954598918,1.0,0.73955746636522,155796,7027,0,9977
Q94.000,3.551341039234176e-24,0.9097395833333334,0.0614856429463171,0.039490828906484914,0.04809276777540434,156809,6014,9583,394,0.9651967592592593,0.6239134513163654,1.0,0.7684072704867528,156809,6014,0,9977
Q95.000,2.302050766243259e-19,0.9140335648148148,0.06069884726224784,0.033777688683973135,0.043402665979779764,157608,5215,9640,337,0.9698206018518518,0.656727224855187,1.0,0.7928006674877827,157608,5215,0,9977
Q96.000,4.05616141260609e-14,0.9187615740740741,0.06154178363204491,0.028565701112558885,0.039019715224534506,158477,4346,9692,285,0.974849537037037,0.6965719472177616,1.0,0.8211522633744855,158477,4346,0,9977
Q97.000,7.4472025346497576e-09,0.9231365740740741,0.05898051774753136,0.022150947178510575,0.03220635383270184,159297,3526,9756,221,0.9795949074074074,0.7388728430719099,1.0,0.8498296422487224,159297,3526,0,9977
Q98.000,2.511728107492735e-05,0.9274537037037037,0.05772554441755963,0.01673849854665731,0.025951825951825953,160097,2726,9810,167,0.984224537037037,0.7854050224356451,1.0,0.8798059964726631,160097,2726,0,9977
Q99.000,0.015463936030864961,0.9314583333333334,0.05904581955597544,0.012528816277438107,0.020671407309409626,160831,1992,9852,125,0.9884722222222222,0.833570055977943,1.0,0.9092317506607126,160831,1992,0,9977
Q100.000,39.81588363647461,0.9361979166666666,0.04592720970537262,0.0053122181016337575,0.009522953912496631,161722,1101,9924,53,0.9626388888888889,0.8076183819674996,0.46326551067455146,0.5887898089171975,161722,1101,5355,4622
Qbest,0.0,0.8919155092592592,0.06377858002406739,0.06374661721960509,0.0637625946162715,153487,9336,9341,636,0.9459722222222222,0.5165950396106249,1.0,0.6812564015022191,153487,9336,0,9977
