,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,1.963516222986024e-14,0.8749732354183666,0.053730426773104085,0.07016137115365341,0.06085633557922191,,150498,12328,9277,700,0.9286586459725815,0.44729881192557724,1.0,0.6181153584040642,150498,12328,0,9977
Q91.000,2.5175466366548484e-13,0.8809974363870997,0.05557887666862564,0.06635261100531221,0.06048976608187134,,151577,11249,9315,662,0.9349027505309514,0.4700367473852822,1.0,0.6394897926481429,151577,11249,0,9977
Q92.000,4.68348493667948e-12,0.8876119048859106,0.05317940953822861,0.056329557983361735,0.054709174981747384,,152820,10006,9415,562,0.942095912686701,0.49927438322574186,1.0,0.6660213618157543,152820,10006,0,9977
Q93.000,7.705721200013286e-11,0.8947761323588133,0.05305010893246187,0.048812268216898866,0.050843033877955836,,154133,8693,9490,487,0.9496941604023078,0.5343867166577397,1.0,0.6965476315146437,154133,8693,0,9977
Q94.000,7.983118610610571e-10,0.9019056382122995,0.05317785750896976,0.04159567004109452,0.04667903942410438,,155437,7389,9562,415,0.9572403256887901,0.5745134170217667,1.0,0.7297663021614308,155437,7389,0,9977
Q95.000,8.100000670197005e-09,0.9082365468192103,0.0546803998788246,0.036183221409241254,0.04354906809819651,,156585,6241,9616,361,0.9638837288704478,0.6151806634603527,1.0,0.7617484252719985,156585,6241,0,9977
Q96.000,5.164817366676521e-07,0.9161183544267171,0.05964912280701754,0.03067054224716849,0.04051102138081684,,158002,4824,9671,306,0.972083817989271,0.6740760759408148,1.0,0.8053111631285818,158002,4824,0,9977
Q97.000,1.4755126449017817e-05,0.9218879301863973,0.061737615135673385,0.024857171494437207,0.035443761612119484,,159057,3769,9729,248,0.9781890360699756,0.7258111450603812,1.0,0.8411246469670783,159057,3769,0,9977
Q98.000,0.0007176161976531337,0.9275012586587038,0.06923336710570753,0.020547258694998495,0.03168959653733189,,160070,2756,9772,205,0.984051202814766,0.7835545433126522,1.0,0.878643769264641,160070,2756,0,9977
Q99.000,0.009892708808183926,0.9311933241899736,0.06778129236330772,0.015034579532925729,0.024610336341263334,,160763,2063,9827,150,0.9880615498573521,0.8286544850498339,1.0,0.9062996775219149,160763,2063,0,9977
Q100.000,40.09488296508789,0.9360022684791351,0.04690117252931323,0.005612909692292272,0.0100259600751947,,161688,1138,9921,56,0.962425420854962,0.8024305555555555,0.46326551067455146,0.5874054775370148,161688,1138,5355,4622
Q_off_f1_best,5.366006080544998e-33,0.672395733870361,0.07244755757664662,0.3960108248972637,0.1224869406166199,0.5404728601576805,112241,50585,6026,3951,0.7072678136374947,0.16474026617350815,1.0,0.2828789747515559,112241,50585,0,9977
