,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,9.977245065993341e-44,0.852,0.032520325203252036,0.12121212121212122,0.05128205128205129,848,119,29,4,0.855,0.05555555555555555,0.21212121212121213,0.0880503144654088,848,119,26,7
Q91.000,7.050254872664951e-42,0.859,0.034482758620689655,0.12121212121212122,0.053691275167785234,855,112,29,4,0.862,0.058823529411764705,0.21212121212121213,0.09210526315789475,855,112,26,7
Q92.000,2.8751683488239047e-38,0.869,0.03773584905660377,0.12121212121212122,0.05755395683453238,865,102,29,4,0.872,0.06422018348623854,0.21212121212121213,0.09859154929577467,865,102,26,7
Q93.000,2.1876708569906647e-36,0.874,0.030303030303030304,0.09090909090909091,0.045454545454545456,871,96,30,3,0.878,0.06796116504854369,0.21212121212121213,0.10294117647058824,871,96,26,7
Q94.000,1.366357732745535e-35,0.877,0.03125,0.09090909090909091,0.046511627906976744,874,93,30,3,0.881,0.07,0.21212121212121213,0.10526315789473686,874,93,26,7
Q95.000,4.326589418435268e-31,0.884,0.022988505747126436,0.06060606060606061,0.03333333333333333,882,85,31,2,0.889,0.07608695652173914,0.21212121212121213,0.112,882,85,26,7
Q96.000,5.746904757757052e-27,0.895,0.02631578947368421,0.06060606060606061,0.03669724770642202,893,74,31,2,0.9,0.08641975308641975,0.21212121212121213,0.12280701754385966,893,74,26,7
Q97.000,7.013557179241472e-22,0.911,0.017241379310344827,0.030303030303030304,0.02197802197802198,910,57,32,1,0.917,0.109375,0.21212121212121213,0.14432989690721648,910,57,26,7
Q98.000,1.4540739489216769e-15,0.928,0.024390243902439025,0.030303030303030304,0.027027027027027025,927,40,32,1,0.934,0.14893617021276595,0.21212121212121213,0.175,927,40,26,7
Q99.000,0.0015975005423646159,0.959,0.1,0.030303030303030304,0.04651162790697675,958,9,32,1,0.965,0.4375,0.21212121212121213,0.2857142857142857,958,9,26,7
Q100.000,0.56255042552948,0.961,0.0,0.0,0.0,961,6,33,0,0.961,0.0,0.0,0.0,961,6,33,0
Qbest,0.0,0.84,0.02962962962962963,0.12121212121212122,0.04761904761904762,836,131,29,4,0.843,0.050724637681159424,0.21212121212121213,0.08187134502923976,836,131,26,7
