,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,9.977245065993341e-44,0.8522504892367906,0.031746031746031744,0.12121212121212122,0.05031446540880503,,867,122,29,4,0.8551859099804305,0.05426356589147287,0.21212121212121213,0.08641975308641975,867,122,26,7
Q91.000,7.051530054267487e-42,0.8590998043052838,0.03361344537815126,0.12121212121212122,0.05263157894736842,,874,115,29,4,0.8620352250489237,0.05737704918032787,0.21212121212121213,0.0903225806451613,874,115,26,7
Q92.000,2.874863897114352e-38,0.8688845401174168,0.03669724770642202,0.12121212121212122,0.056338028169014086,,884,105,29,4,0.8718199608610567,0.0625,0.21212121212121213,0.09655172413793102,884,105,26,7
Q93.000,2.18699370293749e-36,0.8737769080234834,0.029411764705882353,0.09090909090909091,0.04444444444444444,,890,99,30,3,0.8776908023483366,0.0660377358490566,0.21212121212121213,0.10071942446043164,890,99,26,7
Q94.000,1.3663945099918872e-35,0.8767123287671232,0.030303030303030304,0.09090909090909091,0.045454545454545456,,893,96,30,3,0.8806262230919765,0.06796116504854369,0.21212121212121213,0.10294117647058824,893,96,26,7
Q95.000,4.326986735525847e-31,0.8835616438356164,0.022222222222222223,0.06060606060606061,0.03252032520325203,,901,88,31,2,0.8884540117416829,0.07368421052631578,0.21212121212121213,0.109375,901,88,26,7
Q96.000,5.7476159497594765e-27,0.8943248532289628,0.02531645569620253,0.06060606060606061,0.03571428571428571,,912,77,31,2,0.8992172211350293,0.08333333333333333,0.21212121212121213,0.11965811965811965,912,77,26,7
Q97.000,7.013704298644852e-22,0.9099804305283757,0.01639344262295082,0.030303030303030304,0.021276595744680847,,929,60,32,1,0.9158512720156555,0.1044776119402985,0.21212121212121213,0.13999999999999999,929,60,26,7
Q98.000,1.4540539462386275e-15,0.9285714285714286,0.023809523809523808,0.030303030303030304,0.02666666666666667,,948,41,32,1,0.9344422700587084,0.14583333333333334,0.21212121212121213,0.1728395061728395,948,41,26,7
Q99.000,0.0015975019010769408,0.958904109589041,0.09090909090909091,0.030303030303030304,0.045454545454545456,,979,10,32,1,0.9647749510763209,0.4117647058823529,0.21212121212121213,0.27999999999999997,979,10,26,7
Q100.000,0.5625516772270203,0.961839530332681,0.0,0.0,0.0,,983,6,33,0,0.961839530332681,0.0,0.0,0.0,983,6,33,0
Q_off_f1_best,0.0,0.03228962818003914,0.03228962818003914,1.0,0.06255924170616113,0.4929221435793731,0,989,0,33,0.03228962818003914,0.03228962818003914,1.0,0.06255924170616113,0,989,0,33
