,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,39.054549407958994,0.8015083845959383,0.007204864161951288,0.9192825112107623,0.014297670525875297,113933,28248,18,205,0.8015083845959383,0.007204864161951288,0.9192825112107623,0.014297670525875297,113933,28248,18,205
Q91.000,41.91741458892822,0.8172031684503245,0.007819055610649172,0.9192825112107623,0.015506221398585528,116168,26013,18,205,0.8172031684503245,0.007819055610649172,0.9192825112107623,0.015506221398585528,116168,26013,18,205
Q92.000,45.476623840332046,0.8345832982219601,0.008551329036606428,0.9103139013452914,0.016943493865286704,118645,23536,20,203,0.8345832982219601,0.008551329036606428,0.9103139013452914,0.016943493865286704,118645,23536,20,203
Q93.000,49.870637283325195,0.8525673436139434,0.009446438692612885,0.8968609865470852,0.0186959569992989,121209,20972,23,200,0.8525673436139434,0.009446438692612885,0.8968609865470852,0.0186959569992989,121209,20972,23,200
Q94.000,55.19610374450689,0.87100081458386,0.010730655163116743,0.8923766816143498,0.021206308610400678,123835,18346,24,199,0.87100081458386,0.010730655163116743,0.8923766816143498,0.021206308610400678,123835,18346,24,199
Q95.000,62.39289608001712,0.8913724333586135,0.012595907928388746,0.8834080717488789,0.02483767257139255,126738,15443,26,197,0.8913724333586135,0.012595907928388746,0.8834080717488789,0.02483767257139255,126738,15443,26,197
Q96.000,72.45588928222709,0.9108662678014663,0.014936984596234635,0.8609865470852018,0.029364533149805,129519,12662,31,192,0.9108662678014663,0.014936984596234635,0.8609865470852018,0.029364533149805,129519,12662,31,192
Q97.000,87.05664794921877,0.9320173590629477,0.018823768823768825,0.8295964125560538,0.03681225748681723,132538,9643,38,185,0.9320173590629477,0.018823768823768825,0.8295964125560538,0.03681225748681723,132538,9643,38,185
Q98.000,116.18292449951197,0.9550995758546108,0.026400613967766693,0.7713004484304933,0.05105372514099139,135838,6343,51,172,0.955106598129266,0.026550030693677104,0.7757847533632287,0.05134292921798487,135838,6343,50,173
Q99.000,225.13768890381706,0.9820019100587062,0.05241009946442234,0.6143497757847534,0.09658089531194924,139704,2477,86,137,0.9820159546080166,0.053134556574923546,0.6233183856502242,0.0979218034519197,139704,2477,84,139
Q100.000,2327768.5,0.9984270104772338,0.0,0.0,0.0,142180,1,223,0,0.9984270104772338,0.0,0.0,0.0,142180,1,223,0
Qbest,2566.355712890625,0.9971700233139519,0.2077922077922078,0.28699551569506726,0.24105461393596989,141937,244,159,64,0.9971981124125727,0.21794871794871795,0.30493273542600896,0.2542056074766355,141937,244,155,68
