,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,39.51171951293947,0.7970351956405719,0.006775813441562908,0.8834080717488789,0.013448475953169267,,113304,28877,26,197,0.7970351956405719,0.006775813441562908,0.8834080717488789,0.013448475953169267,113304,28877,26,197
Q91.000,42.49973991394044,0.8141835903485857,0.007323118521856692,0.874439461883408,0.014524598711407396,,115748,26433,28,195,0.8141835903485857,0.007323118521856692,0.874439461883408,0.014524598711407396,115748,26433,28,195
Q92.000,46.15168106079102,0.8316128760428078,0.007994366663905227,0.8654708520179372,0.0158423968807716,,118232,23949,30,193,0.8316128760428078,0.007994366663905227,0.8654708520179372,0.0158423968807716,118232,23949,30,193
Q93.000,50.65216018676762,0.84973034465324,0.008905380333951763,0.8609865470852018,0.017628425836661618,,120813,21368,31,192,0.84973034465324,0.008905380333951763,0.8609865470852018,0.017628425836661618,120813,21368,31,192
Q94.000,56.83546951293946,0.8707480126962726,0.01023541453428864,0.852017937219731,0.020227829234536355,,123808,18373,33,190,0.8707480126962726,0.01023541453428864,0.852017937219731,0.020227829234536355,123808,18373,33,190
Q95.000,64.70118484497073,0.8911898542175781,0.012014314928425357,0.8430493273542601,0.02369100875811228,,126721,15460,35,188,0.8911898542175781,0.012014314928425357,0.8430493273542601,0.02369100875811228,126721,15460,35,188
Q96.000,74.82854614257816,0.9108381787028454,0.014025245441795231,0.8071748878923767,0.02757141763038983,,129527,12654,43,180,0.9108381787028454,0.014025245441795231,0.8071748878923767,0.02757141763038983,129527,12654,43,180
Q97.000,90.08620056152344,0.9315890003089801,0.01743891310960154,0.7713004484304933,0.034106682530239935,,132490,9691,51,172,0.9315890003089801,0.01743891310960154,0.7713004484304933,0.034106682530239935,132490,9691,51,172
Q98.000,118.24817352295044,0.9543411701918485,0.0241018644838563,0.7130044843049327,0.04662756598240469,,135743,6438,64,159,0.9543622370158141,0.024545454545454544,0.726457399103139,0.047486442913674334,135743,6438,61,162
Q99.000,231.25216705322597,0.9821564001011207,0.048324240062353856,0.5560538116591929,0.08892076012907853,,139739,2442,99,124,0.9821704446504311,0.04906542056074766,0.5650224215246636,0.09029021855965604,139739,2442,97,126
Q100.000,2061971.25,0.9984270104772338,0.0,0.0,0.0,,142180,1,223,0,0.9984270104772338,0.0,0.0,0.0,142180,1,223,0
Q_off_f1_best,10681.869140625,0.9980478076458527,0.3076923076923077,0.19730941704035873,0.24043715846994532,0.9298552154972805,142082,99,179,44,0.9980899412937839,0.33557046979865773,0.2242152466367713,0.26881720430107525,142082,99,173,50
