,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,313.04422302246155,0.39740896358543415,0.007527504342790967,0.65,0.014882655981682886,1122,1714,7,13,0.39985994397759106,0.011534025374855825,1.0,0.022805017103762825,1122,1714,0,20
Q91.000,398.578815612793,0.4177170868347339,0.007789095266626723,0.65,0.015393724097098873,1180,1656,7,13,0.42016806722689076,0.011933174224343675,1.0,0.02358490566037736,1180,1656,0,20
Q92.000,477.34627075195306,0.42857142857142855,0.007936507936507936,0.65,0.015681544028950542,1211,1625,7,13,0.43102240896358546,0.0121580547112462,1.0,0.024024024024024027,1211,1625,0,20
Q93.000,586.147754516602,0.44397759103641454,0.008155583437892095,0.65,0.0161090458488228,1255,1581,7,13,0.44642857142857145,0.012492192379762648,1.0,0.024676125848241824,1255,1581,0,20
Q94.000,792.0176428222715,0.4576330532212885,0.008360128617363344,0.65,0.016507936507936506,1294,1542,7,13,0.46008403361344535,0.012804097311139564,1.0,0.025284450063211124,1294,1542,0,20
Q95.000,980.1218444824225,0.47058823529411764,0.008563899868247694,0.65,0.016905071521456438,1331,1505,7,13,0.4730392156862745,0.013114754098360656,1.0,0.02588996763754045,1331,1505,0,20
Q96.000,1274.4841943359377,0.4744397759103641,0.008626410086264101,0.65,0.017026850032743943,1342,1494,7,13,0.47689075630252103,0.013210039630118891,1.0,0.02607561929595828,1342,1494,0,20
Q97.000,1603.2586706542995,0.47724089635854344,0.00867244829886591,0.65,0.017116524028966424,1350,1486,7,13,0.4796918767507003,0.013280212483399735,1.0,0.026212319790301444,1350,1486,0,20
Q98.000,2320.4439453125046,0.484593837535014,0.008795669824086604,0.65,0.01735647530040053,1371,1465,7,13,0.48704481792717086,0.013468013468013467,1.0,0.026578073089700997,1371,1465,0,20
Q99.000,4144.024980468756,0.4884453781512605,0.008861622358554875,0.65,0.017484868863483525,1382,1454,7,13,0.49089635854341734,0.013568521031207599,1.0,0.026773761713520753,1382,1454,0,20
Q100.000,24906.296875,0.49054621848739494,0.00889801505817933,0.65,0.017555705604321403,1388,1448,7,13,0.49299719887955185,0.013623978201634877,1.0,0.026881720430107524,1388,1448,0,20
Qbest,34409736.0,0.8974089635854342,0.034129692832764506,0.5,0.06389776357827477,2553,283,10,10,0.9009103641456583,0.066006600660066,1.0,0.1238390092879257,2553,283,0,20
