,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,77.95813598632813,0.4373249299719888,0.008059516429014259,0.65,0.015921616656460504,,1236,1600,7,13,0.43977591036414565,0.012345679012345678,1.0,0.024390243902439022,1236,1600,0,20
Q91.000,96.65707237243656,0.4422268907563025,0.008130081300813009,0.65,0.01605929586164299,,1250,1586,7,13,0.44467787114845936,0.012453300124533,1.0,0.02460024600246002,1250,1586,0,20
Q92.000,115.64933380126952,0.44642857142857145,0.008191556395715185,0.65,0.016179215930304913,,1262,1574,7,13,0.4488795518207283,0.012547051442910916,1.0,0.024783147459727387,1262,1574,0,20
Q93.000,142.17887161254893,0.45168067226890757,0.00826972010178117,0.65,0.016331658291457284,,1277,1559,7,13,0.4541316526610644,0.01266624445851805,1.0,0.025015634771732333,1277,1559,0,20
Q94.000,178.2120190429688,0.45518207282913165,0.008322663252240717,0.65,0.016434892541087234,,1287,1549,7,13,0.4576330532212885,0.012746972594008922,1.0,0.02517306482064191,1287,1549,0,20
Q95.000,251.75447158813486,0.45973389355742295,0.008392511297611363,0.65,0.016571064372211602,,1300,1536,7,13,0.46218487394957986,0.012853470437017995,1.0,0.025380710659898477,1300,1536,0,20
Q96.000,370.1993554687502,0.4646358543417367,0.008469055374592834,0.65,0.016720257234726685,,1314,1522,7,13,0.46708683473389356,0.01297016861219196,1.0,0.025608194622279132,1314,1522,0,20
Q97.000,540.067133789065,0.469187675070028,0.008541392904073587,0.65,0.016861219195849545,,1327,1509,7,13,0.47163865546218486,0.013080444735120994,1.0,0.025823111684958037,1327,1509,0,20
Q98.000,1179.5904858398796,0.4793417366946779,0.008707300736771601,0.65,0.017184401850627893,,1356,1480,7,13,0.48179271708683474,0.013333333333333334,1.0,0.02631578947368421,1356,1480,0,20
Q99.000,8943.28075195353,0.4884453781512605,0.008861622358554875,0.65,0.017484868863483525,,1382,1454,7,13,0.49089635854341734,0.013568521031207599,1.0,0.026773761713520753,1382,1454,0,20
Q100.000,314288.40625,0.49054621848739494,0.00889801505817933,0.65,0.017555705604321403,,1388,1448,7,13,0.49299719887955185,0.013623978201634877,1.0,0.026881720430107524,1388,1448,0,20
Q_off_f1_best,43258448.0,0.9523809523809523,0.03968253968253968,0.25,0.06849315068493152,0.5986424541607898,2715,121,15,5,0.9576330532212886,0.14184397163120568,1.0,0.24844720496894412,2715,121,0,20
