,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,23.426875877380372,0.572632058287796,0.3907839915010873,0.9655879578360198,0.5563906220457553,26758,36701,839,23542,0.5820924408014572,0.3990732553950945,0.9996718756408679,0.5704288806974431,26758,36701,8,24373
Q91.000,26.580652866363526,0.588615664845173,0.3998705259033374,0.9627168696936139,0.5650457390467021,28232,35227,909,23472,0.5988274134790528,0.40890328209946974,0.9995078134613018,0.5803731974231039,28232,35227,12,24369
Q92.000,30.652446365356468,0.6064549180327868,0.4105782396517221,0.9593125794676183,0.5750427182317726,29882,33577,992,23389,0.6175432604735883,0.4204867103900587,0.9992617201919527,0.5919024307284897,29882,33577,18,24363
Q93.000,35.697586975097664,0.6236338797814208,0.42147548992997125,0.9553340716131414,0.5849028175380444,31488,31971,1089,23292,0.6358151183970856,0.4324640974206948,0.9992207046470613,0.6036623138488986,31488,31971,19,24362
Q94.000,42.971072235107464,0.6436589253187613,0.435047869344847,0.9505352528608343,0.5969015209076509,33364,30095,1206,23175,0.6571493624772313,0.44734184188779724,0.9991386735572783,0.6179917804048911,33364,30095,21,24360
Q95.000,53.743423843383866,0.6659722222222222,0.45134392780066707,0.9435626102292769,0.610609016469589,35494,27965,1376,23005,0.6813979963570127,0.46555183946488293,0.9991386735572783,0.635152400073006,35494,27965,21,24360
Q96.000,70.65142272949223,0.6885815118397086,0.46932122962657313,0.9330216151921579,0.6245075565194713,37737,25722,1633,22748,0.7069330601092896,0.4864023002276267,0.9991386735572783,0.6542846782966036,37737,25722,21,24360
Q97.000,99.8550164794922,0.7090619307832423,0.4871142499945167,0.9109142364956319,0.6347786320633377,40075,23384,2172,22209,0.7335496357012751,0.5102211796246648,0.9991386735572783,0.6754939341421143,40075,23384,21,24360
Q98.000,166.88796813964956,0.7203438069216758,0.49772468714448237,0.8254378409417169,0.6209982257193551,43150,20309,4256,20125,0.768556466302368,0.5453446461751998,0.9991386735572783,0.7055756698044895,43150,20309,21,24360
Q99.000,408.95518707277864,0.6892759562841531,0.44877070802996727,0.5233173372708256,0.4831856396273574,47787,15672,11622,12759,0.815528233151184,0.6034513296728322,0.9781797301177146,0.7464242120747394,47787,15672,532,23849
Q100.000,2235057.25,0.7224726775956284,1.0,0.00012304663467454166,0.0002460629921259843,63459,0,24378,3,0.7781306921675775,1.0,0.20064804560928592,0.3342329108735012,63459,0,19489,4892
Qbest,114.35639953613281,0.7144467213114755,0.4921229802513465,0.899429883926008,0.6361671574244644,40828,22631,2452,21929,0.7421220400728598,0.518397139877849,0.9991386735572783,0.6826206355433503,40828,22631,21,24360
