,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,24.104591369628906,0.5612868705957355,0.38456143784453795,0.9671055329970059,0.5503004842756286,,25725,37735,802,23579,0.5703145455994354,0.39241953402998053,0.9996308600959763,0.5635926371288502,25725,37735,9,24372
Q91.000,27.573411560058595,0.5786819366810487,0.3940888352120236,0.9636192116812272,0.5594009309856305,,27338,36122,887,23494,0.5886772691567719,0.40288293053856583,0.9996308600959763,0.5743033873343152,27338,36122,9,24372
Q92.000,31.85030937194831,0.5969194339772999,0.40471169800884954,0.9603789836347976,0.5694517066527232,,29019,34441,966,23415,0.6077685818695142,0.41435834651158837,0.9994667979164104,0.5858396441880033,29019,34441,13,24368
Q93.000,37.50899047851566,0.6165344201454901,0.41686475666207934,0.9566465690496698,0.5806901359358662,,30833,32627,1057,23324,0.6283967623319406,0.42752618742652604,0.9993847668266272,0.598864502175142,30833,32627,15,24366
Q94.000,45.27350845336919,0.6385742420965153,0.4314914352669853,0.9515606414831221,0.5937452014127041,,32893,30567,1181,23200,0.6518482257715645,0.44355851673857244,0.9993847668266272,0.6144186398365988,32893,30567,15,24366
Q95.000,55.79983520507829,0.658849512186792,0.4458678967361811,0.9435626102292769,0.6055780038695922,,34869,28591,1376,23005,0.6743434159447182,0.4601091451555035,0.9993847668266272,0.6301171481031317,34869,28591,15,24366
Q96.000,74.93657226562509,0.6832117120706731,0.46455461839127754,0.9262130347401665,0.6187612171363593,,37432,26028,1799,22582,0.7035097505720563,0.48349969241759766,0.9993437512817358,0.6516971139700966,37432,26028,16,24365
Q97.000,105.92654876709005,0.7040448082330575,0.4821594170898653,0.8956564537959887,0.6268605302062551,,40007,23453,2544,21837,0.73276715884382,0.5094848681320979,0.9991386735572783,0.6748483253455967,40007,23453,21,24360
Q98.000,180.89948425292968,0.7180473810635125,0.49500233051944686,0.7840531561461794,0.6068667756631058,,43958,19502,5265,19116,0.7777347707790212,0.5553680946626844,0.9990976580123867,0.7139005304651095,43958,19502,22,24359
Q99.000,415.2037353515708,0.7122983572591387,0.48263496394465016,0.5078544768467249,0.4949236549684227,,50187,13273,11999,12382,0.847360571942487,0.6462325754950825,0.9944629014396457,0.7833925686591277,50187,13273,135,24246
Q100.000,3680776.5,0.7224644528181601,1.0,8.203108978302776e-05,0.00016404872247057374,,63460,0,24379,2,0.7228970526291822,1.0,0.0016406217956605553,0.0032758691290282953,63460,0,24341,40
Q_off_f1_best,103.53202819824219,0.7033162190776516,0.4815376500065937,0.8986095730281777,0.6270553385137166,0.782797639681424,39871,23589,2472,21909,0.7312189068885828,0.5080397922792967,0.9991386735572783,0.6735794276233928,39871,23589,21,24360
