,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,126.77110748291022,0.145479302832244,0.08289897995966602,1.0,0.1531056571181805,7517,94134,0,8509,0.145479302832244,0.08289897995966602,1.0,0.1531056571181805,7517,94134,0,8509
Q91.000,143.6897854614258,0.16913580246913582,0.08505852834451252,1.0,0.15678145670959778,10123,91528,0,8509,0.16913580246913582,0.08505852834451252,1.0,0.15678145670959778,10123,91528,0,8509
Q92.000,166.54117370605456,0.20103485838779955,0.08815515472996073,1.0,0.1620268108766852,13637,88014,0,8509,0.20103485838779955,0.08815515472996073,1.0,0.1620268108766852,13637,88014,0,8509
Q93.000,193.90672851562542,0.24081336238198983,0.09234759770351961,1.0,0.1690809736711376,18019,83632,0,8509,0.24081336238198983,0.09234759770351961,1.0,0.1690809736711376,18019,83632,0,8509
Q94.000,230.91380950927734,0.2933369644153958,0.09853511666956169,1.0,0.1793936582897622,23805,77846,0,8509,0.2933369644153958,0.09853511666956169,1.0,0.1793936582897622,23805,77846,0,8509
Q95.000,286.87365417480515,0.37090595497458245,0.10935612389153065,1.0,0.19715242298914493,32350,69301,0,8509,0.37090595497458245,0.10935612389153065,1.0,0.19715242298914493,32350,69301,0,8509
Q96.000,392.2705603027352,0.4978939724037763,0.13332602121558734,1.0,0.2352827319231301,46339,55312,0,8509,0.4978939724037763,0.13332602121558734,1.0,0.2352827319231301,46339,55312,0,8509
Q97.000,614.108006591797,0.6649872912127814,0.18733759083902224,0.9997649547537901,0.3155473951668243,64748,36903,2,8507,0.6650054466230937,0.18737338148507002,1.0,0.3156098737041227,64748,36903,0,8509
Q98.000,909.6268493652382,0.7839596949891068,0.2608546046046046,0.9800211540721588,0.41203646515304987,78022,23629,170,8339,0.78550290486565,0.2647644532951646,1.0,0.4186778852067804,78022,23629,0,8509
Q99.000,2153.5918920899117,0.8468500363108207,0.30723835869064087,0.7831707603713715,0.44133911718931085,86625,15026,1845,6664,0.8635984023238925,0.36154663267473974,1.0,0.5310822618899014,86625,15026,0,8509
Q100.000,69628.3203125,0.851661220043573,0.28811816902932585,0.6258079680338465,0.3945759697677004,88494,13157,3184,5325,0.880183369644154,0.3915556788753237,0.9950640498295922,0.5619752430889722,88494,13157,42,8467
Qbest,455241.78125,0.9666485112563544,0.9348803741680158,0.6107650722764132,0.7388399203866932,101289,362,3312,5197,0.9956427015250545,0.9586427510567805,0.9861323304736161,0.9721932568647897,101289,362,118,8391
