,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,139319508992.0,0.5017617121231893,0.03649265078560568,0.9,0.07014125669751584,,3701,3802,16,144,0.5038496672321545,0.04038364462392731,1.0,0.07763221737020863,3701,3802,0,160
Q91.000,139319508992.0,0.5017617121231893,0.03649265078560568,0.9,0.07014125669751584,,3701,3802,16,144,0.5038496672321545,0.04038364462392731,1.0,0.07763221737020863,3701,3802,0,160
Q92.000,139319508992.0,0.5017617121231893,0.03649265078560568,0.9,0.07014125669751584,,3701,3802,16,144,0.5038496672321545,0.04038364462392731,1.0,0.07763221737020863,3701,3802,0,160
Q93.000,139319508992.0,0.5017617121231893,0.03649265078560568,0.9,0.07014125669751584,,3701,3802,16,144,0.5038496672321545,0.04038364462392731,1.0,0.07763221737020863,3701,3802,0,160
Q94.000,139319508992.0,0.5017617121231893,0.03649265078560568,0.9,0.07014125669751584,,3701,3802,16,144,0.5038496672321545,0.04038364462392731,1.0,0.07763221737020863,3701,3802,0,160
Q95.000,139319508992.0,0.5017617121231893,0.03649265078560568,0.9,0.07014125669751584,,3701,3802,16,144,0.5038496672321545,0.04038364462392731,1.0,0.07763221737020863,3701,3802,0,160
Q96.000,139319508992.0,0.5017617121231893,0.03649265078560568,0.9,0.07014125669751584,,3701,3802,16,144,0.5038496672321545,0.04038364462392731,1.0,0.07763221737020863,3701,3802,0,160
Q97.000,139319508992.0,0.5017617121231893,0.03649265078560568,0.9,0.07014125669751584,,3701,3802,16,144,0.5038496672321545,0.04038364462392731,1.0,0.07763221737020863,3701,3802,0,160
Q98.000,139319508992.0,0.5017617121231893,0.03649265078560568,0.9,0.07014125669751584,,3701,3802,16,144,0.5038496672321545,0.04038364462392731,1.0,0.07763221737020863,3701,3802,0,160
Q99.000,139319508992.0,0.5017617121231893,0.03649265078560568,0.9,0.07014125669751584,,3701,3802,16,144,0.5038496672321545,0.04038364462392731,1.0,0.07763221737020863,3701,3802,0,160
Q100.000,139319508992.0,0.5017617121231893,0.03649265078560568,0.9,0.07014125669751584,,3701,3802,16,144,0.5038496672321545,0.04038364462392731,1.0,0.07763221737020863,3701,3802,0,160
Q_off_f1_best,9.45928571743119e+24,0.6775414328591935,0.05230530802014723,0.84375,0.0985041955490697,0.6762490836998534,5057,2446,25,135,0.6808038627169516,0.06139677666922486,1.0,0.11569052783803324,5057,2446,0,160
