,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,1.8885399103164673,0.934374635738431,0.0387409200968523,0.08791208791208792,0.05378151260504202,,8000,397,166,16,0.9537242102809185,0.3143350604490501,1.0,0.4783180026281209,8000,397,0,182
Q91.000,2.2612627148628235,0.9403193845436532,0.041666666666666664,0.08241758241758242,0.055350553505535055,,8052,345,167,15,0.9597855227882037,0.34535104364326374,1.0,0.5133991537376587,8052,345,0,182
Q92.000,2.9689109325408936,0.9484788436880756,0.045454545454545456,0.07142857142857142,0.05555555555555555,,8124,273,169,13,0.9681781093367525,0.4,1.0,0.5714285714285715,8124,273,0,182
Q93.000,3.7237913608551025,0.9541904650891713,0.05485232067510549,0.07142857142857142,0.06205250596658712,,8173,224,169,13,0.9738897307378482,0.4482758620689655,1.0,0.6190476190476191,8173,224,0,182
Q94.000,5.503994941711426,0.9592027042778879,0.0625,0.06593406593406594,0.06417112299465241,,8217,180,170,12,0.979018533628628,0.5027624309392266,1.0,0.6691176470588235,8217,180,0,182
Q95.000,11.65516185760498,0.9647977619769204,0.08333333333333333,0.06593406593406594,0.07361963190184048,,8265,132,170,12,0.9846135913276606,0.5796178343949044,1.0,0.7338709677419354,8265,132,0,182
Q96.000,117.2425308227539,0.9685278004429421,0.09259259259259259,0.054945054945054944,0.06896551724137931,,8299,98,172,10,0.9885767571978086,0.65,1.0,0.787878787878788,8299,98,0,182
Q97.000,250.71507644653346,0.9706259470800792,0.1111111111111111,0.054945054945054944,0.07352941176470587,,8317,80,172,10,0.9906749038349458,0.6946564885496184,1.0,0.8198198198198199,8317,80,0,182
Q98.000,1269.4452514649145,0.9726075300151533,0.136986301369863,0.054945054945054944,0.0784313725490196,,8334,63,172,10,0.9926564867700198,0.7428571428571429,1.0,0.8524590163934427,8334,63,0,182
Q99.000,4436.7767333984375,0.9755216225667327,0.20833333333333334,0.054945054945054944,0.08695652173913045,,8359,38,172,10,0.9955705793215992,0.8272727272727273,1.0,0.9054726368159205,8359,38,0,182
Q100.000,31647.509765625,0.9782025877141858,0.2222222222222222,0.01098901098901099,0.020942408376963352,,8390,7,180,2,0.9991840540855578,0.9629629629629629,1.0,0.9811320754716981,8390,7,0,182
Q_off_f1_best,6450.759765625,0.9766872595873645,0.2631578947368421,0.054945054945054944,0.09090909090909091,0.5252866997239988,8369,28,172,10,0.996736216342231,0.8666666666666667,1.0,0.9285714285714286,8369,28,0,182
