,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,167.91774291992206,0.30337552742616036,0.03916647209899603,0.9319444444444445,0.07517365001120323,6519,16461,49,671,0.30544303797468353,0.041906757464641176,1.0,0.08044243338360986,6519,16461,0,720
Q91.000,199.99251373291023,0.32649789029535864,0.03962788449921469,0.9111111111111111,0.07595229825170777,7082,15898,64,656,0.3291983122362869,0.04332651341918402,1.0,0.0830545622332449,7082,15898,0,720
Q92.000,246.40369628906402,0.3560759493670886,0.0409168403106649,0.9,0.07827504982786737,7791,15189,72,648,0.3591139240506329,0.04525740147086555,1.0,0.08659570629622948,7791,15189,0,720
Q93.000,314.0051388549804,0.38624472573839663,0.04188204108681246,0.8777777777777778,0.07994939911448451,8522,14458,88,632,0.389957805907173,0.04743707998418764,1.0,0.09057743112341175,8522,14458,0,720
Q94.000,400.77470764160245,0.41751054852320674,0.043280977312390924,0.8611111111111112,0.08241940844134263,9275,13705,100,620,0.42172995780590716,0.04991334488734835,1.0,0.0950808847804556,9275,13705,0,720
Q95.000,545.7003448486338,0.46624472573839665,0.04611170293714807,0.8416666666666667,0.0874332708122926,10444,12536,114,606,0.4710548523206751,0.05431502715751358,1.0,0.1030337721808815,10444,12536,0,720
Q96.000,756.236572265625,0.5479746835443038,0.05344534810975065,0.8305555555555556,0.10042824754387439,12389,10591,122,598,0.5531223628691984,0.06365484926178057,1.0,0.11969079876984458,12389,10591,0,720
Q97.000,1092.9346655273482,0.6556962025316456,0.06734124214933705,0.8041666666666667,0.12427559562137798,14961,8019,141,579,0.6616455696202531,0.082389289392379,1.0,0.1522359657469077,14961,8019,0,720
Q98.000,1875.1831469726592,0.7507172995780591,0.0824211204121056,0.7111111111111111,0.14772071552221583,17280,5700,208,512,0.759493670886076,0.11214953271028037,1.0,0.20168067226890757,17280,5700,0,720
Q99.000,4298.418564453205,0.860210970464135,0.12496384148105294,0.6,0.20684701939190808,19955,3025,288,432,0.8723628691983122,0.19225634178905207,1.0,0.322508398656215,19955,3025,0,720
Q100.000,17914390.0,0.9422784810126582,0.046218487394957986,0.04583333333333333,0.046025104602510455,22299,681,687,33,0.9429535864978903,0.06712328767123288,0.06805555555555555,0.06758620689655173,22299,681,671,49
Qbest,7459.6611328125,0.8986919831223629,0.1469970600587988,0.4861111111111111,0.2257336343115124,20949,2031,370,350,0.9143037974683544,0.2617230098146129,1.0,0.414866032843561,20949,2031,0,720
