,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,218.91676940917915,0.8150586646408373,0.1508695652173913,0.5931623931623932,0.24055459272097052,,18618,3906,476,694,0.8351481387693087,0.23049645390070922,1.0,0.37463976945244953,18618,3906,0,1170
Q91.000,251.3817199707032,0.8263273402549168,0.15651971075344062,0.5735042735042735,0.2459226681326736,,18908,3616,499,671,0.8473875242677471,0.24446301713330548,1.0,0.3928811282740094,18908,3616,0,1170
Q92.000,293.4757812499997,0.8388199544188402,0.16476841305998483,0.5564102564102564,0.2542472173403632,,19224,3300,519,651,0.8607242339832869,0.26174496644295303,1.0,0.41489361702127664,19224,3300,0,1170
Q93.000,350.2623522949221,0.8496243774795307,0.16956641811654238,0.5247863247863248,0.2563139219369651,,19517,3007,556,614,0.8730902338144678,0.28010533875987553,1.0,0.4376285767720217,19517,3007,0,1170
Q94.000,435.1229553222654,0.8636363636363636,0.18184624884223527,0.5034188034188034,0.2671807666137447,,19874,2650,581,589,0.8881573394108213,0.306282722513089,1.0,0.46893787575150303,19874,2650,0,1170
Q95.000,555.6468261718752,0.8763822064657719,0.19387399930386356,0.47606837606837604,0.2755379668562949,,20208,2316,613,557,0.9022537351228159,0.33562822719449226,1.0,0.5025773195876289,20208,2316,0,1170
Q96.000,739.5372998046909,0.8888326158521145,0.20766773162939298,0.4444444444444444,0.28307022318998365,,20540,1984,650,520,0.9162657212796489,0.3709575142675967,1.0,0.5411655874190564,20540,1984,0,1170
Q97.000,1041.2646142578149,0.9040685405587913,0.23421686746987952,0.4153846153846154,0.299537750385208,,20935,1589,684,486,0.9329366084240736,0.42406669083001086,1.0,0.5955713922117587,20935,1589,0,1170
Q98.000,1711.0479443359739,0.9167721786106188,0.25154894671623296,0.347008547008547,0.29166666666666663,,21316,1208,764,406,0.9490166286823668,0.4920100925147183,1.0,0.6595264937993236,21316,1208,0,1170
Q99.000,4503.409824218759,0.9363974001857011,0.31704668838219324,0.24957264957264957,0.27929220468675275,,21895,629,878,292,0.9734531949016628,0.6503613118399111,1.0,0.7881441562815763,21895,629,0,1170
Q100.000,812719.9375,0.9522663965560901,0.9148936170212766,0.03675213675213675,0.07066557107641742,,22520,4,1127,43,0.9917278635941589,0.9959266802443992,0.8358974358974359,0.9089219330855018,22520,4,192,978
Q_off_f1_best,1308.6004638671875,0.9117498100785009,0.24767123287671233,0.38632478632478634,0.30183639398998335,0.7450445261047285,21151,1373,718,452,0.9420528403815311,0.4600865119937082,1.0,0.6302181524373821,21151,1373,0,1170
