,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,10.936197280883809,0.25874879700568326,0.13711056119780485,0.965337827934926,0.24011647645065815,63724,331611,1892,52692,0.2620871756916245,0.14046992651728205,0.992855049098637,0.24611877226724554,63724,331611,390,54194
Q91.000,13.469371862411514,0.2705064689421874,0.1389023054488829,0.9641653231716254,0.24282243943626877,69078,326257,1956,52628,0.2739870954549597,0.14244672769949349,0.992855049098637,0.2491477697196777,69078,326257,390,54194
Q92.000,17.694339294433615,0.2838999908872486,0.14104129051989409,0.963157701890664,0.2460516739872652,75159,320176,2011,52573,0.286984990631647,0.14422791651186598,0.9885863989447458,0.25173014617898354,75159,320176,623,53961
Q93.000,27.063885021209728,0.29895603430839773,0.14334978737368903,0.9603180419170453,0.24946162870107963,82088,313247,2166,52418,0.3023855405084026,0.14694941286682206,0.9885863989447458,0.2558654502693271,82088,313247,623,53961
Q94.000,47.13749855041505,0.3125429243930574,0.1455424932647563,0.9580463139381504,0.2526963816298129,88325,307010,2290,52294,0.3146455250834039,0.14778625954198474,0.9753773999706874,0.256680985647271,88325,307010,1344,53240
Q95.000,83.20047035217304,0.3233826533220424,0.1474397509602874,0.9570753334310421,0.25551656252674826,93255,302080,2343,52241,0.32560305299398334,0.14983676685804345,0.9753773999706874,0.25976814083297556,93255,302080,1344,53240
Q96.000,141.1572900390628,0.3321442304059175,0.14898033180970763,0.9559944306023743,0.25778754832096235,97256,298079,2402,52182,0.33449576479321835,0.15154318439936354,0.9753773999706874,0.2623286844393858,97256,298079,1344,53240
Q97.000,232.8606835937507,0.3389854618275734,0.14955418351648034,0.9492158874395428,0.25839656681470324,100704,294631,2772,51812,0.34215936646374123,0.1530452380336389,0.9753773999706874,0.26457616379471,100704,294631,1344,53240
Q98.000,430.95192443847674,0.34464203556640194,0.14928418790943168,0.9368496262641067,0.25753150086117466,103924,291411,3447,51137,0.34931621025117854,0.15447510670214218,0.9753773999706874,0.26671008303380217,103924,291411,1344,53240
Q99.000,1124.0364270019684,0.3521167143419149,0.14941443534519755,0.9248864136010553,0.25726756407610396,107940,287395,4100,50484,0.35824226138482707,0.1562963289151144,0.9753773999706874,0.2694202454841493,107940,287395,1344,53240
Q100.000,96540008.0,0.8875286440448169,0.9535201640464799,0.07667081928770336,0.14192935750258595,395131,204,50399,4185,0.9683343001740313,0.9949932507056081,0.742726806390151,0.8505491508355275,395131,204,14043,40541
Qbest,10321330.0,0.8268710590128445,0.3795049934867564,0.6725047633006009,0.4852025642720243,335317,60018,17876,36708,0.8466057223633587,0.4316746366175844,0.8351714788216327,0.5691651736386394,335317,60018,8997,45587
