,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,15.716469573974615,0.25938224435954027,0.13705353653771005,0.9637989154330939,0.2399813883047391,,64093,331242,1976,52608,0.2629073233181973,0.14060440643842298,0.992855049098637,0.24632516703786195,64093,331242,390,54194
Q91.000,21.237483730316168,0.2773010252956643,0.13982322089401242,0.962168400996629,0.24416426077537115,,72244,323091,2065,52519,0.28102391763850826,0.14364207429396875,0.992855049098637,0.25097425376676724,72244,323091,390,54194
Q92.000,29.488004837036144,0.2930416363834379,0.14238987633141878,0.9610325370071816,0.24803067699320078,,79388,315947,2127,52457,0.29690233130852445,0.14641447448404796,0.992855049098637,0.25519571487433046,79388,315947,390,54194
Q93.000,41.85424087524418,0.30496600499200965,0.144317765302776,0.9593837021837901,0.2508941340494391,,84843,310492,2217,52367,0.3085088649290206,0.14806024370769344,0.9885863989447458,0.25754766285554737,84843,310492,623,53961
Q94.000,61.978825073242284,0.3139965193734872,0.14584936379958294,0.9584310420636084,0.25317221421035824,,88958,306377,2269,52315,0.31765495566979834,0.1497510670537107,0.9885863989447458,0.2601018986701115,88958,306377,623,53961
Q95.000,98.17301559448296,0.3236827073317642,0.1474859956631731,0.9569837314964093,0.25558273803698994,,93395,301940,2348,52236,0.3259142201151763,0.14989582746776284,0.9753773999706874,0.25985689323610667,93395,301940,1344,53240
Q96.000,161.60438842773448,0.3320486576472654,0.14887985335016077,0.9552432947383849,0.25760981803629396,,97254,298081,2443,52141,0.3344913195486299,0.15154232169440482,0.9753773999706874,0.2623273918774097,97254,298081,1344,53240
Q97.000,250.2493377685547,0.3389387867593945,0.14980589636654149,0.9515792173530705,0.2588598226789532,,100554,294781,2643,51941,0.341825973119606,0.15297927423919822,0.9753773999706874,0.26447758969709767,100554,294781,1344,53240
Q98.000,458.2594519042974,0.34618898068318965,0.1496414198137489,0.9373259563241976,0.2580809507475636,,104594,290741,3421,51163,0.3508053671883161,0.15477599053436092,0.9753773999706874,0.26715843087074886,104594,290741,1344,53240
Q99.000,1214.4010925293287,0.35731320526583676,0.1505201085806742,0.925454345595779,0.25892712981211574,,110247,285088,4069,50515,0.36336985101762764,0.15736208649594477,0.9753773999706874,0.2710021582440852,110247,285088,1344,53240
Q100.000,197867904.0,0.8799050495755902,0.9630252100840336,0.010497581708925693,0.020768770727994348,,395313,22,54011,573,0.961715330981799,0.9994118118867471,0.6848343837021837,0.8127452792242382,395313,22,17203,37381
Q_off_f1_best,16725030.0,0.8274867253883477,0.3769722996720401,0.6464898138648688,0.4762438171843475,0.749356057596466,337014,58321,19296,35288,0.8484304952669258,0.43395255842844943,0.8191228198739557,0.5673408790985687,337014,58321,9873,44711
