,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,138.82592620849607,0.38294560185185184,0.07393627338611557,0.8405332264207678,0.13591682266468932,57787,105036,1591,8386,0.3921527777777778,0.08674671558867258,1.0,0.15964477158172655,57787,105036,0,9977
Q91.000,171.213101348877,0.38915509259259257,0.07418759857077939,0.8345193946075975,0.13626172201037592,58920,103903,1651,8326,0.39870949074074075,0.08760976466455918,1.0,0.1611051454499947,58920,103903,0,9977
Q92.000,217.5923266601564,0.3969386574074074,0.0744734655539901,0.826500952190037,0.13663515629530826,60345,102478,1731,8246,0.40695601851851854,0.08871993241741141,1.0,0.1629802665969681,60345,102478,0,9977
Q93.000,279.68810882568357,0.40824652777777776,0.07531939177497146,0.8201864287862083,0.13796882508156227,62362,100461,1794,8183,0.4186284722222222,0.09034028142487187,1.0,0.165710252045011,62362,100461,0,9977
Q94.000,385.0587725830079,0.42260416666666667,0.07605729555175768,0.8073569209181116,0.13901832867350108,64971,97852,1922,8055,0.43372685185185184,0.09252612933440911,1.0,0.16938016739385092,64971,97852,0,9977
Q95.000,555.3830627441411,0.43227430555555557,0.07618690366266544,0.793926029868698,0.1390319891175567,66776,96047,2056,7921,0.44417245370370373,0.09410133554666868,1.0,0.17201575848484066,66776,96047,0,9977
Q96.000,908.7119409179705,0.4364236111111111,0.07400945465178616,0.7610504159567004,0.13490033045517535,67821,95002,2384,7593,0.4502199074074074,0.09503805523009363,1.0,0.17357945648769965,67821,95002,0,9977
Q97.000,1576.110346679712,0.4390335648148148,0.07044201624217036,0.7146436804650697,0.12824317640181662,68735,94088,2847,7130,0.4555092592592593,0.09587277182530149,1.0,0.17497062485750864,68735,94088,0,9977
Q98.000,2720.034477539071,0.44330439814814815,0.06994932365029329,0.7028164778991681,0.12723528184284302,69591,93232,2965,7012,0.46046296296296296,0.09666792624674204,1.0,0.1762938879366706,69591,93232,0,9977
Q99.000,6436.5904443359395,0.4505439814814815,0.07048618482909223,0.6988072566903879,0.1280558361649371,70882,91941,3005,6972,0.46793402777777776,0.0978924233207088,1.0,0.1783278966888601,70882,91941,0,9977
Q100.000,26998466.0,0.45089699074074074,0.058203425812225526,0.5605893555176907,0.10545766514881542,72322,90501,4384,5593,0.45535300925925926,0.0656900396432111,0.6377668637867094,0.11911157701631397,72322,90501,3614,6363
Qbest,850478418100224.0,0.9508680555555555,0.9966599866399466,0.14954395108750126,0.26006623670908147,162818,5,8485,1492,0.9515914351851852,0.9969173859432799,0.16207276736493936,0.2788171394085698,162818,5,8360,1617
