,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,134.8734130859375,0.38854070820529735,0.07407077676385489,0.8339180114262804,0.13605664666154274,,58821,104005,1657,8320,0.3981296621007737,0.0875313646014283,1.0,0.16097257964326914,58821,104005,0,9977
Q91.000,167.35303955078126,0.3994780183214412,0.074575686929071,0.8239951889345495,0.1367727552531319,,60810,102016,1756,8221,0.409639878937287,0.08908592501317046,1.0,0.16359760596868084,60810,102016,0,9977
Q92.000,215.39870605468752,0.4103458851987523,0.07480085486691276,0.8103638368246968,0.13695961512400054,,62824,100002,1892,8085,0.42129476918803493,0.09071731876085434,1.0,0.16634432625295942,62824,100002,0,9977
Q93.000,275.85075378418105,0.41819875812341223,0.07383529411764705,0.7863085095720156,0.13499445051494058,,64421,98405,2132,7845,0.43053650688934797,0.0920540311121773,1.0,0.16858878496776755,64421,98405,0,9977
Q94.000,375.6346069335952,0.42492317841704136,0.07256923194614442,0.7606494938358224,0.13249762118844552,,65839,96987,2388,7589,0.43874238294474055,0.09327437268613739,1.0,0.17063305427523281,65839,96987,0,9977
Q95.000,518.8370666503906,0.4297494835159112,0.07108541097615312,0.7355918612809462,0.12964255116190745,,66923,95903,2638,7339,0.4450154221859574,0.09422931620702682,1.0,0.1722295588527236,66923,95903,0,9977
Q96.000,820.9458984375023,0.4339507994652871,0.06981801085274356,0.7144432194046306,0.12720507535401668,,67860,94966,2849,7128,0.4504377817514742,0.09507065740449577,1.0,0.1736338322311173,67860,94966,0,9977
Q97.000,1600.069958496096,0.43904330364634875,0.06931016720817815,0.7013130199458755,0.12615276438082018,,68871,93955,2980,6997,0.45628837462312577,0.09599545856906438,1.0,0.17517492033114151,68871,93955,0,9977
Q98.000,3361.7837402343807,0.4463927130894718,0.06945030650185911,0.692693194346998,0.12624329829112133,,70227,92599,3066,6911,0.46413546061121624,0.09726446732179067,1.0,0.17728536778228923,70227,92599,0,9977
Q99.000,9335.50781250012,0.4515025780802417,0.06953961727831075,0.6865791320036083,0.1262882321491123,,71171,91655,3127,6850,0.4695983287327188,0.09816789987405541,1.0,0.17878486501984608,71171,91655,0,9977
Q100.000,18467348.0,0.4505998159754171,0.058171341799536126,0.5605893555176907,0.10540499792695338,,72272,90554,4384,5593,0.45505575713384605,0.06565411640888595,0.6377668637867094,0.11905251931820307,72272,90554,3614,6363
Q_off_f1_best,967408634298368.0,0.9508746954624631,0.9966622162883845,0.14964418161772075,0.26021786492374727,0.530660037881263,162821,5,8484,1493,0.9515922755970672,0.9969173859432799,0.16207276736493936,0.2788171394085698,162821,5,8360,1617
