,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0016223233542405069,0.08627450980392157,0.02931937172774869,0.8484848484848485,0.05668016194331984,60,927,5,28,0.09117647058823529,0.034375,1.0,0.06646525679758308,60,927,0,33
Q91.000,0.002089924074243751,0.09019607843137255,0.029442691903259727,0.8484848484848485,0.056910569105691054,64,923,5,28,0.09509803921568627,0.034518828451882845,1.0,0.06673407482305359,64,923,0,33
Q92.000,0.002497257338836794,0.09019607843137255,0.029442691903259727,0.8484848484848485,0.056910569105691054,64,923,5,28,0.09509803921568627,0.034518828451882845,1.0,0.06673407482305359,64,923,0,33
Q93.000,0.0030913407914340534,0.09117647058823529,0.029473684210526315,0.8484848484848485,0.05696846388606307,65,922,5,28,0.09607843137254903,0.03455497382198953,1.0,0.06680161943319839,65,922,0,33
Q94.000,0.003536143270321193,0.09607843137254903,0.02962962962962963,0.8484848484848485,0.05725971370143149,70,917,5,28,0.10098039215686275,0.034736842105263156,1.0,0.0671414038657172,70,917,0,33
Q95.000,0.005561615922488272,0.10588235294117647,0.029946524064171122,0.8484848484848485,0.05785123966942149,80,907,5,28,0.11078431372549019,0.035106382978723406,1.0,0.06783144912641316,80,907,0,33
Q96.000,0.00842115152627239,0.11078431372549019,0.029094827586206896,0.8181818181818182,0.05619146722164412,86,901,6,27,0.11666666666666667,0.035331905781584586,1.0,0.06825232678386764,86,901,0,33
Q97.000,0.012819476425647769,0.11862745098039215,0.029347826086956522,0.8181818181818182,0.056663168940188885,94,893,6,27,0.12450980392156863,0.035637149028077755,1.0,0.06882168925964546,94,893,0,33
Q98.000,0.02032696511596445,0.12549019607843137,0.029572836801752465,0.8181818181818182,0.05708245243128964,101,886,6,27,0.13137254901960785,0.035908596300326445,1.0,0.06932773109243698,101,886,0,33
Q99.000,0.03674809224904236,0.13627450980392156,0.02993348115299335,0.8181818181818182,0.05775401069518717,112,875,6,27,0.14215686274509803,0.03634361233480176,1.0,0.07013815090329437,112,875,0,33
Q100.000,0.5699363946914673,0.40490196078431373,0.024834437086092714,0.45454545454545453,0.04709576138147566,398,589,18,15,0.41568627450980394,0.04227642276422764,0.7878787878787878,0.08024691358024691,398,589,7,26
Qbest,0.00014051100879441947,0.04803921568627451,0.031936127744510975,0.9696969696969697,0.06183574879227053,17,970,1,32,0.049019607843137254,0.03290129611166501,1.0,0.0637065637065637,17,970,0,33
