,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.012228611949831302,0.7672833495618305,0.01652892561983471,0.8,0.03238866396761134,,784,238,1,4,0.7672833495618305,0.01652892561983471,0.8,0.03238866396761134,784,238,1,4
Q91.000,0.015614736722782284,0.7779941577409932,0.017316017316017316,0.8,0.03389830508474576,,795,227,1,4,0.7779941577409932,0.017316017316017316,0.8,0.03389830508474576,795,227,1,4
Q92.000,0.022214501425623964,0.7857838364167478,0.017937219730941704,0.8,0.03508771929824561,,803,219,1,4,0.7857838364167478,0.017937219730941704,0.8,0.03508771929824561,803,219,1,4
Q93.000,0.02765901390463113,0.7925998052580331,0.018518518518518517,0.8,0.03619909502262444,,810,212,1,4,0.7925998052580331,0.018518518518518517,0.8,0.03619909502262444,810,212,1,4
Q94.000,0.043565425798296926,0.8111002921129503,0.02030456852791878,0.8,0.039603960396039604,,829,193,1,4,0.8111002921129503,0.02030456852791878,0.8,0.039603960396039604,829,193,1,4
Q95.000,0.05453228596597913,0.8198636806231743,0.02127659574468085,0.8,0.04145077720207253,,838,184,1,4,0.8198636806231743,0.02127659574468085,0.8,0.04145077720207253,838,184,1,4
Q96.000,0.07399172991514207,0.8305744888023369,0.022598870056497175,0.8,0.04395604395604395,,849,173,1,4,0.8305744888023369,0.022598870056497175,0.8,0.04395604395604395,849,173,1,4
Q97.000,0.08355405546724914,0.8334956183057449,0.022988505747126436,0.8,0.0446927374301676,,852,170,1,4,0.8334956183057449,0.022988505747126436,0.8,0.0446927374301676,852,170,1,4
Q98.000,0.1455414518713952,0.857838364167478,0.026845637583892617,0.8,0.05194805194805195,,877,145,1,4,0.857838364167478,0.026845637583892617,0.8,0.05194805194805195,877,145,1,4
Q99.000,0.41661289542913765,0.9016553067185978,0.038461538461538464,0.8,0.07339449541284404,,922,100,1,4,0.9016553067185978,0.038461538461538464,0.8,0.07339449541284404,922,100,1,4
Q100.000,2.9797468185424805,0.9688412852969815,0.11428571428571428,0.8,0.19999999999999998,,991,31,1,4,0.9688412852969815,0.11428571428571428,0.8,0.19999999999999998,991,31,1,4
Q_off_f1_best,8.949743270874023,0.9892891918208374,0.2857142857142857,0.8,0.4210526315789473,0.8794520547945206,1012,10,1,4,0.9892891918208374,0.2857142857142857,0.8,0.4210526315789473,1012,10,1,4
