,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,1.0497331142425539,0.8211145754332744,0.007873708828688365,0.905829596412556,0.015611716515959502,,116728,25453,21,202,0.8211145754332744,0.007873708828688365,0.905829596412556,0.015611716515959502,116728,25453,21,202
Q91.000,1.1002244877815248,0.8413246818909581,0.008825466520307355,0.9013452914798207,0.017479780850508744,,119607,22574,22,201,0.8413246818909581,0.008825466520307355,0.9013452914798207,0.017479780850508744,119607,22574,22,201
Q92.000,1.1634531593322754,0.8630586219488217,0.010113844277292132,0.8923766816143498,0.02000100507563194,,122704,19477,24,199,0.8630586219488217,0.010113844277292132,0.8923766816143498,0.02000100507563194,122704,19477,24,199
Q93.000,1.2501353502273567,0.8867096429875565,0.012082924435721296,0.8834080717488789,0.02383977733405942,,126074,16107,26,197,0.8867096429875565,0.012082924435721296,0.8834080717488789,0.02383977733405942,126074,16107,26,197
Q94.000,1.3632511043548594,0.9103044858290498,0.014994589581078991,0.8699551569506726,0.02948104247397614,,129437,12744,29,194,0.9103044858290498,0.014994589581078991,0.8699551569506726,0.02948104247397614,129437,12744,29,194
Q95.000,1.5029648780822762,0.9303460576950086,0.018282988871224166,0.8251121076233184,0.035773306114513466,,132301,9880,39,184,0.9303460576950086,0.018282988871224166,0.8251121076233184,0.035773306114513466,132301,9880,39,184
Q96.000,1.6698637533187926,0.9455914159714615,0.02185792349726776,0.7713004484304933,0.04251112209589718,,134484,7697,51,172,0.9455914159714615,0.02185792349726776,0.7713004484304933,0.04251112209589718,134484,7697,51,172
Q97.000,1.952816026210785,0.9604716159658436,0.027777777777777776,0.7130044843049327,0.05347233899445098,,136616,5565,64,159,0.9604716159658436,0.027777777777777776,0.7130044843049327,0.05347233899445098,136616,5565,64,159
Q98.000,2.572920169830331,0.97464256622005,0.03816793893129771,0.6278026905829597,0.07196093549216141,,138653,3528,83,140,0.9746495884947052,0.038430089942763694,0.6322869955156951,0.0724563206577595,138653,3528,82,141
Q99.000,4.342496109008796,0.9868543018454538,0.05743424584004294,0.4798206278026906,0.10258868648130393,,140425,1756,116,107,0.9868753686694194,0.05894962486602358,0.49327354260089684,0.10531354715174723,140425,1756,113,110
Q100.000,123.56021118164062,0.9982795427094745,0.0,0.0,0.0,,142159,22,223,0,0.9982795427094745,0.0,0.0,0.0,142159,22,223,0
Q_off_f1_best,22.099267959594727,0.9973526024549872,0.13679245283018868,0.13004484304932734,0.13333333333333336,0.9388535039480876,141998,183,194,29,0.9973736692789529,0.14883720930232558,0.14349775784753363,0.14611872146118723,141998,183,191,32
