,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,4.342496109008796,0.9861099407320019,0.05659423951490652,0.5022421524663677,0.10172570390554042,0.9451567813060111,140314,1867,111,112,0.9861310075559675,0.058022199798183655,0.515695067264574,0.10430839002267572,140314,1867,108,115
Q99.100,4.706657453536999,0.9871983933035589,0.05947136563876652,0.484304932735426,0.10593428151054439,0.9451431247412387,140473,1708,115,108,0.9872194601275245,0.06102253985706432,0.4977578475336323,0.10871694417238004,140473,1708,112,111
Q99.200,5.064342563629146,0.9881955563045982,0.061899038461538464,0.4618834080717489,0.1091679915209327,0.9451701855554987,140620,1561,120,103,0.9882166231285638,0.0635872825434913,0.47533632286995514,0.11216931216931218,140620,1561,117,106
Q99.300,5.545552494049037,0.9892910311508104,0.06308724832214765,0.42152466367713004,0.10974897840046703,0.9445092456678175,140785,1396,129,94,0.989312097974776,0.06496985934360348,0.4349775784753363,0.11305361305361306,140785,1396,126,97
Q99.400,6.145455215453945,0.990569085138058,0.06656346749226007,0.38565022421524664,0.11353135313531355,0.9445597087247124,140975,1206,137,86,0.9905901519620235,0.06872586872586872,0.3991031390134529,0.11725955204216074,140975,1206,134,89
Q99.500,6.844173007011332,0.9919524732451336,0.06909430438842204,0.33183856502242154,0.11437403400309118,0.9443422129494954,141184,997,149,74,0.9919735400690992,0.07169459962756052,0.3452914798206278,0.1187355435620663,141184,997,146,77
Q99.600,7.78644630432127,0.9931181708378978,0.06939704209328783,0.273542600896861,0.11070780399274047,0.9442727631674437,141363,818,162,61,0.9931392376618634,0.07256235827664399,0.28699551569506726,0.1158371040723982,141363,818,159,64
Q99.700,9.360205757141092,0.9943751580011797,0.07624633431085044,0.23318385650224216,0.11491712707182321,0.9442662345094579,141551,630,171,52,0.9943962248251453,0.08029197080291971,0.24663677130044842,0.1211453744493392,141551,630,168,55
Q99.800,11.575624816894358,0.9953723210022191,0.08396946564885496,0.19730941704035873,0.11780455153949129,0.945370602739898,141701,480,179,44,0.9953793432768743,0.08571428571428572,0.20179372197309417,0.12032085561497327,141701,480,178,45
Q99.900,16.843642013549648,0.9967837982079155,0.12218649517684887,0.17040358744394618,0.14232209737827717,0.9462249265234237,141908,273,185,38,0.9968048650318811,0.1305732484076433,0.18385650224215247,0.1527001862197393,141908,273,182,41
Q100.000,123.56021118164062,0.9982584758855089,0.12121212121212122,0.017937219730941704,0.03125,0.9494183391516713,142152,29,219,4,0.9982654981601641,0.14705882352941177,0.02242152466367713,0.038910505836575876,142152,29,218,5
Q_off_f1_best,22.099267959594727,0.9973315356310216,0.1511111111111111,0.15246636771300448,0.1517857142857143,0.9459370663232487,141990,191,189,34,0.9973385579056768,0.15486725663716813,0.15695067264573992,0.15590200445434296,141990,191,188,35
