,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,1.0497331142425539,0.8293587258784866,0.008411940054718445,0.9237668161434978,0.016672062156037552,0.9488607381426877,117898,24283,17,206,0.8293587258784866,0.008411940054718445,0.9237668161434978,0.016672062156037552,117898,24283,17,206
Q91.000,1.1002244877815248,0.8475113058621949,0.009359875810428272,0.9192825112107623,0.018531073446327685,0.9488607381426877,120484,21697,18,205,0.8475113058621949,0.009359875810428272,0.9192825112107623,0.018531073446327685,120484,21697,18,205
Q92.000,1.1634531593322754,0.8675879891014298,0.010662324701927623,0.9103139013452914,0.021077769702003944,0.9488607381426877,123345,18836,20,203,0.8675879891014298,0.010662324701927623,0.9103139013452914,0.021077769702003944,123345,18836,20,203
Q93.000,1.2501353502273567,0.8905227381253336,0.012746527997970701,0.9013452914798207,0.025137568784392193,0.9488607381426877,126613,15568,22,201,0.8905227381253336,0.012746527997970701,0.9013452914798207,0.025137568784392193,126613,15568,22,201
Q94.000,1.3632511043548594,0.9131485070644083,0.015788214655928553,0.8878923766816144,0.03102475712942651,0.9488607381426877,129838,12343,25,198,0.9131485070644083,0.015788214655928553,0.8878923766816144,0.03102475712942651,129838,12343,25,198
Q95.000,1.5029648780822762,0.9321578045560518,0.019645765472312702,0.8654708520179372,0.038419428685179655,0.9488607381426877,132550,9631,30,193,0.9321578045560518,0.019645765472312702,0.8654708520179372,0.038419428685179655,132550,9631,30,193
Q96.000,1.6698637533187926,0.9465464453245696,0.02421120412105602,0.8430493273542601,0.04707060590886329,0.9488607381426877,134604,7577,35,188,0.9465464453245696,0.02421120412105602,0.8430493273542601,0.04707060590886329,134604,7577,35,188
Q97.000,1.952816026210785,0.9608789078958456,0.03137048720644935,0.8026905829596412,0.06038117726429416,0.9488607381426877,136654,5527,44,179,0.9608789078958456,0.03137048720644935,0.8026905829596412,0.06038117726429416,136654,5527,44,179
Q98.000,2.572920169830331,0.97464256622005,0.043642241379310345,0.726457399103139,0.08233799237611181,0.9488607381426877,138631,3550,61,162,0.9746566107693604,0.04415724286483576,0.7354260089686099,0.08331216662433324,138631,3550,59,164
Q99.000,4.342496109008796,0.986657678155108,0.06305367378843148,0.5426008968609866,0.11297852474323063,0.9488607381426877,140383,1798,102,121,0.9866717227044184,0.06402915148360229,0.5515695067264574,0.11473880597014925,140383,1798,100,123
Q100.000,123.56021118164062,0.99830060953344,0.047619047619047616,0.004484304932735426,0.00819672131147541,0.9488607381426877,142161,20,222,1,0.99830060953344,0.047619047619047616,0.004484304932735426,0.00819672131147541,142161,20,222,1
Q_off_f1_best,22.099267959594727,0.9974228252015392,0.17567567567567569,0.17488789237668162,0.1752808988764045,0.9488607381426877,141998,183,184,39,0.9974368697508497,0.18303571428571427,0.18385650224215247,0.18344519015659957,141998,183,182,41
