,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,4.433309950828545,0.9866998118030392,0.05676392572944297,0.4798206278026906,0.1015180265654649,140403,1778,116,107,0.9867279009016601,0.058761249338274216,0.4977578475336323,0.10511363636363637,140403,1778,112,111
Q99.100,4.81312185716629,0.9878163534732171,0.05944055944055944,0.45739910313901344,0.10520887055183083,140567,1614,121,102,0.9878514648464931,0.06217315514235909,0.4798206278026906,0.11008230452674898,140567,1614,116,107
Q99.200,5.247851840972905,0.9889258728687397,0.05981794538361508,0.4125560538116592,0.10448608745031232,140735,1446,131,92,0.9889539619673605,0.0622568093385214,0.4304932735426009,0.10878186968838527,140735,1446,127,96
Q99.300,5.68609244823457,0.9898738799471924,0.061195104391648665,0.3811659192825112,0.1054590570719603,140877,1304,138,85,0.9899019690458133,0.06389088298636038,0.3991031390134529,0.11014851485148516,140877,1304,134,89
Q99.400,6.287229420661957,0.9910536220892672,0.06390041493775933,0.3452914798206278,0.10784313725490195,141053,1128,146,77,0.991081711187888,0.06699751861042183,0.3632286995515695,0.11312849162011172,141053,1128,142,81
Q99.500,7.039016718864575,0.9923035869778939,0.06739345887016848,0.30493273542600896,0.11038961038961038,141240,941,155,68,0.9923316760765147,0.07107601184600197,0.32286995515695066,0.11650485436893204,141240,941,151,72
Q99.600,8.144824012756082,0.993532485042555,0.0691358024691358,0.25112107623318386,0.10842207163601161,141427,754,167,56,0.9935605741411758,0.07371007371007371,0.26905829596412556,0.11571841851494696,141427,754,163,60
Q99.700,9.424711258888214,0.9942979129799725,0.06754772393538913,0.2062780269058296,0.10176991150442478,141546,635,177,46,0.9943330243532486,0.07434402332361516,0.22869955156950672,0.11221122112211221,141546,635,172,51
Q99.800,11.96759842491138,0.9955619224179096,0.08519269776876268,0.18834080717488788,0.11731843575418992,141730,451,181,42,0.9955970337911857,0.09437751004016064,0.21076233183856502,0.130374479889043,141730,451,176,47
Q99.900,17.041244380950815,0.9967416645599843,0.11746031746031746,0.16591928251121077,0.137546468401487,141903,278,186,37,0.9967697536586051,0.12852664576802508,0.18385650224215247,0.15129151291512918,141903,278,182,41
Q100.000,120.37946319580078,0.9982654981601641,0.0,0.0,0.0,142157,24,223,0,0.9982654981601641,0.0,0.0,0.0,142157,24,223,0
Qbest,43.360206604003906,0.9980688744698183,0.24,0.10762331838565023,0.14860681114551086,142105,76,199,24,0.9980969635684391,0.2692307692307692,0.12556053811659193,0.17125382262996944,142105,76,195,28
