,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,1.0497331142425539,0.7894651835622595,0.006860665517698528,0.9282511210762332,0.013620661292975818,,112216,29965,16,207,0.7894651835622595,0.006860665517698528,0.9282511210762332,0.013620661292975818,112216,29965,16,207
Q91.000,1.1002244877815248,0.8152650206454874,0.007700437868035633,0.9147982062780269,0.015272318921953958,,115893,26288,19,204,0.8152650206454874,0.007700437868035633,0.9147982062780269,0.015272318921953958,115893,26288,19,204
Q92.000,1.1634531593322754,0.8415283278559591,0.00883671854391981,0.9013452914798207,0.017501850319996518,,119636,22545,22,201,0.8415283278559591,0.00883671854391981,0.9013452914798207,0.017501850319996518,119636,22545,22,201
Q93.000,1.2501353502273567,0.8706145894778237,0.010751532093323298,0.8968609865470852,0.021248339973439577,,123779,18402,23,200,0.8706145894778237,0.010751532093323298,0.8968609865470852,0.021248339973439577,123779,18402,23,200
Q94.000,1.3632511043548594,0.8984508862110615,0.013530135301353014,0.8878923766816144,0.026654102443292724,,127745,14436,25,198,0.8984508862110615,0.013530135301353014,0.8878923766816144,0.026654102443292724,127745,14436,25,198
Q95.000,1.5029648780822762,0.922326620038763,0.017109249688112636,0.8609865470852018,0.033551769331585844,,131151,11030,31,192,0.922326620038763,0.017109249688112636,0.8609865470852018,0.033551769331585844,131151,11030,31,192
Q96.000,1.6698637533187926,0.940366843627988,0.02119281991893457,0.820627802690583,0.04131858207270264,,133729,8452,40,183,0.940366843627988,0.02119281991893457,0.820627802690583,0.04131858207270264,133729,8452,40,183
Q97.000,1.952816026210785,0.957557371983933,0.02682490651926516,0.7399103139013453,0.05177282711013492,,136195,5986,58,165,0.957557371983933,0.02682490651926516,0.7399103139013453,0.05177282711013492,136195,5986,58,165
Q98.000,2.572920169830331,0.9738420269093565,0.03775079197465681,0.6412556053811659,0.0713039142358514,,138536,3645,80,143,0.9738490491840117,0.03800475059382423,0.6457399103139013,0.07178464606181456,138536,3645,79,144
Q99.000,4.342496109008796,0.9868332350214881,0.05876068376068376,0.49327354260089684,0.10501193317422435,,140419,1762,113,110,0.9868543018454538,0.06026666666666667,0.5067264573991032,0.10772163965681603,140419,1762,110,113
Q100.000,123.56021118164062,0.9982795427094745,0.0,0.0,0.0,,142159,22,223,0,0.9982795427094745,0.0,0.0,0.0,142159,22,223,0
Q_off_f1_best,22.099267959594727,0.9973806915536081,0.14953271028037382,0.14349775784753363,0.14645308924485126,0.945501475524014,141999,182,191,32,0.9974228252015392,0.17272727272727273,0.17040358744394618,0.17155756207674944,141999,182,185,38
