,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.900,17.041244380950815,0.9967416645599843,0.11501597444089456,0.16143497757847533,0.13432835820895525,141904,277,187,36,0.9967837982079155,0.13166144200626959,0.18834080717488788,0.15498154981549814,141904,277,181,42
Q99.910,18.50991137790697,0.99693828825033,0.11272727272727273,0.13901345291479822,0.1244979919678715,141937,244,192,31,0.9969874441729165,0.1347517730496454,0.17040358744394618,0.15049504950495046,141937,244,185,38
Q99.920,19.78015595550711,0.9970927782927446,0.11952191235059761,0.13452914798206278,0.12658227848101267,141960,221,193,30,0.9971489564899862,0.14671814671814673,0.17040358744394618,0.15767634854771787,141960,221,185,38
Q99.930,22.064406486696036,0.9972964242577456,0.1318181818181818,0.13004484304932734,0.1309255079006772,141990,191,194,29,0.9973385579056768,0.15486725663716813,0.15695067264573992,0.15590200445434296,141990,191,188,35
Q99.940,24.33091022300686,0.9974579365748153,0.13989637305699482,0.1210762331838565,0.1298076923076923,142015,166,196,27,0.9974790033987809,0.15306122448979592,0.13452914798206278,0.1431980906921241,142015,166,193,30
Q99.950,26.231653756141377,0.9976124266172298,0.15384615384615385,0.11659192825112108,0.1326530612244898,142038,143,197,26,0.9976334934411955,0.1686046511627907,0.13004484304932734,0.14683544303797466,142038,143,194,29
Q99.960,29.02557089004583,0.9977318052863684,0.16216216216216217,0.10762331838565023,0.12938005390835583,142057,124,199,24,0.9977598943849891,0.18421052631578946,0.12556053811659193,0.14933333333333335,142057,124,195,28
Q99.970,32.473139742651725,0.9978862953287829,0.18548387096774194,0.1031390134529148,0.13256484149855907,142080,101,200,23,0.997921406702059,0.21705426356589147,0.12556053811659193,0.15909090909090912,142080,101,195,28
Q99.980,39.384716268156005,0.997991629448611,0.205607476635514,0.09865470852017937,0.13333333333333333,142096,85,201,22,0.9980337630965422,0.24778761061946902,0.12556053811659193,0.16666666666666669,142096,85,195,28
Q99.990,45.01814834403662,0.9980969635684391,0.2391304347826087,0.09865470852017937,0.13968253968253969,142111,70,201,22,0.9981390972163703,0.2857142857142857,0.12556053811659193,0.17445482866043613,142111,70,195,28
Q100.000,120.3794631950742,0.9982654981601641,0.0,0.0,0.0,142157,24,223,0,0.9982654981601641,0.0,0.0,0.0,142157,24,223,0
Qbest,43.360206604003906,0.9980618521951631,0.2268041237113402,0.09865470852017937,0.13749999999999998,142106,75,201,22,0.9981039858430943,0.27184466019417475,0.12556053811659193,0.17177914110429446,142106,75,195,28
