,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,1.0497331142425539,0.8284388078986545,0.00840711558768581,0.9282511210762332,0.01666331253773395,0.9477681183426809,117766,24415,16,207,0.8284388078986545,0.00840711558768581,0.9282511210762332,0.01666331253773395,117766,24415,16,207
Q91.000,1.1002244877815248,0.8478273082216792,0.009424035866233587,0.9237668161434978,0.01865773027805452,0.9478145758944349,120528,21653,17,206,0.8478273082216792,0.009424035866233587,0.9237668161434978,0.01865773027805452,120528,21653,17,206
Q92.000,1.1634531593322754,0.8682410606443639,0.010766307789740342,0.9147982062780269,0.021282144906368997,0.9476529048759077,123437,18744,19,204,0.8682410606443639,0.010766307789740342,0.9147982062780269,0.021282144906368997,123437,18744,19,204
Q93.000,1.2501353502273567,0.8911758096682677,0.012946428571428572,0.9103139013452914,0.02552977425642961,0.9475328185702032,126704,15477,20,203,0.8911758096682677,0.012946428571428572,0.9103139013452914,0.02552977425642961,126704,15477,20,203
Q94.000,1.3632511043548594,0.9132187298109604,0.015800813981326312,0.8878923766816144,0.031049082640740164,0.9475744979012573,129848,12333,25,198,0.9132187298109604,0.015800813981326312,0.8878923766816144,0.031049082640740164,129848,12333,25,198
Q95.000,1.5029648780822762,0.9320314036122581,0.019609835399309085,0.8654708520179372,0.03835072031793344,0.9476641171363616,132532,9649,30,193,0.9320314036122581,0.019609835399309085,0.8654708520179372,0.03835072031793344,132532,9649,30,193
Q96.000,1.6698637533187926,0.9463357770849133,0.02375144434458852,0.8295964125560538,0.04618072890664004,0.9477082250020288,134577,7604,38,185,0.9463357770849133,0.02375144434458852,0.8295964125560538,0.04618072890664004,134577,7604,38,185
Q97.000,1.952816026210785,0.960380326395326,0.02984556654520215,0.7713004484304933,0.05746742398930838,0.9473932409087729,136590,5591,51,172,0.960380326395326,0.02984556654520215,0.7713004484304933,0.05746742398930838,136590,5591,51,172
Q98.000,2.572920169830331,0.9738560714586669,0.03898840885142255,0.6636771300448431,0.07365016173177408,0.9463544588825908,138533,3648,75,148,0.9738701160079773,0.03949447077409163,0.672645739910314,0.07460830639144492,138533,3648,73,150
Q99.000,4.342496109008796,0.9860678070840707,0.05686965274282838,0.5067264573991032,0.10226244343891402,0.9457440609003309,140307,1874,110,113,0.9860888739080363,0.05829145728643216,0.5201793721973094,0.10483506552191595,140307,1874,107,116
Q100.000,123.56021118164062,0.9982584758855089,0.12121212121212122,0.017937219730941704,0.03125,0.9510571426940391,142152,29,219,4,0.9982935872587849,0.23684210526315788,0.04035874439461883,0.06896551724137931,142152,29,214,9
Q_off_f1_best,22.099267959594727,0.997310468807056,0.14601769911504425,0.14798206278026907,0.1469933184855234,0.947636504382417,141988,193,190,33,0.9973245133563664,0.15350877192982457,0.15695067264573992,0.15521064301552104,141988,193,188,35
