,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.718041628044156,0.005057391476807893,0.9147982062780269,0.010059171597633136,102048,40133,19,204,0.718041628044156,0.005057391476807893,0.9147982062780269,0.010059171597633136,102048,40133,19,204
Q91.000,0.7437501755568664,0.005454347114650376,0.8968609865470852,0.010842752974980347,105713,36468,23,200,0.7437501755568664,0.005454347114650376,0.8968609865470852,0.010842752974980347,105713,36468,23,200
Q92.000,0.7707508216061346,0.005942766586413921,0.874439461883408,0.011805303305484927,109563,32618,28,195,0.7707508216061346,0.005942766586413921,0.874439461883408,0.011805303305484927,109563,32618,28,195
Q93.000,0.8011010926659363,0.006705754309588176,0.8565022421524664,0.013307322510973316,113889,28292,32,191,0.8011010926659363,0.006705754309588176,0.8565022421524664,0.013307322510973316,113889,28292,32,191
Q94.000,0.8345692536726497,0.007887300181365726,0.8385650224215246,0.015627611566103962,118659,23522,36,187,0.8345692536726497,0.007887300181365726,0.8385650224215246,0.015627611566103962,118659,23522,36,187
Q95.000,0.8717170865986911,0.009833215624490682,0.8116591928251121,0.019431025228126675,123955,18226,42,181,0.8717170865986911,0.009833215624490682,0.8116591928251121,0.019431025228126675,123955,18226,42,181
Q96.000,0.9104379090474987,0.013434806243690301,0.7757847533632287,0.026412213740458015,129477,12704,50,173,0.9104449313221539,0.013511414815965211,0.7802690582959642,0.026562857797114724,129477,12704,49,174
Q97.000,0.9439973596247296,0.02053438891637803,0.7443946188340808,0.03996629348742025,134263,7918,57,166,0.9440043818993848,0.020655534941249228,0.7488789237668162,0.04020221473278768,134263,7918,56,167
Q98.000,0.9643689783994832,0.029850746268656716,0.6905829596412556,0.057227796358231144,137176,5005,69,154,0.9643760006741383,0.030038759689922482,0.695067264573991,0.05758870518298347,137176,5005,68,155
Q99.000,0.984171792927165,0.05006645990252548,0.5067264573991032,0.09112903225806453,140037,2144,110,113,0.9841858374764754,0.05090748118636565,0.515695067264574,0.09266720386784852,140037,2144,108,115
Q100.000,0.998434032751889,1.0,0.0,0.0,142181,0,223,0,0.998434032751889,1.0,0.0,0.0,142181,0,223,0
Qbest,0.994143422937558,0.08207934336525308,0.26905829596412556,0.12578616352201258,141510,671,163,60,0.9941574674868684,0.08458390177353342,0.27802690582959644,0.1297071129707113,141510,671,161,62
