,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,1.038584399223328,0.8244150445212213,0.008020647210641255,0.905829596412556,0.015900503778337533,117198,24983,21,202,0.8244150445212213,0.008020647210641255,0.905829596412556,0.015900503778337533,117198,24983,21,202
Q91.000,1.0918613159656523,0.8444144827392489,0.008999328408327737,0.9013452914798207,0.017820728788013124,120047,22134,22,201,0.8444144827392489,0.008999328408327737,0.9013452914798207,0.017820728788013124,120047,22134,22,201
Q92.000,1.154291524887085,0.86470183421814,0.010235572471967904,0.8923766816143498,0.020239003305364857,122938,19243,24,199,0.86470183421814,0.010235572471967904,0.8923766816143498,0.020239003305364857,122938,19243,24,199
Q93.000,1.242276594638825,0.888086008819977,0.012169377871600646,0.8789237668161435,0.0240063690366832,126271,15910,27,196,0.888086008819977,0.012169377871600646,0.8789237668161435,0.0240063690366832,126271,15910,27,196
Q94.000,1.3567318797111532,0.91099266874526,0.014579759862778732,0.8385650224215246,0.028661200091961072,129542,12639,36,187,0.91099266874526,0.014579759862778732,0.8385650224215246,0.028661200091961072,129542,12639,36,187
Q95.000,1.4990147054195406,0.9305777927586304,0.017958695001496557,0.8071748878923767,0.0351356626976381,132338,9843,43,180,0.9305777927586304,0.017958695001496557,0.8071748878923767,0.0351356626976381,132338,9843,43,180
Q96.000,1.6696671962738039,0.9463217325356029,0.022027566662372794,0.7668161434977578,0.04282494365138993,134589,7592,52,171,0.9463217325356029,0.022027566662372794,0.7668161434977578,0.04282494365138993,134589,7592,52,171
Q97.000,1.962521271705637,0.9611738434313642,0.028103877623621487,0.7085201793721974,0.05406330196749358,136717,5464,65,158,0.9611738434313642,0.028103877623621487,0.7085201793721974,0.05406330196749358,136717,5464,65,158
Q98.000,2.6369021415710607,0.9753167045869499,0.03790005614823133,0.6053811659192825,0.071334214002642,138754,3427,88,135,0.9753167045869499,0.03790005614823133,0.6053811659192825,0.071334214002642,138754,3427,88,135
Q99.000,4.433309950828607,0.9868262127468329,0.055406132329209254,0.4618834080717489,0.09894332372718541,140425,1756,120,103,0.9868543018454538,0.05743424584004294,0.4798206278026906,0.10258868648130393,140425,1756,116,107
Q100.000,120.37946319580078,0.9982654981601641,0.0,0.0,0.0,142157,24,223,0,0.9982654981601641,0.0,0.0,0.0,142157,24,223,0
