,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.9846001516811326,0.05829596412556054,0.5829596412556054,0.1059926620464737,140081,2100,93,130,0.9846071739557878,0.05871806364858808,0.5874439461883408,0.1067644661776691,140081,2100,92,131
Q99.100,0.9861099407320019,0.06059088632949424,0.5426008968609866,0.10900900900900899,140305,1876,102,121,0.9861169630066571,0.06106106106106106,0.547085201793722,0.10986042323277803,140305,1876,101,122
Q99.200,0.9876548411561473,0.06515580736543909,0.515695067264574,0.11569416498993963,140531,1650,108,115,0.9876548411561473,0.06515580736543909,0.515695067264574,0.11569416498993963,140531,1650,108,115
Q99.300,0.9892699643268448,0.07156927117531188,0.48878923766816146,0.12485681557846505,140767,1414,114,109,0.9892699643268448,0.07156927117531188,0.48878923766816146,0.12485681557846505,140767,1414,114,109
Q99.400,0.9908640206735766,0.08021806853582554,0.4618834080717489,0.1366954213669542,141000,1181,120,103,0.9908640206735766,0.08021806853582554,0.4618834080717489,0.1366954213669542,141000,1181,120,103
Q99.500,0.9920648296396168,0.0827966881324747,0.40358744394618834,0.13740458015267176,141184,997,133,90,0.9920858964635825,0.0853211009174312,0.4170403587443946,0.14166031987814168,141184,997,130,93
Q99.600,0.9934060840987613,0.08372093023255814,0.32286995515695066,0.13296398891966757,141393,788,151,72,0.9934271509227269,0.08690614136732329,0.336322869955157,0.13812154696132597,141393,788,148,75
Q99.700,0.9946771158113537,0.08006279434850863,0.22869955156950672,0.1186046511627907,141595,586,172,51,0.9946981826353193,0.084375,0.242152466367713,0.12514484356894554,141595,586,169,54
Q99.800,0.995849835678773,0.08928571428571429,0.17937219730941703,0.11922503725782416,141773,408,183,40,0.9958709025027387,0.09534368070953436,0.19282511210762332,0.12759643916913946,141773,408,180,43
Q99.900,0.997036600095503,0.11877394636015326,0.13901345291479822,0.128099173553719,141951,230,192,31,0.9970506446448133,0.12547528517110265,0.14798206278026907,0.13580246913580246,141951,230,190,33
Q100.000,0.998434032751889,1.0,0.0,0.0,142181,0,223,0,0.998434032751889,1.0,0.0,0.0,142181,0,223,0
