,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,1.038584399223328,0.8525813881632538,0.00944733112895607,0.8968609865470852,0.01869770485672884,121211,20970,23,200,0.8525813881632538,0.00944733112895607,0.8968609865470852,0.01869770485672884,121211,20970,23,200
Q91.000,1.0918613159656523,0.870319653942305,0.010622317596566523,0.8878923766816144,0.020993479298096803,123739,18442,25,198,0.870319653942305,0.010622317596566523,0.8878923766816144,0.020993479298096803,123739,18442,25,198
Q92.000,1.154291524887085,0.8881913429398051,0.012120082043632295,0.874439461883408,0.0239087788131437,126287,15894,28,195,0.8881913429398051,0.012120082043632295,0.874439461883408,0.0239087788131437,126287,15894,28,195
Q93.000,1.242276594638825,0.9075868655374849,0.014413332332407477,0.8609865470852018,0.02835203780271707,129052,13129,31,192,0.9075868655374849,0.014413332332407477,0.8609865470852018,0.02835203780271707,129052,13129,31,192
Q94.000,1.3567318797111532,0.9259220246622286,0.017386427369601793,0.8340807174887892,0.034062814760553055,131669,10512,37,186,0.9259220246622286,0.017386427369601793,0.8340807174887892,0.034062814760553055,131669,10512,37,186
Q95.000,1.4990147054195406,0.9416519198898907,0.021085050935797205,0.7982062780269058,0.04108482400461628,133917,8264,45,178,0.9416519198898907,0.021085050935797205,0.7982062780269058,0.04108482400461628,133917,8264,45,178
Q96.000,1.6696671962738039,0.9534774304092581,0.025355871886120998,0.7668161434977578,0.04908856035596384,135608,6573,52,171,0.9534774304092581,0.025355871886120998,0.7668161434977578,0.04908856035596384,135608,6573,52,171
Q97.000,1.962521271705637,0.9652537850060392,0.03041144901610018,0.6860986547085202,0.058241339931480784,137303,4878,70,153,0.9652608072806944,0.030604133545310015,0.6905829596412556,0.058610846812559465,137303,4878,69,154
Q98.000,2.6369021415710607,0.9776691665964439,0.03983815748521631,0.5739910313901345,0.07450523864959255,139096,3085,95,128,0.9776902334204095,0.040733830845771146,0.5874439461883408,0.07618493748182611,139096,3085,92,131
Q99.000,4.433309950828607,0.9880691553608044,0.056490384615384616,0.42152466367713004,0.0996290408055114,140611,1570,129,94,0.9881042667340805,0.059316956261234274,0.4439461883408072,0.10465116279069768,140611,1570,124,99
Q100.000,120.37946319580078,0.9983708322799921,0.0,0.0,0.0,142172,9,223,0,0.9983708322799921,0.0,0.0,0.0,142172,9,223,0
