,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,1.038584399223328,0.8533327715513609,0.009495323553150074,0.8968609865470852,0.01879169407122052,121318,20863,23,200,0.8533327715513609,0.009495323553150074,0.8968609865470852,0.01879169407122052,121318,20863,23,200
Q91.000,1.0918613159656523,0.8709797477598944,0.010676156583629894,0.8878923766816144,0.021098620065000802,123833,18348,25,198,0.8709797477598944,0.010676156583629894,0.8878923766816144,0.021098620065000802,123833,18348,25,198
Q92.000,1.154291524887085,0.8888233476587736,0.012249234422848572,0.8789237668161435,0.02416173570019724,126376,15805,27,196,0.8888233476587736,0.012249234422848572,0.8789237668161435,0.02416173570019724,126376,15805,27,196
Q93.000,1.242276594638825,0.9080433133900733,0.01448400724200362,0.8609865470852018,0.02848876029379034,129117,13064,31,192,0.9080433133900733,0.01448400724200362,0.8609865470852018,0.02848876029379034,129117,13064,31,192
Q94.000,1.3567318797111532,0.9261958933737816,0.017359482030590224,0.8295964125560538,0.034007352941176475,131709,10472,38,185,0.9261958933737816,0.017359482030590224,0.8295964125560538,0.034007352941176475,131709,10472,38,185
Q95.000,1.4990147054195406,0.9418766326788574,0.02116527942925089,0.7982062780269058,0.04123711340206186,133949,8232,45,178,0.9418766326788574,0.02116527942925089,0.7982062780269058,0.04123711340206186,133949,8232,45,178
Q96.000,1.6696671962738039,0.9536740540996039,0.025461584276354973,0.7668161434977578,0.04928664072632944,135636,6545,52,171,0.9536740540996039,0.025461584276354973,0.7668161434977578,0.04928664072632944,135636,6545,52,171
Q97.000,1.962521271705637,0.9653099632032808,0.03045988453115668,0.6860986547085202,0.0583301563095692,137311,4870,70,153,0.965316985477936,0.030652866242038217,0.6905829596412556,0.058700209643605866,137311,4870,69,154
Q98.000,2.6369021415710607,0.9777815229909272,0.040037535189239915,0.5739910313901345,0.07485380116959064,139112,3069,95,128,0.9778025898148929,0.0409375,0.5874439461883408,0.07654104586619925,139112,3069,92,131
Q99.000,4.433309950828607,0.9880831999101148,0.05602409638554217,0.4170403587443946,0.09877854487519916,140614,1567,130,93,0.9881183112833909,0.05885885885885886,0.43946188340807174,0.1038135593220339,140614,1567,125,98
Q100.000,120.37946319580078,0.9983708322799921,0.0,0.0,0.0,142172,9,223,0,0.9983708322799921,0.0,0.0,0.0,142172,9,223,0
