,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.1652099400758744,0.9051120448179272,0.05338078291814947,0.75,0.09966777408637874,,2570,266,5,15,0.9068627450980392,0.06993006993006994,1.0,0.13071895424836602,2570,266,0,20
Q91.000,0.22373237356543543,0.9163165266106442,0.05668016194331984,0.7,0.10486891385767791,,2603,233,6,14,0.9184173669467787,0.07905138339920949,1.0,0.14652014652014653,2603,233,0,20
Q92.000,0.29789794206619263,0.9243697478991597,0.05045871559633028,0.55,0.09243697478991597,,2629,207,9,11,0.9275210084033614,0.0881057268722467,1.0,0.16194331983805668,2629,207,0,20
Q93.000,0.3951329812407495,0.9359243697478992,0.0546448087431694,0.5,0.09852216748768473,,2663,173,10,10,0.9394257703081232,0.10362694300518134,1.0,0.18779342723004694,2663,173,0,20
Q94.000,0.4744368040561686,0.947829131652661,0.06711409395973154,0.5,0.11834319526627218,,2697,139,10,10,0.9513305322128851,0.12578616352201258,1.0,0.223463687150838,2697,139,0,20
Q95.000,0.5541060119867334,0.9541316526610645,0.07633587786259542,0.5,0.13245033112582782,,2715,121,10,10,0.9576330532212886,0.14184397163120568,1.0,0.24844720496894412,2715,121,0,20
Q96.000,0.8033009886741653,0.9593837535014006,0.05555555555555555,0.3,0.09375000000000001,,2734,102,14,6,0.9642857142857143,0.16393442622950818,1.0,0.28169014084507044,2734,102,0,20
Q97.000,1.2806643307209098,0.9653361344537815,0.056179775280898875,0.25,0.09174311926605504,,2752,84,15,5,0.9705882352941176,0.19230769230769232,1.0,0.32258064516129037,2752,84,0,20
Q98.000,1.8369403696060207,0.976890756302521,0.08928571428571429,0.25,0.13157894736842105,,2785,51,15,5,0.9821428571428571,0.28169014084507044,1.0,0.43956043956043955,2785,51,0,20
Q99.000,3.4614049744606694,0.9852941176470589,0.15625,0.25,0.19230769230769232,,2809,27,15,5,0.990546218487395,0.425531914893617,1.0,0.5970149253731344,2809,27,0,20
Q100.000,46.06011199951172,0.9929971988795518,1.0,0.0,0.0,,2836,0,20,0,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0
Q_off_f1_best,11.173246383666992,0.9915966386554622,0.25,0.1,0.14285714285714288,0.8113540197461213,2830,6,18,2,0.9978991596638656,0.7692307692307693,1.0,0.8695652173913044,2830,6,0,20
