,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.1652099400758744,0.9117647058823529,0.05725190839694656,0.75,0.10638297872340426,0.7978667136812412,2589,247,5,15,0.913515406162465,0.0749063670411985,1.0,0.1393728222996516,2589,247,0,20
Q91.000,0.22373237356543543,0.9236694677871149,0.06578947368421052,0.75,0.12096774193548387,0.8059590973201692,2623,213,5,15,0.9254201680672269,0.08583690987124463,1.0,0.15810276679841898,2623,213,0,20
Q92.000,0.29789794206619263,0.9285714285714286,0.07009345794392523,0.75,0.1282051282051282,0.8071227080394924,2637,199,5,15,0.9303221288515406,0.091324200913242,1.0,0.16736401673640167,2637,199,0,20
Q93.000,0.3951329812407495,0.9327731092436975,0.052083333333333336,0.5,0.09433962264150943,0.7997179125528915,2654,182,10,10,0.9362745098039216,0.09900990099009901,1.0,0.18018018018018017,2654,182,0,20
Q94.000,0.4744368040561686,0.9481792717086834,0.06756756756756757,0.5,0.11904761904761905,0.8034732016925248,2698,138,10,10,0.9516806722689075,0.12658227848101267,1.0,0.22471910112359553,2698,138,0,20
Q95.000,0.5541060119867334,0.9530812324929971,0.07462686567164178,0.5,0.12987012987012986,0.8008286318758815,2712,124,10,10,0.9565826330532213,0.1388888888888889,1.0,0.24390243902439027,2712,124,0,20
Q96.000,0.8033009886741653,0.9604341736694678,0.08849557522123894,0.5,0.15037593984962405,0.8064527503526093,2733,103,10,10,0.9639355742296919,0.16260162601626016,1.0,0.27972027972027974,2733,103,0,20
Q97.000,1.2806643307209098,0.9600840336134454,0.08771929824561403,0.5,0.14925373134328357,0.7958744710860367,2732,104,10,10,0.9635854341736695,0.16129032258064516,1.0,0.27777777777777773,2732,104,0,20
Q98.000,1.8369403696060207,0.9740896358543417,0.13513513513513514,0.5,0.21276595744680854,0.8100846262341326,2772,64,10,10,0.9775910364145658,0.23809523809523808,1.0,0.3846153846153846,2772,64,0,20
Q99.000,3.4614049744606694,0.9821428571428571,0.19607843137254902,0.5,0.28169014084507044,0.8105253878702398,2795,41,10,10,0.9856442577030813,0.32786885245901637,1.0,0.49382716049382713,2795,41,0,20
Q100.000,46.06011199951172,0.9957983193277311,0.9,0.45,0.6,0.8133638928067701,2835,1,11,9,0.9996498599439776,0.9523809523809523,1.0,0.975609756097561,2835,1,0,20
Q_off_f1_best,11.173246383666992,0.9828431372549019,0.22641509433962265,0.6,0.3287671232876712,0.7866184767277856,2795,41,8,12,0.9856442577030813,0.32786885245901637,1.0,0.49382716049382713,2795,41,0,20
