,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q98.000,1.8369403696060185,0.9772408963585434,0.09090909090909091,0.25,0.13333333333333333,0.8095909732016926,2786,50,15,5,0.9824929971988795,0.2857142857142857,1.0,0.4444444444444445,2786,50,0,20
Q98.100,1.9146985676288664,0.9775910364145658,0.09259259259259259,0.25,0.13513513513513514,0.8095909732016926,2787,49,15,5,0.9828431372549019,0.2898550724637681,1.0,0.44943820224719105,2787,49,0,20
Q98.200,2.1349540395736617,0.9793417366946778,0.10204081632653061,0.25,0.14492753623188406,0.8095909732016926,2792,44,15,5,0.9845938375350141,0.3125,1.0,0.47619047619047616,2792,44,0,20
Q98.300,2.253845402955982,0.9796918767507002,0.10416666666666667,0.25,0.14705882352941177,0.8095909732016926,2793,43,15,5,0.9849439775910365,0.31746031746031744,1.0,0.4819277108433735,2793,43,0,20
Q98.400,2.3949669628143226,0.9810924369747899,0.11363636363636363,0.25,0.15625,0.8095909732016926,2797,39,15,5,0.9863445378151261,0.3389830508474576,1.0,0.5063291139240507,2797,39,0,20
Q98.500,2.5718699538707708,0.9817927170868347,0.11904761904761904,0.25,0.16129032258064516,0.8095909732016926,2799,37,15,5,0.9870448179271709,0.3508771929824561,1.0,0.5194805194805194,2799,37,0,20
Q98.600,2.8437185864448535,0.9842436974789915,0.14285714285714285,0.25,0.18181818181818182,0.8095909732016926,2806,30,15,5,0.9894957983193278,0.4,1.0,0.5714285714285715,2806,30,0,20
Q98.700,3.012885438442228,0.9845938375350141,0.14705882352941177,0.25,0.18518518518518517,0.8095909732016926,2807,29,15,5,0.9898459383753502,0.40816326530612246,1.0,0.5797101449275363,2807,29,0,20
Q98.800,3.147148929595947,0.9845938375350141,0.14705882352941177,0.25,0.18518518518518517,0.8095909732016926,2807,29,15,5,0.9898459383753502,0.40816326530612246,1.0,0.5797101449275363,2807,29,0,20
Q98.900,3.2821336817741398,0.9845938375350141,0.14705882352941177,0.25,0.18518518518518517,0.8095909732016926,2807,29,15,5,0.9898459383753502,0.40816326530612246,1.0,0.5797101449275363,2807,29,0,20
Q99.000,3.461404974460609,0.9845938375350141,0.14705882352941177,0.25,0.18518518518518517,0.8095909732016926,2807,29,15,5,0.9898459383753502,0.40816326530612246,1.0,0.5797101449275363,2807,29,0,20
Q99.100,3.8392828600406683,0.9877450980392157,0.2,0.25,0.22222222222222224,0.8095909732016926,2816,20,15,5,0.9929971988795518,0.5,1.0,0.6666666666666666,2816,20,0,20
Q99.200,3.9853639259338385,0.988795518207283,0.22727272727272727,0.25,0.23809523809523808,0.8095909732016926,2819,17,15,5,0.9940476190476191,0.5405405405405406,1.0,0.7017543859649124,2819,17,0,20
Q99.300,4.385354409217843,0.9908963585434174,0.3125,0.25,0.2777777777777778,0.8095909732016926,2825,11,15,5,0.9961484593837535,0.6451612903225806,1.0,0.7843137254901961,2825,11,0,20
Q99.400,4.752981072425787,0.9912464985994398,0.3333333333333333,0.25,0.28571428571428575,0.8095909732016926,2826,10,15,5,0.9964985994397759,0.6666666666666666,1.0,0.8,2826,10,0,20
Q99.500,5.238870766162857,0.9919467787114846,0.38461538461538464,0.25,0.30303030303030304,0.8095909732016926,2828,8,15,5,0.9971988795518207,0.7142857142857143,1.0,0.8333333333333333,2828,8,0,20
Q99.600,8.389223903655969,0.9926470588235294,0.45454545454545453,0.25,0.3225806451612903,0.8095909732016926,2830,6,15,5,0.9978991596638656,0.7692307692307693,1.0,0.8695652173913044,2830,6,0,20
Q99.700,12.963419114112694,0.9915966386554622,0.25,0.1,0.14285714285714288,0.8095909732016926,2830,6,18,2,0.9978991596638656,0.7692307692307693,1.0,0.8695652173913044,2830,6,0,20
Q99.800,21.396065807342527,0.992296918767507,0.0,0.0,0.0,0.8095909732016926,2834,2,20,0,0.992296918767507,0.0,0.0,0.0,2834,2,20,0
Q99.900,28.99112062072754,0.9926470588235294,0.0,0.0,0.0,0.8095909732016926,2835,1,20,0,0.9926470588235294,0.0,0.0,0.0,2835,1,20,0
Q100.000,46.06011199951172,0.9926470588235294,0.0,0.0,0.0,0.8095909732016926,2835,1,20,0,0.9926470588235294,0.0,0.0,0.0,2835,1,20,0
Q_off_f1_best,11.173246383666992,0.9915966386554622,0.25,0.1,0.14285714285714288,0.8095909732016926,2830,6,18,2,0.9978991596638656,0.7692307692307693,1.0,0.8695652173913044,2830,6,0,20
