,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.07097585275769239,0.44992997198879553,0.011342155009451797,0.9,0.022401991288114504,1267,1569,2,18,0.45063025210084034,0.012586532410320957,1.0,0.024860161591050343,1267,1569,0,20
Q91.000,0.11744557909667525,0.453781512605042,0.011421319796954314,0.9,0.022556390977443608,1278,1558,2,18,0.45448179271708683,0.012674271229404309,1.0,0.025031289111389236,1278,1558,0,20
Q92.000,0.3603255414962775,0.46008403361344535,0.011553273427471117,0.9,0.022813688212927757,1296,1540,2,18,0.46078431372549017,0.01282051282051282,1.0,0.02531645569620253,1296,1540,0,20
Q93.000,0.589044482111931,0.46148459383753504,0.011583011583011582,0.9,0.02287166454891995,1300,1536,2,18,0.46218487394957986,0.012853470437017995,1.0,0.025380710659898477,1300,1536,0,20
Q94.000,0.6159089207649232,0.4653361344537815,0.011665586519766688,0.9,0.023032629558541268,1311,1525,2,18,0.46603641456582634,0.012944983818770227,1.0,0.025559105431309903,1311,1525,0,20
Q95.000,0.7196991652250311,0.47128851540616246,0.011795543905635648,0.9,0.023285899094437255,1328,1508,2,18,0.47198879551820727,0.013089005235602094,1.0,0.025839793281653745,1328,1508,0,20
Q96.000,1.6982433605194107,0.47619047619047616,0.011904761904761904,0.9,0.02349869451697128,1342,1494,2,18,0.47689075630252103,0.013210039630118891,1.0,0.02607561929595828,1342,1494,0,20
Q97.000,1.875160067081453,0.5161064425770309,0.012875536480686695,0.9,0.025387870239774332,1456,1380,2,18,0.5168067226890757,0.014285714285714285,1.0,0.028169014084507043,1456,1380,0,20
Q98.000,2.8445612955094526,0.7559523809523809,0.021216407355021217,0.75,0.041265474552957364,2144,692,5,15,0.757703081232493,0.028089887640449437,1.0,0.0546448087431694,2144,692,0,20
Q99.000,4.778543596267708,0.8953081232492998,0.04262295081967213,0.65,0.07999999999999999,2544,292,7,13,0.8977591036414566,0.0641025641025641,1.0,0.12048192771084336,2544,292,0,20
Q100.000,41.84105682373047,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0
Qbest,11.89445686340332,0.9912464985994398,0.3684210526315789,0.35,0.358974358974359,2824,12,13,7,0.9957983193277311,0.625,1.0,0.7692307692307693,2824,12,0,20
