,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.600,8.389223903655969,0.9901960784313726,0.2777777777777778,0.25,0.2631578947368421,,2823,13,15,5,0.9954481792717087,0.6060606060606061,1.0,0.7547169811320755,2823,13,0,20
Q99.610,8.472814987087245,0.9901960784313726,0.2777777777777778,0.25,0.2631578947368421,,2823,13,15,5,0.9954481792717087,0.6060606060606061,1.0,0.7547169811320755,2823,13,0,20
Q99.620,8.57667047138237,0.9908963585434174,0.3125,0.25,0.2777777777777778,,2825,11,15,5,0.9961484593837535,0.6451612903225806,1.0,0.7843137254901961,2825,11,0,20
Q99.630,9.271681715297333,0.9912464985994398,0.3333333333333333,0.25,0.28571428571428575,,2826,10,15,5,0.9964985994397759,0.6666666666666666,1.0,0.8,2826,10,0,20
Q99.640,9.966692959213157,0.992296918767507,0.4166666666666667,0.25,0.3125,,2829,7,15,5,0.9975490196078431,0.7407407407407407,1.0,0.851063829787234,2829,7,0,20
Q99.650,10.587087944983978,0.992296918767507,0.4166666666666667,0.25,0.3125,,2829,7,15,5,0.9975490196078431,0.7407407407407407,1.0,0.851063829787234,2829,7,0,20
Q99.660,11.046337432479575,0.992296918767507,0.4166666666666667,0.25,0.3125,,2829,7,15,5,0.9975490196078431,0.7407407407407407,1.0,0.851063829787234,2829,7,0,20
Q99.670,11.505586919975173,0.9919467787114846,0.36363636363636365,0.2,0.25806451612903225,,2829,7,16,4,0.9975490196078431,0.7407407407407407,1.0,0.851063829787234,2829,7,0,20
Q99.680,11.983313406371536,0.9915966386554622,0.3,0.15,0.2,,2829,7,17,3,0.9975490196078431,0.7407407407407407,1.0,0.851063829787234,2829,7,0,20
Q99.690,12.473366260242116,0.9915966386554622,0.3,0.15,0.2,,2829,7,17,3,0.9975490196078431,0.7407407407407407,1.0,0.851063829787234,2829,7,0,20
Q99.700,12.963419114112089,0.9915966386554622,0.3,0.15,0.2,,2829,7,17,3,0.9975490196078431,0.7407407407407407,1.0,0.851063829787234,2829,7,0,20
Q_off_f1_best,11.173246383666992,0.992296918767507,0.4166666666666667,0.25,0.3125,0.6468970380818053,2829,7,15,5,0.9975490196078431,0.7407407407407407,1.0,0.851063829787234,2829,7,0,20
