,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,4.778543596267699,0.8627450980392157,0.032663316582914576,0.65,0.06220095693779905,2451,385,7,13,0.8651960784313726,0.04938271604938271,1.0,0.09411764705882353,2451,385,0,20
Q99.100,4.9967490200996085,0.8662464985994398,0.03350515463917526,0.65,0.06372549019607843,2461,375,7,13,0.8686974789915967,0.05063291139240506,1.0,0.09638554216867469,2461,375,0,20
Q99.200,5.393124061584474,0.8995098039215687,0.04436860068259386,0.65,0.0830670926517572,2556,280,7,13,0.9019607843137255,0.06666666666666667,1.0,0.125,2556,280,0,20
Q99.300,5.777269982337846,0.9082633053221288,0.048507462686567165,0.65,0.09027777777777778,2581,255,7,13,0.9107142857142857,0.07272727272727272,1.0,0.13559322033898305,2581,255,0,20
Q99.400,6.927623596191418,0.9453781512605042,0.08024691358024691,0.65,0.14285714285714285,2687,149,7,13,0.947829131652661,0.11834319526627218,1.0,0.21164021164021163,2687,149,0,20
Q99.500,7.2714033174514725,0.9513305322128851,0.0896551724137931,0.65,0.1575757575757576,2704,132,7,13,0.9537815126050421,0.13157894736842105,1.0,0.23255813953488372,2704,132,0,20
Q99.600,16.308629081726064,0.9912464985994398,0.14285714285714285,0.05,0.07407407407407408,2830,6,19,1,0.9978991596638656,0.7692307692307693,1.0,0.8695652173913044,2830,6,0,20
Q99.700,16.72037953186037,0.9915966386554622,0.16666666666666666,0.05,0.07692307692307691,2831,5,19,1,0.998249299719888,0.8,1.0,0.888888888888889,2831,5,0,20
Q99.800,21.886287788391083,0.992296918767507,0.0,0.0,0.0,2834,2,20,0,0.992296918767507,0.0,0.0,0.0,2834,2,20,0
Q99.900,31.939916543960642,0.992296918767507,0.0,0.0,0.0,2834,2,20,0,0.992296918767507,0.0,0.0,0.0,2834,2,20,0
Q100.000,41.84105682373047,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0
