,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q98.000,1.8369403696060185,0.4786414565826331,0.006715916722632639,0.5,0.013253810470510273,0.46838857545839213,1357,1479,10,10,0.48214285714285715,0.0133422281521014,1.0,0.026333113890717578,1357,1479,0,20
Q98.100,1.9146985676288664,0.4789915966386555,0.006720430107526882,0.5,0.013262599469496022,0.4678596614950634,1358,1478,10,10,0.48249299719887956,0.01335113484646195,1.0,0.02635046113306983,1358,1478,0,20
Q98.200,2.1349540395736617,0.4803921568627451,0.006738544474393531,0.5,0.013297872340425534,0.46801833568406204,1362,1474,10,10,0.4838935574229692,0.013386880856760375,1.0,0.026420079260237782,1362,1474,0,20
Q98.300,2.253845402955982,0.4803921568627451,0.006738544474393531,0.5,0.013297872340425534,0.46801833568406204,1362,1474,10,10,0.4838935574229692,0.013386880856760375,1.0,0.026420079260237782,1362,1474,0,20
Q98.400,2.3949669628143226,0.48144257703081234,0.00675219446320054,0.5,0.013324450366422385,0.4675423131170663,1365,1471,10,10,0.4849439775910364,0.01341381623071764,1.0,0.026472534745201854,1365,1471,0,20
Q98.500,2.5718699538707708,0.48144257703081234,0.00675219446320054,0.5,0.013324450366422385,0.4675423131170663,1365,1471,10,10,0.4849439775910364,0.01341381623071764,1.0,0.026472534745201854,1365,1471,0,20
Q98.600,2.8437185864448535,0.48214285714285715,0.0067613252197430695,0.5,0.013342228152101402,0.46532087447108605,1367,1469,10,10,0.48564425770308123,0.013431833445265278,1.0,0.026507620941020545,1367,1469,0,20
Q98.700,3.012885438442228,0.48214285714285715,0.0067613252197430695,0.5,0.013342228152101402,0.46532087447108605,1367,1469,10,10,0.48564425770308123,0.013431833445265278,1.0,0.026507620941020545,1367,1469,0,20
Q98.800,3.147148929595947,0.48249299719887956,0.006765899864682003,0.5,0.01335113484646195,0.4685119887165021,1368,1468,10,10,0.48599439775910364,0.013440860215053764,1.0,0.026525198938992044,1368,1468,0,20
Q98.900,3.2821336817741398,0.48284313725490197,0.006770480704129994,0.5,0.013360053440213761,0.46503878702397744,1369,1467,10,10,0.48634453781512604,0.013449899125756557,1.0,0.026542800265428004,1369,1467,0,20
Q99.000,3.461404974460609,0.4838935574229692,0.0067842605156037995,0.5,0.013386880856760376,0.47076868829337093,1372,1464,10,10,0.48739495798319327,0.013477088948787063,1.0,0.026595744680851068,1372,1464,0,20
Q99.100,3.8392828600406683,0.484593837535014,0.006793478260869565,0.5,0.013404825737265416,0.4677538787023977,1374,1462,10,10,0.4880952380952381,0.01349527665317139,1.0,0.026631158455392812,1374,1462,0,20
Q99.200,3.9853639259338385,0.484593837535014,0.006793478260869565,0.5,0.013404825737265416,0.4677538787023977,1374,1462,10,10,0.4880952380952381,0.01349527665317139,1.0,0.026631158455392812,1374,1462,0,20
Q99.300,4.385354409217843,0.48564425770308123,0.0068073519400953025,0.5,0.013431833445265278,0.4709978843441467,1377,1459,10,10,0.4891456582633053,0.013522650439486139,1.0,0.026684456304202804,1377,1459,0,20
Q99.400,4.752981072425787,0.4880952380952381,0.006839945280437756,0.5,0.01349527665317139,0.47931946403385056,1384,1452,10,10,0.49159663865546216,0.01358695652173913,1.0,0.02680965147453083,1384,1452,0,20
Q99.500,5.238870766162857,0.4887955182072829,0.00684931506849315,0.5,0.013513513513513513,0.4730606488011283,1386,1450,10,10,0.49229691876750703,0.013605442176870748,1.0,0.026845637583892617,1386,1450,0,20
Q99.600,8.389223903655969,0.4891456582633053,0.006854009595613434,0.5,0.013522650439486139,0.47332510578279263,1387,1449,10,10,0.49264705882352944,0.013614703880190605,1.0,0.026863666890530557,1387,1449,0,20
Q99.700,12.963419114112694,0.49019607843137253,0.00821917808219178,0.6,0.016216216216216214,0.5622002820874471,1388,1448,8,12,0.49299719887955185,0.013623978201634877,1.0,0.026881720430107524,1388,1448,0,20
Q99.800,21.396065807342527,0.4898459383753501,0.0068634179821551134,0.5,0.013540961408259989,0.5519746121297602,1389,1447,10,10,0.49334733893557425,0.013633265167007498,1.0,0.026899798251513115,1389,1447,0,20
Q99.900,28.99112062072754,0.4898459383753501,0.0068634179821551134,0.5,0.013540961408259989,0.5519746121297602,1389,1447,10,10,0.49334733893557425,0.013633265167007498,1.0,0.026899798251513115,1389,1447,0,20
Q100.000,46.06011199951172,0.49019607843137253,0.006868131868131868,0.5,0.013550135501355014,0.5463857545839209,1390,1446,10,10,0.49369747899159666,0.013642564802182811,1.0,0.02691790040376851,1390,1446,0,20
Q_off_f1_best,11.173246383666992,0.49019607843137253,0.00821917808219178,0.6,0.016216216216216214,0.5622002820874471,1388,1448,8,12,0.49299719887955185,0.013623978201634877,1.0,0.026881720430107524,1388,1448,0,20
