,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.07097585275769239,0.43592436974789917,0.011063306699446834,0.9,0.021857923497267756,1227,1609,2,18,0.436624649859944,0.012277470841006752,1.0,0.02425712553062462,1227,1609,0,20
Q91.000,0.11744557909667525,0.44677871148459386,0.011278195488721804,0.9,0.022277227722772276,1258,1578,2,18,0.4474789915966387,0.012515644555694618,1.0,0.024721878862793572,1258,1578,0,20
Q92.000,0.3603255414962775,0.5150560224089635,0.01284796573875803,0.9,0.025334271639690358,1453,1383,2,18,0.5157563025210085,0.014255167498218105,1.0,0.028109627547434998,1453,1383,0,20
Q93.000,0.589044482111931,0.5927871148459384,0.015267175572519083,0.9,0.030025020850708923,1675,1161,2,18,0.5934873949579832,0.01693480101608806,1.0,0.03330557868442964,1675,1161,0,20
Q94.000,0.6159089207649232,0.6057422969187675,0.01576182136602452,0.9,0.030981067125645436,1712,1124,2,18,0.6064425770308123,0.017482517482517484,1.0,0.03436426116838488,1712,1124,0,20
Q95.000,0.7196991652250311,0.6386554621848739,0.01717557251908397,0.9,0.033707865168539325,1806,1030,2,18,0.6393557422969187,0.01904761904761905,1.0,0.03738317757009346,1806,1030,0,20
Q96.000,1.6982433605194107,0.8004201680672269,0.030716723549488054,0.9,0.0594059405940594,2268,568,2,18,0.8011204481792717,0.034013605442176874,1.0,0.06578947368421054,2268,568,0,20
Q97.000,1.875160067081453,0.8224789915966386,0.03441682600382409,0.9,0.06629834254143646,2331,505,2,18,0.8231792717086834,0.0380952380952381,1.0,0.07339449541284404,2331,505,0,20
Q98.000,2.8445612955094526,0.9054621848739496,0.05673758865248227,0.8,0.10596026490066225,2570,266,4,16,0.9068627450980392,0.06993006993006994,1.0,0.13071895424836602,2570,266,0,20
Q99.000,4.778543596267708,0.9541316526610645,0.0948905109489051,0.65,0.16560509554140126,2712,124,7,13,0.9565826330532213,0.1388888888888889,1.0,0.24390243902439027,2712,124,0,20
Q100.000,41.84105682373047,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0
