,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.07097585275769239,0.8799019607843137,0.05013927576601671,0.9,0.09498680738786279,2495,341,2,18,0.8806022408963585,0.055401662049861494,1.0,0.10498687664041995,2495,341,0,20
Q91.000,0.11744557909667525,0.9047619047619048,0.0625,0.9,0.11688311688311688,2566,270,2,18,0.9054621848739496,0.06896551724137931,1.0,0.12903225806451613,2566,270,0,20
Q92.000,0.3603255414962775,0.9236694677871149,0.06956521739130435,0.8,0.128,2622,214,4,16,0.9250700280112045,0.08547008547008547,1.0,0.15748031496062995,2622,214,0,20
Q93.000,0.589044482111931,0.9450280112044818,0.07975460122699386,0.65,0.14207650273224043,2686,150,7,13,0.9474789915966386,0.11764705882352941,1.0,0.21052631578947367,2686,150,0,20
Q94.000,0.6159089207649232,0.9495798319327731,0.08666666666666667,0.65,0.15294117647058825,2699,137,7,13,0.9520308123249299,0.12738853503184713,1.0,0.22598870056497175,2699,137,0,20
Q95.000,0.7196991652250311,0.9534313725490197,0.09352517985611511,0.65,0.16352201257861637,2710,126,7,13,0.9558823529411765,0.136986301369863,1.0,0.24096385542168672,2710,126,0,20
Q96.000,1.6982433605194107,0.9681372549019608,0.12631578947368421,0.6,0.20869565217391306,2753,83,8,12,0.97093837535014,0.1941747572815534,1.0,0.3252032520325203,2753,83,0,20
Q97.000,1.875160067081453,0.976890756302521,0.17142857142857143,0.6,0.26666666666666666,2778,58,8,12,0.9796918767507002,0.2564102564102564,1.0,0.4081632653061224,2778,58,0,20
Q98.000,2.8445612955094526,0.9824929971988795,0.2222222222222222,0.6,0.32432432432432434,2794,42,8,12,0.9852941176470589,0.3225806451612903,1.0,0.4878048780487805,2794,42,0,20
Q99.000,4.778543596267708,0.9926470588235294,0.48,0.6,0.5333333333333332,2823,13,8,12,0.9954481792717087,0.6060606060606061,1.0,0.7547169811320755,2823,13,0,20
Q100.000,41.84105682373047,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0
