,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,4.778543596267699,0.9926470588235294,0.48,0.6,0.5333333333333332,2823,13,8,12,0.9954481792717087,0.6060606060606061,1.0,0.7547169811320755,2823,13,0,20
Q99.100,4.9967490200996085,0.9929971988795518,0.5,0.6,0.5454545454545454,2824,12,8,12,0.9957983193277311,0.625,1.0,0.7692307692307693,2824,12,0,20
Q99.200,5.393124061584474,0.9943977591036415,0.6,0.6,0.6,2828,8,8,12,0.9971988795518207,0.7142857142857143,1.0,0.8333333333333333,2828,8,0,20
Q99.300,5.777269982337846,0.9943977591036415,0.6,0.6,0.6,2828,8,8,12,0.9971988795518207,0.7142857142857143,1.0,0.8333333333333333,2828,8,0,20
Q99.400,6.927623596191418,0.9947478991596639,0.631578947368421,0.6,0.6153846153846154,2829,7,8,12,0.9975490196078431,0.7407407407407407,1.0,0.851063829787234,2829,7,0,20
Q99.500,7.2714033174514725,0.9947478991596639,0.631578947368421,0.6,0.6153846153846154,2829,7,8,12,0.9975490196078431,0.7407407407407407,1.0,0.851063829787234,2829,7,0,20
Q99.600,16.308629081726064,0.9926470588235294,0.3333333333333333,0.05,0.08695652173913045,2834,2,19,1,0.9992997198879552,0.9090909090909091,1.0,0.9523809523809523,2834,2,0,20
Q99.700,16.72037953186037,0.992296918767507,0.0,0.0,0.0,2834,2,20,0,0.992296918767507,0.0,0.0,0.0,2834,2,20,0
Q99.800,21.886287788391083,0.992296918767507,0.0,0.0,0.0,2834,2,20,0,0.992296918767507,0.0,0.0,0.0,2834,2,20,0
Q99.900,31.939916543960642,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0
Q100.000,41.84105682373047,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0,0.9929971988795518,1.0,0.0,0.0,2836,0,20,0
