,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q80.000,0.06501545011997223,0.5989458225657722,0.37737939141836596,0.6846724908740413,0.48656999198426004,35919,27541,7688,16693,0.6862854475700413,0.46940623434670364,0.9993437512817358,0.6387720057152595,35919,27541,16,24365
Q81.000,0.06717299222946167,0.6070855295363213,0.3821497522737317,0.6738443870226816,0.4877100279047676,36898,26562,7952,16429,0.6973964321899796,0.4783991830963789,0.9992207046470613,0.6470221100856517,36898,26562,19,24362
Q82.000,0.06947860270738603,0.6142689632404003,0.3862526335950967,0.6617037857347935,0.4877775930097204,37825,25635,8248,16133,0.7079495907378104,0.4872692361541692,0.9992207046470613,0.6550861813977252,37825,25635,19,24362
Q83.000,0.07205819934606558,0.6225111280609282,0.39152249134948097,0.6497272466264714,0.48861060131706785,38841,24619,8540,15841,0.7195159435798772,0.4973765337579878,0.9992207046470613,0.6641585562007579,38841,24619,19,24362
Q84.000,0.0748440682888031,0.6311858926924785,0.3973097617217525,0.6360280546327058,0.4890949519799404,39937,23523,8874,15507,0.7319816486606482,0.5087503132570378,0.9991796891021697,0.6742129661661939,39937,23523,20,24361
Q85.000,0.07772280275821691,0.6398606573240286,0.4036858038132668,0.6235183134407941,0.49007882138654724,41004,22456,9179,15202,0.7441285959859292,0.5203451737616678,0.9991796891021697,0.6843169751959325,41004,22456,20,24361
Q86.000,0.08110418766736985,0.6503568948440933,0.4121872746435902,0.6095320126327878,0.4918011086291057,42267,21193,9520,14861,0.7585068475996403,0.534771919041138,0.9991796891021697,0.6966754843783513,42267,21193,20,24361
Q87.000,0.08465947210788728,0.660431916758689,0.4209135522838807,0.5945203232024937,0.4928763303750553,43518,19942,9886,14495,0.7727371045411596,0.5498623086993815,0.9991386735572783,0.7093458352139539,43518,19942,21,24360
Q88.000,0.0885523334145546,0.6711786068009244,0.43124141090242785,0.5791805094130675,0.49438084234849283,44836,18624,10260,14121,0.7877414874602976,0.5667225013958682,0.9991386735572783,0.7232242262302382,44836,18624,21,24360
Q89.000,0.09282563179731369,0.6830523331929281,0.44397668393782386,0.5623231204626553,0.49619080364090407,46290,17170,10671,13710,0.8042941223346729,0.5865639296893812,0.9991386735572783,0.7391785893098268,46290,17170,21,24360
Q90.000,0.09796153753995895,0.6962921642513177,0.4600785567798672,0.5428817521840777,0.4980620884289746,47927,15533,11145,13236,0.8229300668252866,0.6106334444639411,0.9991386735572783,0.7580047919843171,47927,15533,21,24360
Q91.000,0.10331449359655381,0.707824364476725,0.47592800899887516,0.5206103113079857,0.497267438443909,49483,13977,11688,12693,0.8406097380494302,0.6353889497573956,0.9990156269226037,0.7767519732121503,49483,13977,24,24357
Q92.000,0.11031676828861238,0.7211325007684338,0.497613612782735,0.4917763832492515,0.49467777869461177,51355,12105,12391,11990,0.8619209708450496,0.6680105315122593,0.9990156269226037,0.800650855480499,51355,12105,24,24357
Q93.000,0.11834322214126598,0.7324597852938832,0.5205569052513549,0.4569952011812477,0.48670962105493065,53198,10262,13239,11142,0.8829020616796257,0.7035731823565095,0.9990156269226037,0.8256610169491526,53198,10262,24,24357
Q94.000,0.12858729660511017,0.7408044079643902,0.5440879024763571,0.4082277183052377,0.4664667010357595,55120,8340,14428,9953,0.9047597363417994,0.7449151246367947,0.9989335958328206,0.8534235055014366,55120,8340,26,24355
Q95.000,0.1410169601440439,0.7465420475632109,0.5702901919118135,0.35224149952832123,0.43549695740365113,56989,6471,15793,8588,0.9260368165207591,0.7900798027639006,0.9989335958328206,0.882315648377923,56989,6471,26,24355
Q96.000,0.15780141353607183,0.7461322161632951,0.5906753812636165,0.2780033632746811,0.37806782686300755,58763,4697,17603,6778,0.9462323971721633,0.8383243838634173,0.9989335958328206,0.9116089308105477,58763,4697,26,24355
Q97.000,0.18120959699153924,0.7413622340364978,0.6047127016129032,0.19683359993437513,0.29699538942352327,60323,3137,19582,4799,0.9639917578351794,0.885894078277317,0.9989335958328206,0.9390241551481503,60323,3137,26,24355
Q98.000,0.22221635878086418,0.7342129529490784,0.6171804170444243,0.1116853287395923,0.18914319452644737,61771,1689,21658,2723,0.9758996368438428,0.9341315030028859,0.982445346786432,0.9576794674449752,61771,1689,428,23953
Q99.000,0.3257206499576629,0.729647886522239,0.7091870456047588,0.0440096796685944,0.08287634200973198,63020,440,23308,1073,0.9852460696030327,0.9816398915084498,0.9648906935728642,0.9731932321184793,63020,440,856,23525
Q100.000,259.78558349609375,0.7224758370237133,1.0,0.00012304663467454166,0.0002460629921259843,63460,0,24378,3,0.8237724980362245,1.0,0.36507936507936506,0.5348837209302325,63460,0,15480,8901
Q_off_f1_best,0.06676733493804932,0.6054803565533179,0.3811649856574442,0.6758131331774743,0.4874203138635389,36709,26751,7904,16477,0.6952448173404219,0.476630211492184,0.9992207046470613,0.6454022836251887,36709,26751,19,24362
