,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09796153753995895,0.681674844320989,0.4500683231545777,0.6619498790041426,0.5358233731739708,43740,19720,8242,16139,0.7752871665850799,0.5526518760491811,0.9992207046470613,0.7116836831573259,43740,19720,19,24362
Q90.100,0.0985159209370613,0.682460354504161,0.45081783553663457,0.6601862105738074,0.5357743197137389,43852,19608,8285,16096,0.77656219760704,0.5540595860814191,0.9992207046470613,0.7128498485757341,43852,19608,19,24362
Q90.200,0.09897781908512122,0.6830637173984814,0.45137072964993674,0.6584225421434724,0.5355820238214394,43948,19512,8328,16053,0.7776550813401487,0.5552719150294024,0.9992207046470613,0.7138524650208776,43948,19512,19,24362
Q90.300,0.09946047693490982,0.6837581539372275,0.4520381662149955,0.6567819203478118,0.5355070646267034,44049,19411,8368,16013,0.7788048861010234,0.5565531263564297,0.9992207046470613,0.7149103500895031,44049,19411,19,24362
Q90.400,0.09999094188213348,0.6842818273926754,0.45247547212612715,0.654485049833887,0.5350478649387227,44151,19309,8424,15957,0.7799660750674514,0.5578530374848297,0.9992207046470613,0.7159818961970258,44151,19309,19,24362
Q90.500,0.10045523792505268,0.6848055008481233,0.45295155689645356,0.652721381403552,0.5347895488532303,44240,19220,8467,15914,0.7809792693616876,0.558992244504612,0.9992207046470613,0.7169195003163487,44240,19220,19,24362
Q90.600,0.10095013946294792,0.685534090003529,0.4536724778508145,0.6510807596078914,0.534739182429132,44344,19116,8507,15874,0.782163226739222,0.5603293619761719,0.9992207046470613,0.7180182437112248,44344,19116,19,24362
Q90.700,0.10155325800180436,0.6861716055145092,0.45427144333448155,0.6490709979082072,0.5344748974112165,44449,19011,8556,15825,0.7833585683223097,0.5616858414220829,0.9992207046470613,0.7191309738170439,44449,19011,19,24362
Q90.800,0.1021540388464928,0.6867749684088296,0.4548363846042958,0.6470612362085231,0.5341821013781195,44551,18909,8605,15776,0.7845197572887376,0.5630098680409512,0.9992207046470613,0.7202152190622598,44551,18909,19,24362
Q90.900,0.10276362776756287,0.6875832470031079,0.4556411890826911,0.6450104589639474,0.5340351472960353,44672,18788,8655,15726,0.7858972461606767,0.5645886442641946,0.9992207046470613,0.7215056788734062,44672,18788,19,24362
Q91.000,0.1033144935965538,0.6882662993363008,0.4563154831199069,0.6430827283540462,0.5338349704635603,44779,18681,8702,15679,0.7871153561548707,0.5659921473874963,0.9992207046470613,0.7226506881822496,44779,18681,19,24362
Q91.100,0.10384129166603089,0.6888241254084084,0.45687162260844166,0.6415241376481686,0.5336768117920021,44866,18594,8740,15641,0.7881057820380005,0.5671384672688332,0.9992207046470613,0.7235843592675647,44866,18594,19,24362
Q91.200,0.10449679702520372,0.6896779408248995,0.45774606530420486,0.6393913293138099,0.5335318377055633,44993,18467,8792,15589,0.7895515761432589,0.5688201919260314,0.9992207046470613,0.7249516441005802,44993,18467,19,24362
Q91.300,0.1051311987638474,0.6905545246524971,0.4586617078426164,0.6373405520692342,0.5334363199450739,45120,18340,8842,15539,0.7909973702485172,0.570511919816402,0.9992207046470613,0.7263241059582904,45120,18340,19,24362
Q91.400,0.1058710089325905,0.6914083400689883,0.45952607198004514,0.6347155571961773,0.533096784194843,45259,18201,8906,15475,0.7925797748204142,0.5723750675469305,0.9992207046470613,0.7278322179732314,45259,18201,19,24362
Q91.500,0.106639885902405,0.6921824660466069,0.46030703064333073,0.632131577868012,0.5327065655081831,45390,18070,8969,15412,0.7940711057478854,0.5741421568627451,0.9992207046470613,0.7292592758894227,45390,18070,19,24362
Q91.600,0.10725956529378892,0.6929565920242255,0.4611274539232755,0.6300808006234363,0.5325244821908311,45508,17952,9019,15362,0.7954144420031648,0.5757432528241244,0.9992207046470613,0.7305495164555064,45508,17952,19,24362
