,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q80.000,0.06501545011997223,0.619961066017008,0.40970912738214643,0.8377014888642795,0.5502822271018846,34034,29426,3957,20424,0.6649286779522091,0.45304832713754645,0.9997128911857595,0.6235274555198834,34034,29426,7,24374
Q81.000,0.06717299222946167,0.627201420748853,0.41375968992248063,0.8231409704277921,0.5507031625162928,35025,28435,4312,20069,0.6761307362165732,0.4614787318662172,0.9994257823715188,0.6314084707772437,35025,28435,14,24367
Q82.000,0.06947860270738603,0.6338384125863776,0.41756169897256645,0.8084574053566301,0.5506942698292963,35966,27494,4670,19711,0.6868432736421489,0.46985210466439137,0.9994257823715188,0.6392014899923926,35966,27494,14,24367
Q83.000,0.07205819934606558,0.6397126626518368,0.4208129018197668,0.7919691563102416,0.5495972447556429,36884,26576,5072,19309,0.6972825901344475,0.47830866475599704,0.9993847668266272,0.6469736999322916,36884,26576,15,24366
Q84.000,0.0748440682888031,0.6455755285117428,0.4241927516055149,0.7748246585455888,0.5482405862294131,37817,25643,5490,18891,0.7079040539155975,0.48723229818632646,0.9993847668266272,0.6550880494690146,37817,25643,15,24366
Q85.000,0.07772280275821691,0.6506414999829236,0.42715239437270436,0.7584184405889832,0.5465050982710211,38662,24798,5890,18491,0.7174895549914049,0.49557576127418074,0.9992617201919527,0.6625601696989475,38662,24798,18,24363
Q86.000,0.08110418766736985,0.6567775867761069,0.4310146868870497,0.7390591034001887,0.5444875881970781,39673,23787,6362,18019,0.7289876026001525,0.5059710482045318,0.9992207046470613,0.6717771956431822,39673,23787,19,24362
Q87.000,0.08465947210788728,0.6621053949750116,0.434350691175742,0.7191255485829129,0.5415849382982996,40627,22833,6848,17533,0.7398481346979201,0.5161987498675707,0.9992207046470613,0.6807309712752878,40627,22833,19,24362
Q88.000,0.0885523334145546,0.6683211712070674,0.4389197245348957,0.7005865222919486,0.5397096228889205,41625,21835,7300,17081,0.7512095718400291,0.5273502608394485,0.9992207046470613,0.6903567683980844,41625,21835,19,24362
Q89.000,0.09282563179731369,0.6751972313612095,0.4446843676690126,0.684180304335343,0.5390270305204143,42629,20831,7700,16681,0.7626393142154575,0.539065784524152,0.9992207046470613,0.7003190847155548,42629,20831,19,24362
Q90.000,0.09796153753995895,0.681674844320989,0.4500683231545777,0.6619498790041426,0.5358233731739708,43740,19720,8242,16139,0.7752871665850799,0.5526518760491811,0.9992207046470613,0.7116836831573259,43740,19720,19,24362
Q91.000,0.10331449359655381,0.6882662993363008,0.4563154831199069,0.6430827283540462,0.5338349704635603,44779,18681,8702,15679,0.7871153561548707,0.5659921473874963,0.9992207046470613,0.7226506881822496,44779,18681,19,24362
Q92.000,0.11031676828861238,0.6970776744344895,0.4657694198623402,0.6217136294655674,0.5325603864734298,46074,17386,9223,15158,0.8018579023462847,0.5835489125227555,0.9992207046470613,0.7368023106352733,46074,17386,19,24362
Q93.000,0.11834322214126598,0.7056499812160608,0.47607461476074614,0.6019031212829662,0.5316451110386552,47310,16150,9706,14675,0.8159287804100591,0.6013526856240127,0.9992207046470613,0.7508359915553295,47310,16150,19,24362
Q94.000,0.12858729660511017,0.7138238408032695,0.4869306999067712,0.5784012140601288,0.5287390798995164,48601,14859,10279,14102,0.8306257897792603,0.6211468346039112,0.9992207046470613,0.766076538473633,48601,14859,19,24362
Q95.000,0.1410169601440439,0.7187532018078119,0.4940017772511848,0.5472293999425782,0.5192550935025005,49794,13666,11039,13342,0.8442071470042463,0.6406332176291154,0.9992207046470613,0.7807207293819801,49794,13666,19,24362
Q96.000,0.15780141353607183,0.7190605753577487,0.49399296144977956,0.5008818342151675,0.4974135473096819,50951,12509,12169,12212,0.8573786728293166,0.6607360798459494,0.9992207046470613,0.7954679030888787,50951,12509,19,24362
Q97.000,0.18120959699153924,0.7170341867692763,0.48919914502705897,0.4412042163980148,0.4639637696786716,52228,11232,13624,10757,0.8719163033207727,0.6844411979547115,0.9992207046470613,0.8124051688203419,52228,11232,19,24362
Q98.000,0.22221635878086418,0.7245022256121857,0.5051752730599874,0.36233132357163367,0.42199293016145983,54807,8653,15547,8834,0.8967338714267825,0.734700760363012,0.9828555022353472,0.840851272874011,54807,8653,418,23963
Q99.000,0.3257206499576629,0.7651779920538245,0.7290141532454856,0.24506788072679545,0.3668232188353746,61239,2221,18406,5975,0.969513097528489,0.9150506789061006,0.9812558959845782,0.9469975854015755,61239,2221,457,23924
Q100.000,259.78558349609375,0.7224758370237133,1.0,0.00012304663467454166,0.0002460629921259843,63460,0,24378,3,0.8237724980362245,1.0,0.36507936507936506,0.5348837209302325,63460,0,15480,8901
Q_off_f1_best,0.06676733493804932,0.6262565316879362,0.4133595848971472,0.8266683072884623,0.5511348099535138,34856,28604,4226,20155,0.6742068054780798,0.4600064186064073,0.9994257823715188,0.630028958527252,34856,28604,14,24367
