,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09796153753995895,0.7543516125727167,0.6206629358588033,0.2956810631229236,0.4005445049449939,59054,4406,17172,7209,0.9495452009881491,0.8468064392754077,0.9989335958328206,0.9166008053893342,59054,4406,26,24355
Q90.100,0.0985159209370613,0.7532928814562676,0.6192991723895052,0.28850334276690864,0.39363160692800586,59136,4324,17347,7034,0.9504787058435127,0.8492276578681265,0.9989335958328206,0.918017338861666,59136,4324,26,24355
Q90.200,0.09897781908512122,0.753315649867374,0.6214400859752821,0.28460686600221485,0.3904126930542662,59233,4227,17442,6939,0.9515829737821746,0.8521097194038206,0.9989335958328206,0.9196986575533863,59233,4227,26,24355
Q90.300,0.09946047693490982,0.7538279391172688,0.62537517053206,0.28202288667404946,0.38873812754409764,59341,4119,17505,6876,0.9528124679819219,0.855341715248999,0.9989335958328206,0.92157790180683,59341,4119,26,24355
Q90.400,0.09999094188213348,0.7534522603340126,0.6254836926478717,0.27845453426848776,0.3853554704129417,59395,4065,17592,6789,0.9534272150817955,0.8569669247009148,0.9989335958328206,0.9225204068104771,59395,4065,26,24355
Q90.500,0.10045523792505268,0.7534750287451191,0.6267671130952381,0.27640375702391207,0.38362792815871116,59447,4013,17642,6739,0.9540191937705628,0.8585377890580936,0.9989335958328206,0.9234298280536124,59447,4013,26,24355
Q90.600,0.10095013946294792,0.7535774865950979,0.6294123213778745,0.2727943890734588,0.3806226393498912,59544,3916,17730,6651,0.9551234617092246,0.8614834989918998,0.9989335958328206,0.9251310491529287,59544,3916,26,24355
Q90.700,0.10155325800180436,0.7533725708951401,0.6311926605504588,0.26807760141093473,0.3763242745278674,59641,3819,17845,6536,0.9562277296478865,0.8644494924398382,0.9989335958328206,0.9268385500903815,59641,3819,26,24355
Q90.800,0.1021540388464928,0.7531790394007354,0.6334519572953736,0.262827611664821,0.3715105661361858,59752,3708,17973,6408,0.9574913764642934,0.8678687239425578,0.9989335958328206,0.9288002440698649,59752,3708,26,24355
Q90.900,0.10276362776756287,0.7535205655673319,0.6377674606378684,0.25917722816947625,0.36857301175304036,59871,3589,18062,6319,0.9588460969251261,0.8715645576868022,0.9989335958328206,0.9309125656951744,59871,3589,26,24355
Q91.000,0.1033144935965538,0.7524390660397764,0.6358667629163659,0.2529018498010746,0.36187569693057103,59929,3531,18215,6166,0.9595063808472126,0.8733773219536685,0.9989335958328206,0.9319455870817149,59929,3531,26,24355
Q91.100,0.10384129166603089,0.7516877084732642,0.6350825533704911,0.24769287559985234,0.3563883151372086,59990,3470,18342,6039,0.9602008173859587,0.8752920035938904,0.9989335958328206,0.9330345171053135,59990,3470,26,24355
Q91.200,0.10449679702520372,0.750036998668048,0.6314818832718594,0.2387514868135023,0.34649840769070506,60063,3397,18560,5821,0.9610318643913435,0.8775944076102623,0.9989335958328206,0.9343410124105652,60063,3397,26,24355
Q91.300,0.1051311987638474,0.748716430823875,0.6288233980799286,0.2310405643738977,0.3379225531659618,60135,3325,18748,5633,0.961851527191175,0.8798771676300579,0.9989335958328206,0.9356331995159525,60135,3325,26,24355
Q91.400,0.1058710089325905,0.7481813731628738,0.6289788933257273,0.22611869898691603,0.3326494901345562,60208,3252,18868,5513,0.9626825741965597,0.8822037888941211,0.9989335958328206,0.9369469877664076,60208,3252,26,24355
Q91.500,0.106639885902405,0.7477373891462984,0.6296382730455076,0.2213198802346089,0.32751661558071077,60286,3174,18985,5396,0.9635705422297105,0.8847034036833884,0.9989335958328206,0.9383548449239068,60286,3174,26,24355
Q91.600,0.10725956529378892,0.7479309206407031,0.6337355154700752,0.21758746564948114,0.32394968246213973,60394,3066,19076,5305,0.9648000364294578,0.8881878851974764,0.9989335958328206,0.940311184896336,60394,3066,26,24355
Q91.700,0.10799981802701956,0.747134026251978,0.6328881264550913,0.2118452893646692,0.3174359289533526,60464,2996,19216,5165,0.9655969308181829,0.8904610434719024,0.9989335958328206,0.9415835459676797,60464,2996,26,24355
Q91.800,0.108779376745224,0.7468266527020412,0.6333748443337485,0.2086050613182396,0.3138440652864768,60516,2944,19295,5086,0.96618890950695,0.8921572218762592,0.9989335958328206,0.942530959752322,60516,2944,26,24355
Q91.900,0.10961573898792268,0.7465875843854236,0.6356658564666752,0.2038062425659325,0.30865271134853095,60612,2848,19412,4969,0.9672817932400587,0.8953056648163805,0.9989335958328206,0.9442850496277916,60612,2848,26,24355
Q92.000,0.11031676828861237,0.7464623581243383,0.6371198336366,0.20105820105820105,0.3056586126266563,60668,2792,19479,4902,0.9679193087510388,0.8971525398754927,0.9989335958328206,0.9453112870672256,60668,2792,26,24355
Q92.100,0.11102759063243867,0.746655889618743,0.6408049781543758,0.1985152372749272,0.30312519571616464,60747,2713,19541,4840,0.9688186609897428,0.8997709472439781,0.9989335958328206,0.9467628136601295,60747,2713,26,24355
Q92.200,0.11178279131650928,0.7465306633576576,0.6424340333871836,0.19572618022230426,0.3000408689364645,60804,2656,19609,4772,0.9694675607062762,0.9016696901262449,0.9989335958328206,0.9478128891656288,60804,2656,26,24355
Q92.300,0.11250463545322423,0.7465078949465511,0.6454720616570327,0.1923629055412001,0.29639460296394604,60884,2576,19691,4690,0.9703782971505334,0.9043481489733022,0.9989335958328206,0.9492906142812597,60884,2576,26,24355
Q92.400,0.11316710948944093,0.7465306633576576,0.6474770002787845,0.190517206021082,0.2944065916653462,60931,2529,19736,4645,0.9709133548115345,0.9059291772057729,0.9989335958328206,0.9501609285087291,60931,2529,26,24355
Q92.500,0.11393257975578308,0.7461891371910612,0.6478593705698894,0.18744104015421845,0.29075870844599966,60976,2484,19811,4570,0.9714256440614292,0.9074481165468162,0.9989335958328206,0.9509957048028115,60976,2484,26,24355
Q92.600,0.11482304424047486,0.746075295135529,0.6503040834057341,0.18420081210778885,0.2870840924345575,61045,2415,19890,4491,0.972211154244601,0.9097870750840493,0.9989335958328206,0.952278547828977,61045,2415,26,24355
Q92.700,0.11576530843973161,0.7459956056966565,0.6528742426481454,0.18120667733070833,0.28367792474637216,61111,2349,19963,4418,0.9729625118111133,0.9120356500898742,0.9989335958328206,0.9535088577860429,61111,2349,26,24355
Q92.800,0.11658005595207215,0.7458931478466775,0.6548406494287432,0.1786637135474345,0.28073341281861247,61164,2296,20025,4356,0.9735658747054337,0.9138493865145774,0.9989335958328206,0.9544991377958928,61164,2296,26,24355
Q92.900,0.11750183641910567,0.7456882321467196,0.6561162079510703,0.17599770312948607,0.2775460043336244,61211,2249,20090,4291,0.9741009323664348,0.9154638400240566,0.9989335958328206,0.955379033048936,61211,2249,26,24355
Q93.000,0.11834322214126591,0.7455402374745278,0.6576044741339133,0.17361880152577827,0.27470958530728795,61256,2204,20148,4233,0.9746132216163295,0.9170149478519523,0.9989335958328206,0.9562230074597564,61256,2204,26,24355
Q93.100,0.11916674941778184,0.7453580901856764,0.6590298625375257,0.1710758377425044,0.27163790296320417,61302,2158,20210,4171,0.9751368950717774,0.9186059668841701,0.9989335958328206,0.9570872794435494,61302,2158,26,24355
Q93.200,0.1201329517364502,0.745175942896825,0.6612304214435654,0.16795865633074936,0.26787466474782495,61362,2098,20286,4095,0.9758199474049704,0.920689524817601,0.9989335958328206,0.9582169414171617,61362,2098,26,24355
Q93.300,0.12101131141185761,0.7449596429913139,0.6623973727422003,0.165456708092367,0.26477634472121037,61404,2056,20347,4034,0.9762980840382054,0.92215364810117,0.9989335958328206,0.9590092928020161,61404,2056,26,24355
Q93.400,0.12198141992092136,0.7450279482246331,0.6657754010695187,0.16340593084779131,0.26240737691421046,61460,2000,20397,3984,0.9769355995491854,0.9241130715234301,0.9989335958328206,0.9600678019552191,61460,2000,26,24355
Q93.500,0.12300608158111574,0.7448571851413349,0.6682618355836609,0.1603707805258193,0.2586663138396401,61519,1941,20471,3910,0.9776072676768252,0.9261864922421661,0.9989335958328206,0.9611855476843538,61519,1941,26,24355
Q93.600,0.12404682993888858,0.7447091904691431,0.6696149843912591,0.1583610188261351,0.25614489003880986,61555,1905,20520,3861,0.978017099076741,0.9274562071591774,0.9989335958328206,0.9618688414525779,61555,1905,26,24355
Q93.700,0.12510677874088305,0.7444815063580787,0.671692089393402,0.15532586850416308,0.252306872314201,61609,1851,20594,3787,0.9786318461766146,0.9293673204609632,0.9989335958328206,0.9628956055903691,61609,1851,26,24355
