,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q80.000,0.06501545011997223,0.6859780740201045,0.4536267554654698,0.6425495262704565,0.5318079978274153,44591,18869,8715,15666,0.7849865097164195,0.5635408956328646,0.9992617201919527,0.7206602280626506,44591,18869,18,24363
Q81.000,0.06717299222946167,0.6906114456802632,0.45860721264878307,0.6352897748246585,0.5326799071446995,45175,18285,8892,15489,0.791623501553944,0.5712476844795648,0.9992207046470613,0.7269200930954228,45175,18285,19,24362
Q82.000,0.06947860270738603,0.6957912592069763,0.46443870575725354,0.6270046347565728,0.5336149120357442,45832,17628,9094,15287,0.7991029246024066,0.5801857585139318,0.9992207046470613,0.7341158035889168,45832,17628,19,24362
Q83.000,0.07205819934606558,0.6999920310561127,0.4578308100248054,0.43907140806365613,0.44825492536063477,50783,12677,13676,10705,0.8554319736797168,0.6577114159196458,0.9990976580123867,0.7932331439178077,50783,12677,22,24359
Q84.000,0.0748440682888031,0.7182750651745768,0.49089008363201914,0.4044542881752184,0.4434999662686365,53233,10227,14520,9861,0.8833232772850946,0.7043023188573411,0.9990976580123867,0.8261909203452777,53233,10227,22,24359
Q85.000,0.07772280275821691,0.7301487915665805,0.5183458891117012,0.39227267134243876,0.4465819947702652,54573,8887,14817,9564,0.8985781127264034,0.732689646874812,0.9990976580123867,0.8454023287695003,54573,8887,22,24359
Q86.000,0.08110418766736985,0.7385275668537471,0.5413278736472653,0.3795578524260695,0.4462339666313049,55619,7841,15127,9254,0.9104859917350667,0.7564906832298136,0.9990976580123867,0.8610310881744756,55619,7841,22,24359
Q87.000,0.08465947210788728,0.7444701221525256,0.5605709635009077,0.3672531889586153,0.44377261238043314,56441,7019,15427,8954,0.9198438086998099,0.7763082414430492,0.9990976580123867,0.8737244211696765,56441,7019,22,24359
Q88.000,0.0885523334145546,0.7511868034289227,0.5854137067857385,0.35490750994626963,0.44190797201368676,57332,6128,15728,8653,0.9299871358477249,0.7989962935021484,0.9990976580123867,0.887912808923234,57332,6128,22,24359
Q89.000,0.09282563179731369,0.7559226329390604,0.6081647664582567,0.3391165251630368,0.4354329049926269,58133,5327,16113,8268,0.939083116084744,0.8205430534968333,0.9990156269226037,0.9010265421252196,58133,5327,24,24357
Q90.000,0.09796153753995895,0.7543516125727167,0.6206629358588033,0.2956810631229236,0.4005445049449939,59054,4406,17172,7209,0.9495452009881491,0.8468064392754077,0.9989335958328206,0.9166008053893342,59054,4406,26,24355
Q91.000,0.10331449359655381,0.7524390660397764,0.6358667629163659,0.2529018498010746,0.36187569693057103,59929,3531,18215,6166,0.9595063808472126,0.8733773219536685,0.9989335958328206,0.9319455870817149,59929,3531,26,24355
Q92.000,0.11031676828861238,0.7464623581243383,0.6371198336366,0.20105820105820105,0.3056586126266563,60668,2792,19479,4902,0.9679193087510388,0.8971525398754927,0.9989335958328206,0.9453112870672256,60668,2792,26,24355
Q93.000,0.11834322214126598,0.7455402374745278,0.6576044741339133,0.17361880152577827,0.27470958530728795,61256,2204,20148,4233,0.9746132216163295,0.9170149478519523,0.9989335958328206,0.9562230074597564,61256,2204,26,24355
Q94.000,0.12858729660511017,0.7431040174861397,0.672561323445522,0.1450719822812846,0.23866396761133601,61738,1722,20844,3537,0.9801004086929793,0.933964796564022,0.9989335958328206,0.9653573268857267,61738,1722,26,24355
Q95.000,0.1410169601440439,0.7378445145205542,0.6652821891033471,0.1116853287395923,0.1912622041160357,62090,1370,21658,2723,0.9841076490477112,0.9467444120505345,0.9989335958328206,0.9721390651818146,62090,1370,26,24355
Q96.000,0.15780141353607183,0.7335412848214388,0.6569037656903766,0.08371272712357984,0.1485011641443539,62394,1066,22340,2041,0.9875684475358887,0.9580661657684592,0.9989335958328206,0.9780731697522187,62394,1066,26,24355
Q97.000,0.18120959699153924,0.7316856593162646,0.6698744769874477,0.06566588737131372,0.1196070374659146,62671,789,22780,1601,0.9861795744583964,0.9681147706607396,0.9825683934211066,0.9752880348491634,62671,789,425,23956
Q98.000,0.22221635878086418,0.7296820391388987,0.6850989522700814,0.04827529633731184,0.09019502662937276,62919,541,23204,1177,0.9890028574355939,0.9779156631424256,0.9825683934211066,0.9802365072220631,62919,541,425,23956
Q99.000,0.3257206499576629,0.7277353399892988,0.7242044358727098,0.030802674213526927,0.05909198205995751,63174,286,23630,751,0.9869992372582279,0.9879887446978287,0.9648906935728642,0.9763031208499336,63174,286,856,23525
Q100.000,259.78558349609375,0.7224758370237133,1.0,0.00012304663467454166,0.0002460629921259843,63460,0,24378,3,0.8237724980362245,1.0,0.36507936507936506,0.5348837209302325,63460,0,15480,8901
Q_off_f1_best,0.06676733493804932,0.6900877722248153,0.4580603270172953,0.6365612567162955,0.5327566380035357,45098,18362,8861,15520,0.7907469177263464,0.5702181443685048,0.9992207046470613,0.7260859846509201,45098,18362,19,24362
