,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.6746926229508197,0.43804656109666745,0.6081374841064764,0.5092651427982621,44438,19021,9554,14827,0.7833105646630237,0.5616169997003849,0.9994667979164104,0.7191382617677438,44438,19021,13,24368
Q91.000,0.6826161202185792,0.4464843032862126,0.5984988310569705,0.5114347300352242,45369,18090,9789,14592,0.7938638433515482,0.5738917416497856,0.9993027357368442,0.7290790753347797,45369,18090,17,24364
Q92.000,0.6908242258652094,0.45573373290400737,0.5863172142241909,0.5128435100810791,46387,17072,10086,14295,0.8054530965391621,0.5879911188338642,0.9993027357368442,0.7403558351185863,46387,17072,17,24364
Q93.000,0.6999089253187614,0.4669847519268626,0.5740535663016283,0.5150132469826317,47484,15975,10385,13996,0.8179303278688524,0.6039714413208389,0.9992617201919527,0.7528855513836741,47484,15975,18,24363
Q94.000,0.7109744990892531,0.48227050248248177,0.5617489028341741,0.51898446381205,48756,14703,10685,13696,0.8324112021857923,0.623636922131777,0.9992617201919527,0.7679795735022933,48756,14703,18,24363
Q95.000,0.7239754098360656,0.5025501530091806,0.5455887781469176,0.5231858407079646,50292,13167,11079,13302,0.8498520036429873,0.6491232745296595,0.9990976580123867,0.7869546254866171,50292,13167,22,24359
Q96.000,0.7414731329690346,0.535084774215209,0.522948197366802,0.5289468771391234,52381,11078,11631,12750,0.8736338797814208,0.6873888873211615,0.9990976580123867,0.8144371259487111,52381,11078,22,24359
Q97.000,0.7588000910746813,0.5779480671612651,0.4856650670604159,0.527803160311128,54812,8647,12540,11841,0.8967668488160292,0.7348115435335971,0.9827324556006727,0.8408787814978593,54812,8647,421,23960
Q98.000,0.7770150273224044,0.6555887316629885,0.4142570034042902,0.5077035212506598,58153,5306,14281,10100,0.934801912568306,0.8186974646347297,0.9827324556006727,0.8932465934721421,58153,5306,421,23960
Q99.000,0.7652322404371584,0.7372207497160167,0.2395717977113326,0.3616270430906389,61377,2082,18540,5841,0.9656079234972678,0.9184297132110955,0.9614864033468684,0.9394649834685903,61377,2082,939,23442
Q100.000,0.7224499089253188,1.0,4.101554489151388e-05,8.202772537117544e-05,63459,0,24380,1,0.7227800546448088,1.0,0.0012304663467454166,0.002457908320019663,63459,0,24351,30
Qbest,0.7505009107468124,0.5554356137273423,0.506500963865305,0.5298408203543999,53575,9884,12032,12349,0.8826844262295082,0.7079541425363433,0.9827324556006727,0.8230141691713183,53575,9884,421,23960
