,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.10080566257238391,0.698622495446266,0.4679396800098081,0.6261843238587425,0.5356184328240391,46100,17359,9114,15267,0.802174408014572,0.5839365322851253,0.9992617201919527,0.7371223696352661,46100,17359,18,24363
Q91.000,0.10676278911530972,0.7047814207650274,0.4753253364726845,0.6127312251343259,0.535352087439527,46969,16490,9442,14939,0.8120673952641165,0.5963576726311409,0.9992617201919527,0.7469417788269921,46969,16490,18,24363
Q92.000,0.11361764758825305,0.7113615664845173,0.48392320148045337,0.6006316393913294,0.5359979502946453,47842,15617,9737,14644,0.8220059198542805,0.6093796898449224,0.9992617201919527,0.7570733829493016,47842,15617,18,24363
Q93.000,0.12191317923367025,0.7168943533697633,0.4916440753577434,0.5876297116607194,0.5353686334591383,48645,14814,10054,14327,0.8311475409836065,0.6218699747300712,0.9992617201919527,0.7666383460775984,48645,14814,18,24363
Q94.000,0.13204048186540607,0.7214936247723133,0.49851451480115977,0.5712234937041138,0.5323980274475324,49449,14010,10454,13927,0.8403005464480874,0.6348995387381753,0.9992617201919527,0.7764604646715747,49449,14010,18,24363
Q95.000,0.1444121018052101,0.7252846083788707,0.5046939541870071,0.5512489233419466,0.5269451686891062,50269,13190,10941,13440,0.8496357012750455,0.6487630815114638,0.9992617201919527,0.7867407239965124,50269,13190,18,24363
Q96.000,0.16109498679637912,0.7259562841530055,0.5062030754406391,0.5171239899922071,0.5116052588865444,51160,12299,11773,12608,0.8597677595628416,0.6645208804997136,0.9992207046470613,0.7982045149241506,51160,12299,19,24362
Q97.000,0.18450330168008805,0.718681693989071,0.49272807404142793,0.4585537918871252,0.47502708674130567,51949,11510,13201,11180,0.864207650273224,0.6755278662644828,0.9828555022353472,0.8007150733451399,51949,11510,418,23963
Q98.000,0.22791239231824978,0.7090733151183971,0.4698665297741273,0.3754152823920266,0.4173639451904882,53132,10327,15228,9153,0.8776411657559199,0.6988071280660308,0.9827324556006727,0.8167996181904957,53132,10327,421,23960
Q99.000,0.337833355069165,0.7432377049180328,0.5825128714659922,0.26450924900537304,0.36381586370303504,58837,4622,17932,6449,0.9376935336976321,0.835819835180449,0.9650957712973217,0.8958178668646375,58837,4622,851,23530
Q100.000,279.6590881347656,0.7224726775956284,1.0,0.00012304663467454166,0.0002460629921259843,63459,0,24378,3,0.8237704918032787,1.0,0.36507936507936506,0.5348837209302325,63459,0,15480,8901
Qbest,0.11228600889444351,0.7104166666666667,0.48266692928895016,0.6030515565399286,0.5361851102237295,47700,15759,9678,14703,0.820389344262295,0.6072229699416779,0.9992617201919527,0.7554067252685921,47700,15759,18,24363
