,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q80.000,0.06501545011997223,0.6483532746667274,0.3963165944430283,0.5101513473606497,0.4460862548193311,44514,18946,11943,12438,0.7840416206555025,0.5624783502297762,0.9990156269226037,0.7197269664913422,44514,18946,24,24357
Q81.000,0.06717299222946167,0.6529411095046732,0.3975980408601429,0.48611623805422255,0.43742387894445467,45503,17957,12529,11852,0.7953005999476327,0.5756250886231508,0.9990156269226037,0.7303995801784242,45503,17957,24,24357
Q82.000,0.06947860270738603,0.6581323072369395,0.4006192604060378,0.4670029941347771,0.431271542744593,46425,17035,12995,11386,0.8057968374676974,0.5884470429068419,0.9990156269226037,0.7406382558192571,46425,17035,24,24357
Q83.000,0.07205819934606558,0.6643253150578887,0.404895860501509,0.44571592633608137,0.4243264349863334,47488,15972,13514,10867,0.8178982479707654,0.6039574499739642,0.9990156269226037,0.7528048215113584,47488,15972,24,24357
Q84.000,0.0748440682888031,0.6689131498958345,0.40727301412005995,0.42352651654977236,0.415240776113401,48432,15028,14055,10326,0.8286449380130008,0.618433413736194,0.9990156269226037,0.7639494401405137,48432,15028,24,24357
Q85.000,0.07772280275821691,0.6727040903450553,0.40862508888610033,0.40068085804519915,0.4046139827700464,49322,14138,14612,9769,0.8387768809553625,0.6327315235744901,0.9990156269226037,0.7747630256377632,49322,14138,24,24357
Q86.000,0.08110418766736985,0.6814016233877119,0.4175623142007775,0.37447192485952174,0.3948449595640704,50725,12735,15251,9130,0.8547489213465238,0.6566645098673568,0.9990156269226037,0.7924454638621833,50725,12735,24,24357
Q87.000,0.08465947210788728,0.68737833130315,0.42314602255714145,0.34777080513514624,0.38177356536617213,51901,11559,15902,8479,0.8681367470771052,0.6781657200133645,0.9990156269226037,0.8079008905915717,51901,11559,24,24357
Q88.000,0.0885523334145546,0.692558144829863,0.42792025921247734,0.3195931257946762,0.3659074900211317,53043,10417,16589,7792,0.8811375098188773,0.7004371081842756,0.9990156269226037,0.8234975910742963,53043,10417,24,24357
Q89.000,0.09282563179731369,0.6960303275235937,0.4296884470844951,0.29075919773594194,0.346828444922821,54051,9409,17292,7089,0.892590020605412,0.7213304110887335,0.9989335958328206,0.837733253074211,54051,9409,26,24355
Q90.000,0.09796153753995895,0.7022347195500962,0.4392580932174389,0.2632377671137361,0.32919573245794004,55267,8193,17963,6418,0.9064332145581221,0.7482794641759862,0.9989335958328206,0.8556271847388853,55267,8193,26,24355
Q91.000,0.10331449359655381,0.7096116847485798,0.45530260966129926,0.2354292276772897,0.31037093111279335,56593,6867,18641,5740,0.9215286711216858,0.7800589328037922,0.9989335958328206,0.8760318687840585,56593,6867,26,24355
Q92.000,0.11031676828861238,0.7102719686706663,0.4514311676510677,0.20376522702104097,0.28078901260385464,57423,6037,19413,4968,0.9309775617308547,0.8013622005790998,0.9989335958328206,0.8893067752359739,57423,6037,26,24355
Q93.000,0.11834322214126598,0.7089058640042805,0.4381566628523874,0.17275747508305647,0.24780843678296166,58059,5401,20169,4212,0.9382179164626997,0.818490388493077,0.9989335958328206,0.899754326985241,58059,5401,26,24355
Q94.000,0.12858729660511017,0.708826174565408,0.4251564455569462,0.13932980599647266,0.2098792128757221,58867,4593,20984,3397,0.9474163545496977,0.841336189028603,0.9989335958328206,0.9133867126704045,58867,4593,26,24355
Q95.000,0.1410169601440439,0.7130383306200977,0.4338141025641026,0.11102908002132808,0.1768067665980863,59927,3533,21674,2707,0.9594836124361061,0.8733146873207114,0.9989335958328206,0.9319099274904817,59927,3533,26,24355
Q96.000,0.15780141353607183,0.7149964139752507,0.43480861244019137,0.08945490340839178,0.14838248800898052,60625,2835,22200,2181,0.9628874898965176,0.8941808816393565,0.9825683934211066,0.936293285390448,60625,2835,425,23956
Q97.000,0.18120959699153924,0.7220204688015847,0.4946267789718269,0.06984947295024814,0.12241230592294419,61720,1740,22678,1703,0.9753531949772886,0.9322851805728518,0.9825683934211066,0.9567665794676198,61720,1740,425,23956
Q98.000,0.22221635878086418,0.7261643196229551,0.5767966181305777,0.05036708912677905,0.0926442851754055,62559,901,23153,1228,0.9849045434364363,0.9637526652452025,0.9825683934211066,0.9730695804053779,62559,901,425,23956
Q99.000,0.3257206499576629,0.7273596612060428,0.6858864027538726,0.03268938927853657,0.06240457268136085,63095,365,23584,797,0.986099885019524,0.9847216408539138,0.9648906935728642,0.9747053096061818,63095,365,856,23525
Q100.000,259.78558349609375,0.7224758370237133,1.0,0.00012304663467454166,0.0002460629921259843,63460,0,24378,3,0.8237724980362245,1.0,0.36507936507936506,0.5348837209302325,63460,0,15480,8901
Qbest,0.06676733493804932,0.6528500358602475,0.3983639809796163,0.49136622780033634,0.44000440738972346,45367,18093,12401,11980,0.7937523479923954,0.5737809187279151,0.9990156269226037,0.7289132288907841,45367,18093,24,24357
